Temps,Consigne,Ecart,I moteur,vitesse
s,mm/s,mm/s,mA,mm/s
1.550,0.000,-0.132,-6.348,0.000
1.560,0.000,0.000,1.465,0.000
1.570,0.000,0.000,-34.180,0.000
1.580,0.000,0.000,26.855,0.000
1.590,0.000,0.000,-26.367,0.000
1.600,0.000,0.000,-6.348,0.000
1.610,0.000,0.000,20.996,0.000
1.620,0.000,0.000,-28.320,0.000
1.630,0.000,0.000,15.137,0.000
1.640,0.000,0.000,14.648,-0.132
1.650,0.000,0.132,-13.184,0.000
1.660,0.000,0.000,-20.508,0.000
1.670,0.000,0.000,19.531,0.000
1.680,0.000,0.000,-4.883,0.132
1.690,0.000,-0.132,-3.418,-0.132
1.700,0.000,0.132,9.277,-1.056
1.710,0.000,1.056,3.418,0.264
1.720,0.000,-0.264,-6.836,0.000
1.730,0.000,0.000,19.531,0.000
1.740,0.000,0.000,4.395,0.000
1.750,0.000,0.000,-27.344,0.000
1.760,0.000,0.000,1.953,0.000
1.770,0.000,0.000,19.043,0.000
1.780,0.000,0.000,-19.043,0.000
1.790,0.000,0.000,1.465,-0.132
1.800,0.000,0.132,20.996,0.132
1.810,0.000,-0.132,-26.855,0.000
1.820,0.000,0.000,-1.465,0.000
1.830,0.000,0.000,4.883,0.000
1.840,0.000,0.000,23.926,0.000
1.850,0.000,0.000,21.973,0.000
1.860,0.000,0.000,6.836,0.792
1.870,0.000,-0.792,-10.742,0.264
1.880,0.000,-0.264,-14.648,-0.792
1.890,0.000,0.792,-5.371,0.132
1.900,0.000,-0.132,19.531,0.000
1.910,0.000,0.000,-6.348,0.000
1.920,0.000,0.000,-11.719,0.000
1.930,0.000,0.000,16.113,0.000
1.940,0.000,0.000,-24.902,0.000
1.950,0.000,0.000,-7.324,0.000
1.960,0.000,0.000,23.926,0.000
1.970,0.000,0.000,3.418,0.000
1.980,0.000,0.000,-18.555,0.000
1.990,0.000,0.000,26.855,0.000
2.000,0.000,0.000,7.813,0.000
2.010,0.000,0.000,-11.230,0.000
2.020,0.000,0.000,-3.418,0.000
2.030,0.000,0.000,-5.371,0.000
2.040,0.000,0.000,0.488,-0.660
2.050,0.000,0.660,37.598,0.924
2.060,0.000,-0.924,0.488,-0.132
2.070,0.000,0.132,-13.672,-0.132
2.080,0.000,0.132,12.695,0.132
2.090,0.000,-0.132,12.207,-0.132
2.100,0.000,0.132,-2.930,0.132
2.110,0.000,-0.132,-16.113,0.000
2.120,0.000,0.000,6.348,0.000
2.130,0.000,0.000,11.230,0.000
2.140,0.000,0.000,-20.508,-0.132
2.150,0.000,0.132,-1.953,0.000
2.160,0.000,0.000,33.203,0.000
2.170,0.000,0.000,-10.254,0.000
2.180,0.000,0.000,-17.090,0.000
2.190,0.000,0.000,0.977,0.000
2.200,0.000,0.000,-16.113,0.000
2.210,0.000,0.000,0.000,-0.396
2.220,0.000,0.396,-1.465,-0.132
2.230,0.000,0.132,21.484,0.396
2.240,0.000,-0.396,-16.602,-0.396
2.250,0.000,0.396,-14.160,0.264
2.260,0.000,-0.264,19.531,0.000
2.270,0.000,0.000,7.813,0.000
2.280,0.000,0.000,-25.391,0.132
2.290,0.000,-0.132,-20.508,0.000
2.300,0.000,0.000,9.766,0.000
2.310,0.000,0.000,18.555,0.132
2.320,0.000,-0.132,-16.602,0.000
2.330,0.000,0.000,-6.836,0.000
2.340,0.000,0.000,12.207,0.132
2.350,0.000,-0.132,8.301,0.000
2.360,0.000,0.000,-14.160,0.000
2.370,0.000,0.000,-5.371,0.000
2.380,0.000,0.000,23.438,0.132
2.390,0.000,-0.132,14.648,0.264
2.400,0.000,-0.264,-67.383,-1.056
2.410,0.000,1.056,27.832,0.132
2.420,0.000,-0.132,-9.766,0.132
2.430,0.000,-0.132,-12.695,0.000
2.440,0.000,0.000,-12.207,0.000
2.450,0.000,0.000,13.672,-0.132
2.460,0.000,0.132,11.719,0.000
2.470,0.000,0.000,-2.441,0.000
2.480,0.000,0.000,-9.277,0.000
2.490,0.000,0.000,21.973,0.000
2.500,0.000,0.000,-25.391,0.000
2.510,0.000,0.000,10.254,0.000
2.520,0.000,0.000,12.695,0.000
2.530,0.000,0.000,-14.648,0.000
2.540,0.000,0.000,1.465,0.000
2.550,0.000,0.000,15.137,0.000
2.560,0.000,0.000,-0.488,0.264
2.570,0.000,-0.264,1.953,0.132
2.580,0.000,-0.132,7.813,-0.792
2.590,0.000,0.792,20.508,0.264
2.600,0.000,-0.264,-4.883,0.000
2.610,0.000,0.000,-8.789,0.000
2.620,0.000,0.000,12.695,0.000
2.630,0.000,0.000,-31.250,0.000
2.640,0.000,0.000,24.414,0.000
2.650,0.000,0.000,-12.207,0.000
2.660,0.000,0.000,6.836,0.000
2.670,0.000,0.000,13.184,0.132
2.680,0.000,-0.132,-32.227,0.132
2.690,0.000,-0.132,-3.906,0.000
2.700,0.000,0.000,12.207,0.000
2.710,0.000,0.000,-8.789,0.000
2.720,0.000,0.000,-6.836,0.000
2.730,0.000,0.000,0.000,0.000
2.740,0.000,0.000,-7.813,0.528
2.750,0.000,-0.528,-53.223,-0.792
2.760,0.000,0.792,16.113,-0.264
2.770,0.000,0.264,-8.789,0.132
2.780,0.000,-0.132,-17.578,0.000
2.790,0.000,0.000,1.465,-0.132
2.800,0.000,0.132,7.324,0.000
2.810,0.000,0.000,-7.324,0.000
2.820,0.000,0.000,-12.695,0.000
2.830,0.000,0.000,13.184,0.000
2.840,0.000,0.000,20.020,0.000
2.850,0.000,0.000,-11.719,0.000
2.860,0.000,0.000,-18.555,0.000
2.870,0.000,0.000,23.926,0.000
2.880,0.000,0.000,0.488,0.000
2.890,0.000,0.000,-14.648,-0.132
2.900,0.000,0.132,31.250,0.000
2.910,0.000,0.000,-16.602,0.264
2.920,0.000,-0.264,-9.277,0.396
2.930,0.000,-0.396,20.508,-1.452
2.940,0.000,1.452,-6.348,0.264
2.950,0.000,-0.264,-7.813,0.000
2.960,0.000,0.000,12.207,0.000
2.970,0.000,0.000,-16.602,0.000
2.980,0.000,0.000,0.488,0.000
2.990,0.000,0.000,1.465,0.132
3.000,0.000,-0.132,-19.043,0.000
3.010,0.000,0.000,14.648,0.000
3.020,0.000,0.000,6.348,0.000
3.030,0.000,0.000,-12.695,0.000
3.040,0.000,0.000,13.184,0.000
3.050,0.000,0.000,13.184,0.000
3.060,0.000,0.000,-23.438,0.000
3.070,0.000,0.000,-21.973,0.000
3.080,0.000,0.000,-10.742,0.000
3.090,0.000,0.000,-4.883,-0.396
3.100,0.000,0.396,1.465,0.264
3.110,0.000,-0.264,7.813,0.396
3.120,0.000,-0.396,11.719,-0.132
3.130,0.000,0.132,-13.672,0.000
3.140,0.000,0.000,-3.418,0.000
3.150,0.000,0.000,11.719,0.000
3.160,0.000,0.000,6.348,0.000
3.170,0.000,0.000,-18.066,0.000
3.180,0.000,0.000,-6.836,0.000
3.190,0.000,0.000,23.438,0.000
3.200,0.000,0.000,-24.414,0.000
3.210,0.000,0.000,-1.953,0.000
3.220,0.000,0.000,19.043,0.000
3.230,0.000,0.000,2.441,0.000
3.240,0.000,0.000,-12.695,0.000
3.250,0.000,0.000,11.230,0.000
3.260,0.000,0.000,3.418,-0.132
