;;;;;;;;;;;;;;;;;;;;;;;;;;Nacelle NC10...
;500;;;;1000;;;;1500;;;;1850;;;;2000;;;;1800;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);;
25;0,100811;20;0,100811;4,488;0,100517;20;0,100517;8,258;0,102648;20;0,102648;11,872;0,100944;20;0,100944;19,07;0,103672;20;0,103672;23,051;0,100717;20;0,100717;17,839
26;0,104888;20;0,104888;5,07;0,10459;20;0,10459;8,687;0,106728;20;0,106728;11,573;0,105052;20;0,105052;17,294;0,107762;20;0,107762;21,009;0,10482;20;0,10482;16,362
27;0,108992;20;0,108992;5,724;0,108696;20;0,108696;9,323;0,110832;20;0,110832;11,713;0,109155;20;0,109155;15,964;0,111835;20;0,111835;19,236;0,108923;20;0,108923;15,358
28;0,113101;20;0,113101;6,391;0,112801;20;0,112801;9,979;0,114908;20;0,114908;12,173;0,113231;20;0,113231;15,15;0,116745;20;0,116745;17,885;0,11299;20;0,11299;14,838
29;0,117175;20;0,117175;6,984;0,116879;20;0,116879;10,687;0,119022;20;0,119022;12,907;0,11727;20;0,11727;14,765;0,120032;20;0,120032;17,037;0,117077;20;0,117077;14,713
30;0,121289;20;0,121289;7,438;0,120982;20;0,120982;11,438;0,123103;20;0,123103;13,737;0,121361;20;0,121361;14,878;0,124159;20;0,124159;16,68;0,121121;20;0,121121;15,025
31;0,125358;20;0,125358;7,69;0,12507;20;0,12507;12,189;0,127203;20;0,127203;14,821;0,125436;20;0,125436;15,298;0,128235;20;0,128235;16,779;0,125224;20;0,125224;15,552
32;0,129474;20;0,129474;7,744;0,129159;20;0,129159;12,877;0,131307;20;0,131307;15,886;0,129597;20;0,129597;16,11;0,132339;20;0,132339;17,204;0,12933;20;0,12933;16,339
33;0,133574;20;0,133574;7,552;0,133244;20;0,133244;13,367;0,135386;20;0,135386;17,041;0,133628;20;0,133628;17,012;0,136419;20;0,136419;17,994;0,133413;20;0,133413;17,177
34;0,137654;20;0,137654;7,177;0,137363;20;0,137363;13,746;0,139491;20;0,139491;17,926;0,137735;20;0,137735;18,139;0,140526;20;0,140526;18,827;0,137514;20;0,137514;18,238
35;0,141777;20;0,141777;6,676;0,141461;20;0,141461;13,883;0,143594;20;0,143594;18,75;0,141835;20;0,141835;19,387;0,144682;20;0,144682;19,793;0,141616;20;0,141616;19,34
36;0,145874;20;0,145874;6,128;0,145561;20;0,145561;13,849;0,147698;20;0,147698;19,242;0,145932;20;0,145932;20,68;0,148714;20;0,148714;20,861;0,145776;20;0,145776;20,483
37;0,149976;20;0,149976;5,6;0,149653;20;0,149653;13,6;0,151777;20;0,151777;19,486;0,15003;20;0,15003;21,89;0,152883;20;0,152883;21,993;0,149862;20;0,149862;21,455
38;0,154055;20;0,154055;5,181;0,153808;20;0,153808;13,263;0,155908;20;0,155908;19,39;0,154134;20;0,154134;22,961;0,156986;20;0,156986;23,103;0,153965;20;0,153965;22,336
39;0,158175;20;0,158175;4,921;0,157935;20;0,157935;12,819;0,159992;20;0,159992;19,035;0,158233;20;0,158233;23,826;0,161063;20;0,161063;24,036;0,158151;20;0,158151;22,97
40;0,162269;20;0,162269;4,837;0,161961;20;0,161961;12,37;0,164072;20;0,164072;18,52;0,162316;20;0,162316;24,342;0,165169;20;0,165169;24,777;0,162094;20;0,162094;23,367
41;0,166351;20;0,166351;4,932;0,166057;20;0,166057;11,92;0,168175;20;0,168175;17,855;0,16642;20;0,16642;24,511;0,169183;20;0,169183;25,186;0,16619;20;0,16619;23,42
42;0,170455;20;0,170455;5,174;0,170136;20;0,170136;11,512;0,172265;20;0,172265;17,215;0,170504;20;0,170504;24,31;0,173277;20;0,173277;25,38;0,170271;20;0,170271;23,215
43;0,174534;20;0,174534;5,532;0,174246;20;0,174246;11,177;0,176359;20;0,176359;16,545;0,174603;20;0,174603;23,908;0,177386;20;0,177386;25,238;0,174376;20;0,174376;22,81
44;0,178701;20;0,178701;5,934;0,178329;20;0,178329;10,9;0,180437;20;0,180437;16,035;0,178752;20;0,178752;23,245;0,181466;20;0,181466;24,962;0,178459;20;0,178459;22,228
45;0,182803;20;0,182803;6,317;0,182432;20;0,182432;10,741;0,184557;20;0,184557;15,56;0,182859;20;0,182859;22,522;0,185569;20;0,185569;24,452;0,182559;20;0,182559;21,606
46;0,186879;20;0,186879;6,628;0,186523;20;0,186523;10,677;0,188645;20;0,188645;15,254;0,186958;20;0,186958;21,731;0,189676;20;0,189676;23,863;0,186663;20;0,186663;20,937
47;0,190918;20;0,190918;6,836;0,19061;20;0,19061;10,744;0,19275;20;0,19275;15,057;0,191039;20;0,191039;20,997;0,193759;20;0,193759;23,178;0,190782;20;0,190782;20,346
48;0,19502;20;0,19502;6,902;0,194736;20;0,194736;10,894;0,196827;20;0,196827;14,963;0,19508;20;0,19508;20,336;0,197917;20;0,197917;22,521;0,194921;20;0,194921;19,776
49;0,199099;20;0,199099;6,845;0,198817;20;0,198817;11,123;0,200987;20;0,200987;15,014;0,19918;20;0,19918;19,767;0,202025;20;0,202025;21,964;0,199027;20;0,199027;19,334
50;0,203259;20;0,203259;6,677;0,202933;20;0,202933;11,388;0,205046;20;0,205046;15,073;0,203256;20;0,203256;19,379;0,206126;20;0,206126;21,508;0,20314;20;0,20314;19,016
51;0,207292;20;0,207292;6,44;0,207029;20;0,207029;11,672;0,209122;20;0,209122;15,264;0,207364;20;0,207364;19,073;0,210202;20;0,210202;21,244;0,207204;20;0,207204;18,857
52;0,211387;20;0,211387;6,178;0,211118;20;0,211118;11,95;0,213225;20;0,213225;15,381;0,211467;20;0,211467;18,982;0,214293;20;0,214293;21,088;0,21125;20;0,21125;18,765
53;0,215482;20;0,215482;5,93;0,215335;20;0,215335;12,191;0,217323;20;0,217323;15,624;0,215599;20;0,215599;18,925;0,21834;20;0,21834;21,052;0,215326;20;0,215326;18,798
54;0,219576;20;0,219576;5,734;0,219373;20;0,219373;12,415;0,221422;20;0,221422;15,844;0,219655;20;0,219655;19,066;0,222441;20;0,222441;21,092;0,219439;20;0,219439;18,88
55;0,22368;20;0,22368;5,611;0,223401;20;0,223401;12,573;0,225525;20;0,225525;16,189;0,223777;20;0,223777;19,2;0,22652;20;0,22652;21,167;0,223537;20;0,223537;19,041
56;0,227782;20;0,227782;5,576;0,227502;20;0,227502;12,675;0,229602;20;0,229602;16,516;0,227915;20;0,227915;19,483;0,230683;20;0,230683;21,348;0,227618;20;0,227618;19,185
57;0,231861;20;0,231861;5,622;0,231611;20;0,231611;12,682;0,233747;20;0,233747;16,875;0,23202;20;0,23202;19,846;0,234739;20;0,234739;21,48;0,231722;20;0,231722;19,435
58;0,235983;20;0,235983;5,738;0,235683;20;0,235683;12,615;0,237813;20;0,237813;17,214;0,236126;20;0,236126;20,288;0,238816;20;0,238816;21,717;0,235807;20;0,235807;19,716
59;0,240077;20;0,240077;5,897;0,239785;20;0,239785;12,466;0,241889;20;0,241889;17,459;0,240194;20;0,240194;20,809;0,242922;20;0,242922;21,973;0,239963;20;0,239963;20,09
60;0,244157;20;0,244157;6,063;0,24389;20;0,24389;12,264;0,246057;20;0,246057;17,663;0,24423;20;0,24423;21,302;0,247084;20;0,247084;22,354;0,244122;20;0,244122;20,425
61;0,248265;20;0,248265;6,209;0,247987;20;0,247987;12,035;0,25008;20;0,25008;17,732;0,248336;20;0,248336;21,815;0,251171;20;0,251171;22,699;0,24816;20;0,24816;20,777
62;0,252349;20;0,252349;6,305;0,252084;20;0,252084;11,799;0,254185;20;0,254185;17,755;0,252406;20;0,252406;22,191;0,25529;20;0,25529;23,075;0,252269;20;0,252269;21,06
63;0,256466;20;0,256466;6,335;0,256178;20;0,256178;11,589;0,258302;20;0,258302;17,614;0,256535;20;0,256535;22,537;0,259347;20;0,259347;23,364;0,256319;20;0,256319;21,301
64;0,260547;20;0,260547;6,3;0,260275;20;0,260275;11,395;0,262389;20;0,262389;17,396;0,260599;20;0,260599;22,696;0,263389;20;0,263389;23,575;0,260398;20;0,260398;21,443
65;0,264628;20;0,264628;6,21;0,264355;20;0,264355;11,247;0,266466;20;0,266466;17,062;0,264703;20;0,264703;22,763;0,267487;20;0,267487;23,662;0,264478;20;0,264478;21,505
66;0,268737;20;0,268737;6,089;0,268458;20;0,268458;11,134;0,27057;20;0,27057;16,693;0,268807;20;0,268807;22,609;0,271569;20;0,271569;23,61;0,268584;20;0,268584;21,469
67;0,272835;20;0,272835;5,972;0,272559;20;0,272559;11,08;0,274675;20;0,274675;16,299;0,272888;20;0,272888;22,353;0,275676;20;0,275676;23,47;0,272657;20;0,272657;21,315
68;0,27691;20;0,27691;5,889;0,276624;20;0,276624;11,084;0,27876;20;0,27876;15,905;0,276991;20;0,276991;21,959;0,279788;20;0,279788;23,192;0,27677;20;0,27677;21,064
69;0,281014;20;0,281014;5,853;0,280722;20;0,280722;11,163;0,2829;20;0,2829;15,609;0,28107;20;0,28107;21,486;0,28386;20;0,28386;22,889;0,28087;20;0,28087;20,694
70;0,285163;20;0,285163;5,873;0,284842;20;0,284842;11,308;0,287068;20;0,287068;15,358;0,285172;20;0,285172;20,977;0,287969;20;0,287969;22,479;0,284955;20;0,284955;20,318
71;0,289253;20;0,289253;5,941;0,288919;20;0,288919;11,509;0,29113;20;0,29113;15,255;0,289278;20;0,289278;20,464;0,292059;20;0,292059;22,097;0,289126;20;0,289126;19,899
72;0,293311;20;0,293311;6,035;0,293023;20;0,293023;11,739;0,295228;20;0,295228;15,225;0,293379;20;0,293379;20,023;0,296226;20;0,296226;21,724;0,293212;20;0,293212;19,519
73;0,297419;20;0,297419;6,132;0,297128;20;0,297128;11,965;0,299307;20;0,299307;15,352;0,297457;20;0,297457;19,626;0,300345;20;0,300345;21,431;0,297308;20;0,297308;19,197
74;0,301523;20;0,301523;6,213;0,301236;20;0,301236;12,174;0,303409;20;0,303409;15,552;0,301597;20;0,301597;19,386;0,304408;20;0,304408;21,222;0,301412;20;0,301412;18,997
75;0,305608;20;0,305608;6,26;0,305334;20;0,305334;12,327;0,307416;20;0,307416;15,828;0,30565;20;0,30565;19,262;0,308503;20;0,308503;21,124;0,305491;20;0,305491;18,929
76;0,309687;20;0,309687;6,269;0,309501;20;0,309501;12,422;0,311531;20;0,311531;16,129;0,309753;20;0,309753;19,324;0,312544;20;0,312544;21,163;0,309597;20;0,309597;18,982
