;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nacelle NC10...;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;- Tableau des résultats -;;;
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés); n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés)
12;0,050433;0,789;0,050433;0,548;0,051716;1,596;0,051716;0,962;0,04744;2,807;0,04744;1,821;0,051755;4,005;0,051755;2,982;0,047621;4,654;0,047621;4,003;0,047593;4,986;0,047593;4,846;0,04774;4,547;0,04774;5,464;0,047352;0,828;0,047352;7,104;0,051824;-4,004;0,051824;7,264;0,047612;-4,97;0,047612;6,255;12;0,050745;0,467;0,050745;4,331
13;0,054557;0,853;0,054557;0,642;0,055835;1,718;0,055835;1,173;0,051435;3,011;0,051435;2,329;0,055847;4,214;0,055847;3,665;0,051745;4,818;0,051745;4,959;0,051738;4,993;0,051738;5,799;0,051804;4,129;0,051804;6,58;0,051451;-0,455;0,051451;7,803;0,055935;-4,747;0,055935;7,314;0,051683;-4,8;0,051683;5,649;13;0,05487;2,872;0,05487;3,256
14;0,058628;0,916;0,058628;0,745;0,059896;1,838;0,059896;1,395;0,055552;3,214;0,055552;2,849;0,05996;4,401;0,05996;4,348;0,055842;4,93;0,055842;5,89;0,055817;4,917;0,055817;6,638;0,055868;3,592;0,055868;7,487;0,055577;-1,716;0,055577;7,994;0,059982;-5;0,059982;6,688;0,055807;-3,881;0,055807;4,432;14;0,058963;4,514;0,058963;1,756
15;0,062708;0,979;0,062708;0,847;0,064004;1,957;0,064004;1,611;0,059606;3,405;0,059606;3,355;0,064048;4,563;0,064048;5,013;0,059917;4,989;0,059917;6,701;0,059944;4,758;0,059944;7,287;0,059996;2,94;0,059996;8,108;0,059676;-2,856;0,059676;7,601;0,064093;-4,744;0,064093;5,428;0,059905;-2,364;0,059905;2,721;15;0,063107;4,985;0,063107;0
16;0,066856;1,042;0,066856;0,952;0,068106;2,075;0,068106;1,812;0,063709;3,589;0,063709;3,846;0,068117;4,7;0,068117;5,629;0,063997;4,996;0,063997;7,308;0,064072;4,519;0,064072;7,687;0,064026;2,218;0,064026;8,342;0,063826;-3,817;0,063826;6,593;0,068198;-3,999;0,068198;3,705;0,064029;-0,469;0,064029;0,532;16;0,067171;4,163;0,067171;-1,624
17;0,07092;1,105;0,07092;1,063;0,072191;2,191;0,072191;1,993;0,067812;3,763;0,067812;4,294;0,07222;4,813;0,07222;6,122;0,0681;4,951;0,0681;7,683;0,068136;4,21;0,068136;7,822;0,068131;1,419;0,068131;8,234;0,06785;-4,504;0,06785;5,055;0,072273;-2,851;0,072273;1,488;0,068056;1,456;0,068056;-1,851;17;0,071255;2,267;0,071255;-2,822
18;0,074998;1,167;0,074998;1,178;0,076285;2,306;0,076285;2,158;0,07189;3,927;0,07189;4,695;0,076381;4,901;0,076381;6,458;0,072204;4,852;0,072204;7,809;0,07314;3,736;0,07314;7,67;0,072232;0,578;0,072232;7,696;0,071929;-4,907;0,071929;3,092;0,076377;-1,404;0,076377;-1,02;0,072158;3,19;0,072158;-4,165;18;0,075335;-0,21;0,075335;-3,33
19;0,079098;1,23;0,079098;1,29;0,08038;2,419;0,08038;2,302;0,075993;4,081;0,075993;5,031;0,080413;4,96;0,080413;6,609;0,076285;4,703;0,076285;7,691;0,076278;3,391;0,076278;7,26;0,076311;-0,274;0,076311;6,802;0,076033;-4,989;0,076033;0,771;0,080482;0,189;0,080482;-3,664;0,076282;4,435;0,076282;-6,027;19;0,079437;-2,645;0,079437;-3,122
20;0,083209;1,292;0,083209;1,39;0,08448;2,531;0,08448;2,418;0,080146;4,227;0,080146;5,289;0,084489;4,993;0,084489;6,594;0,080387;4,503;0,080387;7,361;0,081138;2,792;0,081138;6,63;0,080419;-1,125;0,080419;5,564;0,080137;-4,742;0,080137;-1,767;0,084595;1,766;0,084595;-6,104;0,080368;4,982;0,080368;-7,249;20;0,083517;-4,387;0,083517;-2,308
21;0,087309;1,354;0,087309;1,489;0,088585;2,641;0,088585;2,524;0,084195;4,357;0,084195;5,467;0,088594;4,999;0,088594;6,439;0,084499;4,255;0,084499;6,854;0,084461;2,345;0,084461;5,833;0,084525;-1,942;0,084525;4,113;0,084214;-4,185;0,084214;-4,368;0,088674;3,149;0,088674;-8,145;0,084447;4,763;0,084447;-7,626;21;0,087621;-4,999;0,087621;-1,106
