Temps,Sortie Reg.,I moteur,position,accélération,vitesse
s,mA,mA,mm,mm/s²,mm/s
1.290,199.707,146.484,111.728,2.703,103.214
1.300,199.707,146.973,112.736,-8.110,103.214
1.310,199.707,144.043,113.742,-5.407,103.082
1.320,199.707,138.184,114.750,-5.407,103.214
1.330,199.707,141.602,115.756,-5.407,102.950
1.340,199.707,145.996,116.762,-2.703,102.950
1.350,199.707,150.879,117.760,-35.143,101.630
1.360,199.707,146.484,118.764,0.000,102.818
1.370,199.707,146.484,119.766,-16.220,102.422
1.380,199.707,146.973,120.769,21.626,102.686
1.390,199.707,149.902,121.773,-27.033,102.818
1.400,199.707,146.484,122.779,35.143,102.950
1.410,199.707,140.625,123.784,-2.703,102.950
1.420,199.707,146.973,124.790,8.110,102.950
1.430,199.707,145.508,125.789,-18.923,101.894
1.440,199.707,146.973,126.795,2.703,102.950
1.450,199.707,145.996,127.797,0.000,102.950
1.460,199.707,144.531,128.805,24.330,103.082
1.470,199.707,134.766,129.814,-16.220,103.214
1.480,199.707,136.230,130.824,32.439,103.478
1.490,199.707,133.789,131.837,13.516,103.742
1.500,199.707,129.883,132.850,13.516,103.742
1.510,199.707,130.371,133.864,8.110,103.742
1.520,199.707,130.859,134.879,10.813,104.006
1.530,199.707,131.348,135.895,10.813,104.006
1.540,199.707,131.348,136.912,8.110,104.138
1.550,199.707,129.883,137.930,5.407,104.270
1.560,199.707,120.605,138.947,10.813,104.270
1.570,199.707,121.094,139.963,-8.110,103.742
1.580,199.707,119.629,140.980,0.000,104.138
1.590,199.707,117.676,141.999,2.703,104.270
1.600,199.707,119.629,143.014,10.813,104.270
1.610,199.707,122.559,144.031,-13.516,104.006
1.620,199.707,125.000,145.047,5.407,104.138
1.630,199.707,120.605,146.064,0.000,104.138
1.640,199.707,122.070,147.081,2.703,104.138
1.650,199.707,123.047,148.095,-2.703,104.270
1.660,199.707,123.047,149.111,0.000,104.006
1.670,199.707,125.488,150.128,0.000,104.138
1.680,199.707,123.047,151.144,-5.407,104.006
