Temps,Consigne,Ecart,I moteur,vitesse
s,mm/s,mm/s,mA,mm/s
1.500,0.000,0.000,-121.582,0.000
1.510,0.000,0.000,-115.234,0.000
1.520,0.000,0.000,-118.164,0.000
1.530,0.000,0.000,-121.094,0.000
1.540,0.000,0.000,-115.723,0.000
1.550,0.000,0.000,-116.211,0.000
1.560,0.000,0.000,-116.699,0.000
1.570,0.000,0.000,-110.352,0.000
1.580,0.000,0.000,-118.164,0.000
1.590,0.000,0.000,-116.211,0.000
1.600,0.000,0.000,-116.699,0.000
1.610,0.000,0.000,-117.676,0.000
1.620,0.000,0.000,-114.746,0.000
1.630,0.000,0.000,-116.211,0.000
1.640,0.000,0.000,-118.652,0.000
1.650,0.000,0.000,-118.652,0.000
1.660,0.000,0.000,-116.699,0.000
1.670,0.000,0.000,-117.676,0.000
1.680,0.000,0.000,-120.117,0.000
1.690,0.000,0.000,-118.164,0.000
1.700,0.000,0.000,-116.699,0.000
1.710,0.000,0.000,-117.676,0.000
1.720,0.000,0.000,-120.117,0.000
1.730,0.000,0.000,-119.629,0.000
1.740,0.000,0.000,-118.164,0.000
1.750,0.000,0.000,-118.164,0.000
1.760,0.000,0.000,-118.652,0.000
1.770,0.000,0.000,-115.723,0.000
1.780,0.000,0.000,-120.117,0.000
1.790,0.000,0.000,-116.699,0.000
1.800,0.000,0.000,-117.676,0.000
1.810,0.000,0.000,-118.164,0.000
1.820,0.000,0.000,-118.164,0.000
1.830,0.000,0.000,-118.652,0.000
1.840,0.000,0.000,-116.211,0.000
1.850,0.000,0.000,-116.699,0.000
1.860,0.000,0.000,-118.652,0.000
1.870,0.000,0.000,-119.141,0.000
1.880,0.000,0.000,-119.141,0.000
1.890,0.000,0.000,-118.164,0.000
1.900,0.000,0.000,-117.188,0.000
1.910,0.000,0.000,-118.652,0.000
1.920,0.000,0.000,-111.328,0.000
1.930,0.000,0.000,-114.746,0.000
1.940,0.000,0.000,-118.652,0.000
1.950,0.000,0.000,-119.629,0.000
1.960,0.000,0.000,-119.629,0.000
1.970,0.000,0.000,-119.141,0.000
1.980,0.000,0.000,-116.699,0.000
1.990,0.000,0.000,-116.211,0.000
2.000,0.000,0.000,-115.723,0.000
2.010,0.000,0.000,-116.211,0.000
2.020,0.000,0.000,-118.652,0.000
2.030,0.000,0.000,-114.258,0.000
2.040,0.000,0.000,-116.211,0.000
2.050,0.000,0.000,-119.141,0.000
2.060,0.000,0.000,-115.723,0.000
2.070,0.000,0.000,-119.141,0.000
2.080,0.000,0.000,-115.723,0.000
2.090,0.000,0.000,-116.211,0.000
2.100,0.000,0.000,-115.723,0.000
2.110,0.000,0.000,-117.188,0.000
2.120,0.000,0.000,-118.652,0.000
2.130,0.000,0.000,-119.629,0.000
2.140,0.000,0.000,-117.676,0.000
2.150,0.000,0.000,-117.676,0.000
2.160,0.000,0.000,-114.746,0.000
2.170,0.000,0.000,-117.676,0.000
2.180,0.000,0.000,-115.723,0.000
2.190,0.000,0.000,-117.188,0.000
2.200,0.000,0.000,-116.211,0.000
2.210,0.000,0.000,-118.652,0.000
2.220,0.000,0.000,-117.188,0.000
