Temps,vitesse,I moteur,accélération,position,U moteur,Sortie Reg.
s,mm/s,mA,mm/s²,mm,V,mA
0.000,-0.132,8.789,-5.407,24.237,-0.239,0.000
0.010,0.000,11.719,0.000,24.237,-0.304,0.000
0.020,0.000,11.230,2.703,24.237,-0.195,0.000
0.030,0.000,8.789,0.000,24.238,-0.488,0.000
0.040,0.000,11.719,-2.703,24.238,-0.564,0.000
0.050,0.000,20.996,2.703,24.237,-0.445,0.000
0.060,0.000,18.066,0.000,24.237,-0.152,0.000
0.070,0.132,0.977,2.703,24.238,0.119,0.000
0.080,0.000,-20.508,0.000,24.238,0.347,0.000
0.090,-0.132,-15.137,-2.703,24.237,0.260,0.000
0.100,0.132,172.363,0.000,24.240,1.725,199.707
0.110,2.508,207.520,54.066,24.263,1.758,199.707
0.120,3.828,189.453,78.395,24.300,2.485,199.707
0.130,5.675,195.313,110.834,24.353,2.669,199.707
0.140,7.259,200.684,102.725,24.423,3.342,199.707
0.150,8.843,193.848,151.384,24.508,3.299,199.707
0.160,10.427,208.008,124.351,24.609,3.635,199.707
0.170,12.275,206.055,140.570,24.729,4.264,199.707
0.180,13.991,198.242,137.867,24.865,4.525,199.707
0.190,15.311,209.961,132.461,25.014,4.883,199.707
0.200,16.630,189.941,121.648,25.175,5.122,199.707
0.210,18.082,191.895,121.648,25.351,5.632,199.707
0.220,19.930,198.242,129.757,25.545,5.707,199.707
0.230,21.382,191.895,124.351,25.753,6.402,199.707
0.240,22.966,200.195,127.054,25.977,6.467,199.707
0.250,24.682,195.801,127.054,26.217,7.010,199.707
0.260,25.870,193.359,129.757,26.469,7.129,199.707
0.270,27.321,203.613,118.944,26.736,7.400,199.707
0.280,28.905,200.195,118.944,27.017,7.769,199.707
0.290,30.621,207.031,132.461,27.315,8.149,199.707
0.300,31.941,201.660,118.944,27.627,8.550,199.707
0.310,33.261,199.219,118.944,27.951,8.648,199.707
0.320,34.713,193.848,116.241,28.289,9.201,199.707
0.330,36.165,194.824,121.648,28.642,9.625,199.707
0.340,37.484,203.613,113.538,29.007,9.852,199.707
0.350,38.672,202.637,108.131,29.384,9.918,199.707
0.360,40.124,199.707,110.834,29.776,10.579,199.707
0.370,41.576,198.242,113.538,30.181,10.525,199.707
0.380,42.896,196.777,113.538,30.599,10.612,199.707
0.390,44.480,199.219,113.538,31.032,11.263,199.707
0.400,45.932,202.637,118.944,31.480,11.751,199.707
0.410,47.384,201.172,121.648,31.942,11.589,199.707
0.420,48.703,199.219,113.538,32.417,12.500,199.707
0.430,50.287,198.242,121.648,32.909,12.771,199.707
0.440,51.871,196.289,121.648,33.415,12.912,199.707
0.450,53.455,195.801,127.054,33.936,13.292,199.707
0.460,54.775,197.754,118.944,34.471,13.401,199.707
0.470,56.227,200.195,121.648,35.020,13.867,199.707
0.480,57.679,197.754,118.944,35.582,14.280,199.707
0.490,59.262,191.406,124.351,36.160,14.638,199.707
0.500,60.714,201.660,118.944,36.752,14.790,199.707
0.510,62.166,192.383,121.648,37.358,15.462,199.707
0.520,63.618,199.707,118.944,37.979,15.614,199.707
0.530,65.202,203.125,124.351,38.615,15.940,199.707
