Temps,vitesse,I moteur,accélération,position,U moteur,Sortie Reg.
s,mm/s,mA,mm/s²,mm,V,mA
1.110,103.742,120.117,-2.703,93.688,22.211,199.707
1.120,103.742,127.930,5.407,94.701,22.211,199.707
1.130,103.742,123.535,8.110,95.715,22.211,199.707
1.140,103.742,123.535,2.703,96.728,22.211,199.707
1.150,103.742,122.559,-2.703,97.740,22.211,199.707
1.160,103.610,118.652,-2.703,98.752,22.211,199.707
1.170,103.082,125.000,-13.516,99.758,22.211,199.707
1.180,103.610,123.535,-2.703,100.770,22.211,199.707
1.190,103.478,122.559,-2.703,101.781,22.211,199.707
1.200,103.346,124.023,2.703,102.791,22.211,199.707
1.210,103.346,130.371,-16.220,103.801,22.211,199.707
1.220,102.818,131.348,-2.703,104.808,22.211,199.707
1.230,103.346,130.859,-2.703,105.817,22.211,199.707
1.240,103.214,131.836,-5.407,106.824,22.211,199.707
1.250,103.082,130.859,5.407,107.831,22.211,199.707
1.260,102.950,135.742,-18.923,108.836,22.211,199.707
1.270,102.818,137.207,2.703,109.840,22.211,199.707
1.280,102.554,144.531,-13.516,110.842,22.211,199.707
1.290,102.422,148.926,-13.516,111.843,22.211,199.707
1.300,102.422,132.813,-10.813,112.842,22.211,199.707
1.310,102.026,132.324,-13.516,113.836,22.211,199.707
1.320,102.026,133.789,-13.516,114.833,22.211,199.707
1.330,101.234,142.090,-27.033,115.824,22.211,199.707
1.340,101.630,149.902,-8.110,116.818,22.211,199.707
1.350,101.498,147.461,-18.923,117.809,22.211,199.707
1.360,101.630,149.414,8.110,118.802,22.211,199.707
1.370,101.762,149.902,-13.516,119.795,22.211,199.707
1.380,101.498,151.367,8.110,120.783,22.211,199.707
1.390,101.630,147.949,-2.703,121.776,22.211,199.707
1.400,101.762,147.949,2.703,122.770,22.211,199.707
1.410,101.366,150.391,0.000,123.760,22.211,199.707
1.420,101.762,152.832,-2.703,124.754,22.211,199.707
1.430,101.630,147.949,0.000,125.748,22.211,199.707
1.440,101.894,145.996,13.516,126.742,22.211,199.707
1.450,101.498,145.508,-13.516,127.736,22.211,199.707
1.460,102.158,151.855,18.923,128.729,22.211,199.707
1.470,102.290,143.066,5.407,129.728,22.211,199.707
1.480,102.422,138.184,24.330,130.729,22.211,199.707
1.490,102.158,142.578,-8.110,131.732,22.211,199.707
1.500,102.818,143.066,24.330,132.736,22.211,199.707
1.510,102.422,131.348,2.703,133.735,22.211,199.707
1.520,102.950,128.418,18.923,134.740,22.211,199.707
1.530,102.950,123.047,-2.703,135.746,22.211,199.707
1.540,103.214,124.512,29.736,136.751,22.211,199.707
1.550,103.214,129.395,-2.703,137.759,22.211,199.707
1.560,102.554,124.512,2.703,138.764,22.211,199.707
1.570,103.214,124.023,0.000,139.772,22.211,199.707
1.580,102.818,121.582,-2.703,140.779,22.211,199.707
1.590,103.478,121.094,18.923,141.789,22.211,199.707
1.600,103.478,124.023,-8.110,142.798,22.211,199.707
1.610,103.346,118.652,24.330,143.807,22.211,199.707
1.620,102.686,120.605,-24.330,144.813,22.211,199.707
1.630,103.346,118.652,10.813,145.819,22.211,199.707
1.640,103.346,123.047,0.000,146.827,22.211,199.707
1.650,103.082,126.953,5.407,147.832,22.211,199.707
1.660,103.214,118.164,-16.220,148.837,22.211,199.707
1.670,103.082,120.117,8.110,149.844,22.211,199.707
1.680,103.214,120.117,2.703,150.845,22.211,199.707
1.690,103.082,130.859,-8.110,151.852,22.211,199.707
1.700,102.818,128.418,-2.703,152.857,22.211,199.707
1.710,102.686,130.371,-13.516,153.861,22.211,199.707
1.720,102.290,127.441,-13.516,154.862,22.211,199.707
1.730,102.818,136.719,-2.703,155.866,22.211,199.707
1.740,102.554,138.184,-8.110,156.864,22.211,199.707
1.750,102.554,135.742,2.703,157.865,22.211,199.707
1.760,102.422,135.742,-16.220,158.865,22.211,199.707
1.770,101.894,137.695,-2.703,159.860,22.211,199.707
1.780,102.290,146.973,-10.813,160.858,22.211,199.707
1.790,102.026,143.066,-8.110,161.852,22.211,199.707
1.800,101.894,144.531,-2.703,162.848,22.211,199.707
1.810,101.894,145.508,-18.923,163.843,22.211,199.707
1.820,101.894,152.832,5.407,164.837,22.211,199.707
1.830,101.630,147.461,-10.813,165.831,22.211,199.707
1.840,101.894,146.484,-2.703,166.825,22.211,199.707
