Temps,vitesse,I moteur,accélération,position,U moteur,Sortie Reg.
s,mm/s,mA,mm/s²,mm,V,mA
0.000,0.000,-25.391,0.000,24.120,0.477,0.000
0.010,0.000,-10.742,0.000,24.120,-0.022,0.000
0.020,0.000,28.320,0.000,24.120,-0.597,0.000
0.030,0.000,15.137,0.000,24.120,-0.033,0.000
0.040,0.000,5.371,0.000,24.120,0.119,0.000
0.050,0.000,-36.133,0.000,24.120,0.434,0.000
0.060,0.000,-21.484,0.000,24.120,0.271,0.000
0.070,0.000,-20.996,0.000,24.120,0.239,0.000
0.080,0.000,5.371,0.000,24.120,-0.043,0.000
0.090,0.000,3.418,0.000,24.120,-0.228,0.000
0.100,0.924,180.664,18.923,24.131,1.736,199.707
0.110,3.564,202.637,72.989,24.167,2.355,199.707
0.120,5.675,194.824,116.241,24.223,2.951,199.707
0.130,7.919,200.684,143.274,24.303,3.353,199.707
0.140,10.031,194.824,151.384,24.402,3.950,199.707
0.150,12.011,208.008,183.823,24.520,3.993,199.707
0.160,13.463,204.102,156.790,24.653,4.395,199.707
0.170,15.443,189.941,156.790,24.804,4.948,199.707
0.180,17.026,198.242,145.977,24.972,5.458,199.707
0.190,18.346,199.707,140.570,25.151,5.480,199.707
0.200,19.534,199.707,113.538,25.343,5.816,199.707
0.210,21.118,198.730,124.351,25.551,6.217,199.707
0.220,22.702,200.195,121.648,25.773,6.825,199.707
0.230,24.154,202.637,121.648,26.010,6.814,199.707
0.240,25.870,200.684,121.648,26.263,7.183,199.707
0.250,27.189,196.777,124.351,26.529,7.737,199.707
0.260,28.641,197.754,124.351,26.808,7.737,199.707
0.270,29.961,194.824,113.538,27.101,8.279,199.707
0.280,31.281,200.684,118.944,27.408,8.540,199.707
0.290,32.601,195.313,108.131,27.727,8.908,199.707
0.300,33.789,194.336,108.131,28.058,8.919,199.707
0.310,35.373,198.242,110.834,28.403,9.169,199.707
0.320,36.957,197.266,116.241,28.764,9.592,199.707
0.330,38.276,199.707,118.944,29.137,9.809,199.707
0.340,39.464,194.336,108.131,29.524,10.113,199.707
0.350,40.916,197.266,113.538,29.923,10.699,199.707
0.360,42.368,193.848,116.241,30.337,10.948,199.707
0.370,43.688,200.195,113.538,30.765,11.089,199.707
0.380,45.140,198.242,110.834,31.208,11.382,199.707
0.390,46.724,196.777,118.944,31.664,11.979,199.707
0.400,48.175,204.102,121.648,32.134,11.968,199.707
0.410,49.495,196.289,116.241,32.619,12.250,199.707
0.420,51.079,203.613,118.944,33.119,12.522,199.707
0.430,52.663,201.172,124.351,33.633,13.184,199.707
0.440,54.115,202.148,124.351,34.162,13.205,199.707
0.450,55.435,198.242,116.241,34.704,13.704,199.707
0.460,57.019,196.777,121.648,35.261,14.312,199.707
0.470,58.339,201.172,118.944,35.832,14.518,199.707
0.480,59.790,200.195,118.944,36.417,14.833,199.707
0.490,61.242,200.684,113.538,37.016,14.833,199.707
0.500,62.694,195.313,121.648,37.630,15.603,199.707
0.510,64.278,194.824,118.944,38.257,15.712,199.707
0.520,65.598,195.313,118.944,38.899,15.983,199.707
