Temps,Consigne,Ecart,I moteur,vitesse
s,mm/s,mm/s,mA,mm/s
2.470,0.000,0.000,-108.398,0.000
2.480,0.000,0.000,-106.445,0.000
2.490,0.000,0.000,-113.281,0.000
2.500,0.000,0.000,-110.840,0.000
2.510,0.000,0.000,-109.375,0.000
2.520,0.000,0.000,-99.121,0.000
2.530,0.000,0.000,-108.887,0.000
2.540,0.000,0.000,-107.422,0.000
2.550,0.000,0.000,-111.328,0.000
2.560,0.000,0.000,-107.910,0.000
2.570,0.000,0.000,-113.281,0.000
2.580,0.000,0.000,-107.910,0.000
2.590,0.000,0.000,-107.910,0.000
2.600,0.000,0.000,-111.328,0.000
2.610,0.000,0.000,-113.770,0.000
2.620,0.000,0.000,-105.469,0.000
2.630,0.000,0.000,-105.469,0.000
2.640,0.000,0.000,-113.281,0.000
2.650,0.000,0.000,-109.863,0.000
2.660,0.000,0.000,-108.887,0.000
2.670,0.000,0.000,-109.375,0.000
2.680,0.000,0.000,-106.445,0.000
2.690,0.000,0.000,-107.910,0.000
2.700,0.000,0.000,-110.840,0.000
2.710,0.000,0.000,-109.863,0.000
