Temps,Consigne,Ecart,I moteur,vitesse
s,mm/s,mm/s,mA,mm/s
1.560,0.000,-21.910,-79.590,18.082
1.570,0.000,-18.082,-67.383,14.519
1.580,0.000,-14.519,-59.082,10.955
1.590,0.000,-10.955,-41.504,7.523
1.600,0.000,-7.523,-15.625,4.752
1.610,0.000,-4.752,-31.250,2.112
1.620,0.000,-2.112,-12.695,0.000
1.630,0.000,0.000,15.137,-0.264
1.640,0.000,0.264,11.230,0.000
1.650,0.000,0.000,-16.113,-0.132
1.660,0.000,0.132,-24.902,0.000
1.670,0.000,0.000,16.113,0.000
1.680,0.000,0.000,9.277,-0.132
1.690,0.000,0.132,15.137,0.000
1.700,0.000,0.000,11.719,-0.528
1.710,0.000,0.528,82.031,0.924
1.720,0.000,-0.924,-13.672,-0.264
1.730,0.000,0.264,-12.695,-0.132
1.740,0.000,0.132,20.020,0.132
1.750,0.000,-0.132,11.719,0.000
1.760,0.000,0.000,1.953,0.000
1.770,0.000,0.000,-14.160,0.000
1.780,0.000,0.000,11.230,-0.132
1.790,0.000,0.132,-7.813,0.000
1.800,0.000,0.000,3.418,0.132
1.810,0.000,-0.132,18.555,0.000
1.820,0.000,0.000,-6.836,0.000
1.830,0.000,0.000,-15.625,0.000
1.840,0.000,0.000,-3.906,-0.132
1.850,0.000,0.132,24.414,0.000
1.860,0.000,0.000,0.488,0.000
1.870,0.000,0.000,15.625,-0.396
1.880,0.000,0.396,4.883,0.528
1.890,0.000,-0.528,0.977,0.396
1.900,0.000,-0.396,-14.160,-0.264
1.910,0.000,0.264,-6.836,0.132
1.920,0.000,-0.132,12.207,0.000
1.930,0.000,0.000,9.766,0.000
1.940,0.000,0.000,-11.230,0.000
1.950,0.000,0.000,12.207,0.000
1.960,0.000,0.000,16.602,0.000
1.970,0.000,0.000,-24.414,0.000
1.980,0.000,0.000,-8.789,0.132
1.990,0.000,-0.132,1.953,-0.132
2.000,0.000,0.132,-15.625,0.132
2.010,0.000,-0.132,9.766,0.000
2.020,0.000,0.000,12.207,0.000
2.030,0.000,0.000,-20.508,0.000
2.040,0.000,0.000,-20.996,0.000
2.050,0.000,0.000,0.977,-0.660
2.060,0.000,0.660,5.859,-0.132
2.070,0.000,0.132,8.301,0.132
2.080,0.000,-0.132,11.230,-0.132
2.090,0.000,0.132,2.930,0.000
2.100,0.000,0.000,-14.648,0.000
2.110,0.000,0.000,11.230,0.000
2.120,0.000,0.000,20.996,0.000
2.130,0.000,0.000,-8.789,0.000
2.140,0.000,0.000,6.348,0.000
2.150,0.000,0.000,0.977,-0.132
