temps;MDR;TRH1;EFN
temps;Commande Moteur Droit;trs/min Droit;Effort milli N
0000.003;03685;00000; 00128
0000.022;03685;00000; 00118
0000.040;05143;00000; 00118
0000.062;05143;00000; 00118
0000.078;05143;00000; 00118
0000.094;05143;00000; 00118
0000.107;05143;00000; 00128
0000.123;05143;00000; 00118
0000.139;05143;00000; 00128
0000.155;05143;00000; 00128
0000.171;05143;07402; 00118
0000.200;05143;07402; 00128
0000.216;05143;08364; 00118
0000.232;05143;08364; 00128
0000.248;05143;01184; 00128
0000.262;05143;01563; 00128
0000.278;05143;01915; 00128
0000.296;05143;02641; 00128
0000.310;05143;02909; 00137
0000.326;05143;03331; 00147
0000.342;05143;03591; 00157
0000.358;05143;03830; 00157
0000.374;05143;04032; 00167
0000.387;05143;04256; 00177
0000.403;05143;04419; 00177
0000.419;05143;04506; 00186
0000.435;05143;04690; 00186
0000.451;05143;04890; 00186
0000.464;05143;05107; 00196
0000.483;05143;05223; 00255
0000.496;05143;05605; 00255
0000.512;05143;05605; 00265
0000.528;05143;05745; 00275
0000.544;05143;05745; 00324
0000.560;05143;06048; 00324
0000.574;05143;06048; 00334
0000.590;05143;06048; 00363
0000.606;05143;06211; 00383
0000.622;05143;06212; 00392
0000.638;05143;06212; 00402
0000.654;05143;06212; 00402
0000.670;05143;06384; 00402
0000.683;05143;06212; 00432
0000.699;05143;06384; 00432
0000.715;05143;06211; 00422
0000.731;05143;06211; 00461
0000.747;05143;06384; 00471
0000.763;05143;06211; 00461
0000.776;05143;06384; 00481
0000.792;05143;06383; 00481
0000.808;05143;06383; 00471
0000.824;05143;06384; 00490
0000.840;05143;06384; 00481
0000.854;05143;06384; 00481
0000.886;05143;06384; 00490
0000.902;05143;06384; 00500
0000.918;05143;06384; 00510
0000.934;05143;06384; 00510
0000.950;05143;06383; 00500
0000.966;05143;06383; 00510
0000.979;05143;06384; 00520
0000.995;05143;06566; 00520
0001.011;05143;06383; 00530
0001.027;05143;06383; 00530
0001.043;05143;06383; 00530
0001.059;05143;06384; 00530
0001.075;05143;06384; 00530
0001.088;05143;06384; 00530
0001.107;05143;06383; 00540
0001.120;05143;06383; 00549
0001.136;05143;06383; 00549
0001.152;05143;06211; 00549
0001.168;05143;06383; 00549
0001.184;05143;06383; 00530
0001.198;05143;06383; 00530
0001.214;05143;06383; 00510
0001.230;05143;06383; 00520
0001.246;05143;06383; 00520
0001.262;05143;06383; 00510
0001.278;05143;06384; 00520
0001.294;05143;06383; 00530
0001.307;05143;06384; 00520
0001.323;05143;06384; 00530
0001.339;05143;06383; 00530
0001.355;05143;06383; 00520
0001.368;05143;06383; 00520
0001.384;05143;06383; 00520
0001.400;05143;06383; 00510
0001.416;05143;06383; 00510
0001.432;05143;06382; 00500
0001.448;05143;06210; 00490
0001.464;05143;06383; 00500
0001.478;05143;06383; 00500
0001.494;05143;06382; 00510
0001.510;05143;06383; 00520
0001.526;05143;06383; 00520
0001.542;05143;06383; 00530
0001.571;05143;06383; 00510
0001.603;05143;06384; 00510
0001.619;05143;06383; 00510
0001.635;05143;06383; 00510
0001.651;05143;06382; 00520
0001.664;05143;06210; 00510
0001.680;05143;06383; 00530
0001.699;05143;06383; 00520
0001.712;05143;06383; 00510
0001.728;05143;06383; 00520
0001.744;05143;06383; 00520
0001.760;05143;06383; 00500
0001.776;05143;06383; 00520
0001.792;05143;06210; 00530
0001.808;05143;06382; 00530
0001.822;05143;06383; 00540
0001.838;05143;06383; 00530
0001.854;05143;06383; 00530
0001.870;05143;06383; 00530
0001.886;05143;06383; 00520
0001.899;05143;06383; 00510
0001.915;05143;06383; 00510
0001.931;05143;06383; 00510
0001.947;05143;06383; 00510
0001.963;05143;06383; 00520
0001.976;05143;06383; 00510
0001.992;05143;06383; 00520
0002.008;05143;06383; 00530
0002.024;05143;06383; 00520
0002.040;05143;06383; 00520
0002.056;05143;06383; 00510
0002.070;05143;06382; 00510
0002.086;05143;06382; 00520
0002.102;05143;06210; 00510
0002.118;05143;06383; 00520
0002.134;05143;06383; 00530
0002.150;05143;06210; 00530
0002.166;05143;06382; 00520
0002.179;05143;06383; 00520
0002.195;05143;06382; 00510
0002.211;05143;06382; 00500
0002.227;05143;06382; 00500
0002.243;05143;06210; 00510
0002.272;05143;06383; 00520
0002.288;05143;06382; 00520
0002.304;05139;06382; 00520
0002.320;05139;06382; 00530
0002.336;05139;06210; 00520
0002.352;05139;06382; 00510
0002.368;05139;06382; 00520
0002.384;05139;06383; 00510
0002.398;05139;06382; 00500
0002.414;05136;06210; 00500
0002.430;05136;06383; 00500
0002.446;05136;06383; 00500
0002.462;05136;06383; 00510
0002.478;05136;06383; 00510
0002.494;05132;06382; 00500
0002.507;05132;06383; 00520
0002.523;05132;06383; 00530
0002.539;05132;06383; 00530
0002.555;05129;06382; 00520
0002.568;05129;06382; 00520
0002.584;05129;06382; 00500
0002.600;05129;06382; 00500
0002.616;05125;06382; 00520
0002.632;05125;06382; 00520
0002.648;05125;06382; 00520
0002.664;05122;06383; 00530
0002.680;05122;06383; 00530
0002.694;05122;06382; 00530
0002.710;05122;06382; 00530
0002.726;05118;06382; 00520
0002.742;05118;06382; 00490
0002.758;05114;06210; 00500
0002.771;05114;06210; 00520
0002.787;05114;06210; 00530
0002.803;05111;06382; 00540
0002.819;05111;06382; 00549
0002.835;05107;06209; 00559
0002.851;05107;06210; 00559
0002.867;05104;06210; 00569
0002.883;05100;06210; 00569
0002.896;05100;06210; 00579
0002.912;05100;06210; 00579
0002.928;05100;06210; 00589
0002.944;05097;06046; 00598
0002.958;05097;06210; 00598
0002.974;05093;06210; 00598
0002.990;05093;06210; 00589
0003.006;05089;06209; 00589
0003.022;05089;06046; 00589
0003.038;05086;06210; 00579
0003.054;05082;06210; 00579
0003.067;05082;06209; 00559
0003.083;05082;06210; 00549
0003.099;05079;06210; 00540
0003.115;05075;06046; 00500
0003.131;05075;06046; 00490
0003.147;05072;06046; 00490
0003.163;05072;06210; 00481
0003.192;05065;06209; 00510
0003.208;05065;06209; 00520
0003.224;05061;06209; 00540
0003.240;05057;06046; 00540
0003.256;05057;06046; 00549
0003.270;05057;06046; 00540
0003.288;05054;06046; 00540
0003.302;05050;06210; 00520
0003.318;05047;06209; 00490
0003.334;05043;06046; 00471
0003.350;05043;06209; 00451
0003.366;05040;06209; 00461
0003.379;05036;06209; 00461
0003.398;05032;06209; 00471
0003.411;05032;06046; 00481
0003.427;05029;06210; 00481
0003.443;05022;06046; 00461
0003.459;05022;06046; 00461
0003.472;05022;06046; 00441
0003.488;05018;05892; 00451
0003.504;05015;06046; 00461
0003.520;05011;06046; 00471
0003.536;05007;05891; 00451
0003.552;05007;05892; 00441
0003.568;05004;05892; 00441
0003.582;05000;05891; 00451
0003.598;04997;06046; 00451
0003.614;04997;06046; 00441
0003.630;04993;06046; 00432
0003.646;04990;05891; 00432
0003.659;04986;05891; 00432
0003.675;04983;05891; 00422
0003.691;04983;05891; 00432
0003.707;04975;05891; 00432
0003.723;04972;05744; 00422
0003.739;04968;05744; 00432
0003.755;04968;05891; 00412
0003.771;04965;05891; 00422
0003.784;04961;05891; 00422
0003.800;04958;05744; 00412
0003.816;04954;05744; 00412
0003.832;04954;05744; 00422
0003.848;04950;05744; 00422
0003.864;04947;05604; 00412
0003.894;04940;05744; 00412
0003.926;04933;05604; 00402
0003.942;04929;05604; 00412
0003.958;04929;05604; 00422
0003.971;04925;05744; 00432
0003.987;04922;05604; 00432
0004.003;04915;05604; 00432
0004.019;04911;05604; 00432
0004.035;04908;05471; 00441
0004.051;04904;05471; 00432
0004.067;04901;05471; 00432
0004.083;04901;05604; 00432
0004.096;04893;05471; 00432
0004.115;04890;05470; 00422
0004.128;04890;05471; 00432
0004.144;04886;05470; 00422
0004.158;04883;05470; 00422
0004.174;04883;05470; 00422
0004.190;04876;05471; 00412
0004.206;04872;05470; 00412
0004.222;04868;05470; 00402
0004.238;04868;05470; 00402
0004.254;04865;05471; 00402
0004.270;04858;05343; 00402
0004.286;04854;05470; 00392
0004.302;04851;05471; 00392
0004.315;04851;05343; 00402
0004.331;04847;05343; 00402
0004.347;04840;05343; 00392
0004.363;04836;05343; 00392
0004.376;04836;05343; 00392
0004.392;04833;05343; 00383
0004.408;04829;05222; 00383
0004.424;04822;05222; 00383
0004.440;04818;05222; 00383
0004.456;04818;05343; 00373
0004.470;04815;05222; 00373
0004.486;04808;05222; 00373
0004.502;04804;05106; 00383
0004.518;04804;05222; 00383
0004.534;04801;05222; 00373
0004.550;04797;05105; 00383
0004.566;04790;05106; 00373
0004.595;04786;05106; 00373
0004.611;04783;05106; 00383
0004.627;04779;05106; 00373
0004.643;04776;04995; 00383
0004.659;04772;04995; 00392
0004.675;04769;04995; 00373
0004.688;04769;04995; 00363
0004.704;04761;04995; 00353
0004.720;04758;04995; 00363
0004.736;04758;04888; 00373
0004.752;04754;04888; 00363
0004.768;04751;04888; 00363
0004.784;04744;04786; 00373
0004.798;04744;04786; 00363
0004.816;04740;04888; 00353
0004.830;04736;04786; 00343
0004.846;04729;04786; 00353
0004.862;04729;04786; 00334
0004.878;04726;04786; 00334
0004.891;04722;04786; 00324
0004.907;04719;04689; 00334
0004.923;04712;04689; 00334
0004.939;04712;04689; 00343
0004.955;04708;04689; 00343
0004.971;04704;04595; 00343
0004.987;04701;04595; 00334
0005.000;04701;04505; 00343
0005.016;04694;04595; 00343
0005.032;04690;04505; 00334
0005.048;04687;04595; 00334
0005.062;04683;04505; 00334
0005.078;04683;04505; 00334
0005.094;04676;04418; 00334
0005.110;04672;04504; 00334
0005.126;04669;04418; 00334
0005.142;04665;04418; 00334
0005.158;04665;04418; 00334
0005.174;04658;04418; 00334
0005.187;04654;04335; 00334
0005.206;04651;04335; 00324
0005.219;04651;04335; 00324
0005.235;04647;04255; 00324
0005.280;04637;04177; 00324
0005.296;04633;04254; 00324
0005.312;04629;04177; 00324
0005.342;04622;04177; 00324
0005.360;04622;04102; 00324
0005.374;04619;04102; 00324
0005.390;04612;04177; 00324
0005.406;04608;04031; 00314
0005.422;04608;04031; 00314
0005.438;04605;04030; 00314
0005.454;04601;04031; 00314
0005.470;04597;04030; 00314
0005.486;04594;04031; 00304
0005.499;04594;03961; 00304
0005.518;04590;03961; 00304
0005.531;04587;03961; 00304
0005.547;04583;03894; 00304
0005.560;04583;03894; 00304
0005.579;04576;03894; 00304
0005.595;04572;03829; 00304
0005.611;04569;03829; 00304
0005.624;04565;03829; 00304
0005.641;04565;03829; 00304
0005.657;04562;03829; 00304
0005.673;04558;03766; 00304
0005.686;04555;03829; 00304
0005.704;04555;03706; 00304
0005.718;04551;03766; 00314
0005.734;04547;03706; 00304
0005.750;04544;03706; 00304
0005.766;04540;03647; 00314
0005.779;04540;03706; 00324
0005.795;04537;03647; 00324
0005.811;04533;03647; 00314
0005.827;04530;03590; 00314
0005.843;04526;03590; 00314
0005.859;04526;03590; 00304
0005.872;04526;03534; 00294
0005.888;04523;03534; 00304
0005.904;04519;03481; 00294
0005.920;04519;03534; 00294
0005.936;04515;03481; 00294
0005.952;04512;03429; 00294
0005.982;04508;03429; 00294
0005.998;04505;03379; 00284
0006.014;04501;03379; 00284
0006.030;04501;03379; 00284
0006.046;04498;03330; 00284
0006.062;04498;03330; 00284
0006.078;04494;03330; 00284
0006.091;04490;03282; 00275
0006.110;04487;03282; 00275
0006.123;04487;03236; 00275
0006.139;04487;03236; 00275
0006.155;04483;03191; 00275
0006.171;04480;03191; 00275
0006.184;04476;03191; 00284
0006.203;04476;03147; 00275
0006.216;04476;03147; 00275
0006.232;04473;03104; 00275
0006.248;04469;03147; 00275
0006.264;04469;03104; 00275
0006.278;04469;03063; 00275
0006.294;04465;03023; 00275
0006.310;04462;03023; 00275
0006.326;04462;03023; 00275
0006.342;04462;02984; 00275
0006.358;04458;02984; 00275
0006.374;04458;02945; 00275
0006.387;04455;02945; 00275
0006.403;04455;02945; 00275
0006.419;04451;02908; 00275
0006.435;04448;02872; 00275
0006.454;04448;02872; 00275
0006.465;04448;02872; 00275
0006.483;04444;02836; 00275
0006.496;04444;02836; 00275
0006.512;04444;02801; 00275
0006.528;04440;02801; 00275
0006.544;04440;02768; 00275
0006.560;04440;02768; 00275
0006.576;04437;02735; 00275
0006.590;04437;02735; 00275
0006.606;04437;02703; 00275
0006.622;04437;02703; 00275
0006.638;04433;02671; 00275
0006.654;04433;02671; 00275
0006.670;04430;02671; 00275
0006.683;04430;02641; 00275
0006.702;04430;02641; 00275
0006.715;04430;02641; 00275
0006.731;04426;02611; 00275
0006.747;04426;02581; 00275
0006.763;04426;02581; 00275
0006.779;04426;02581; 00275
0006.792;04423;02552; 00275
0006.808;04423;02524; 00275
0006.824;04423;02552; 00275
0006.840;04423;02497; 00275
0006.856;04423;02497; 00275
0006.872;04419;02497; 00275
0006.891;04419;02470; 00275
0006.918;04419;02470; 00275
0006.934;04419;02444; 00275
0006.952;04419;02444; 00275
0006.963;04419;02418; 00275
0006.979;04419;02418; 00275
0006.995;04416;02418; 00275
0007.011;04416;02418; 00275
0007.027;04416;02393; 00275
0007.043;04416;02393; 00275
0007.059;04416;02368; 00275
0007.075;04416;02368; 00284
0007.088;04416;02344; 00284
0007.107;04416;02344; 00284
0007.120;04416;02344; 00284
0007.136;04416;02320; 00284
0007.152;04416;02320; 00284
