temps;TRH1;EFN
temps;trs/min Droit;Effort milli N
0004.162;02791; 00157
0004.179;02825; 00157
0004.192;02825; 00157
0004.209;02791; 00157
0004.224;02825; 00157
0004.239;02825; 00157
0004.256;02860; 00157
0004.271;02860; 00157
0004.286;02860; 00157
0004.303;02860; 00157
0004.318;02896; 00157
0004.333;02860; 00157
0004.348;02860; 00157
0004.365;02896; 00157
0004.380;02896; 00157
0004.395;02896; 00157
0004.412;02896; 00157
0004.427;02896; 00157
0004.442;02896; 00157
0004.459;02932; 00157
0004.474;02932; 00157
0004.489;02932; 00157
0004.504;02932; 00157
0004.521;02932; 00157
0004.536;02932; 00157
0004.553;02970; 00157
0004.568;02970; 00157
0004.583;02932; 00157
0004.598;02970; 00157
0004.615;02970; 00157
0004.630;02970; 00157
0004.645;02970; 00157
0004.659;02970; 00157
0004.677;02970; 00157
0004.691;02970; 00157
0004.706;03008; 00157
0004.723;02970; 00157
0004.738;03008; 00157
0004.753;03008; 00157
0004.770;03008; 00157
0004.785;03008; 00157
0004.800;03048; 00157
0004.815;03048; 00157
0004.832;03008; 00157
0004.847;03048; 00157
0004.862;03008; 00157
0004.879;03048; 00157
0004.894;03048; 00157
0004.909;03048; 00157
0004.926;03048; 00157
0004.941;03048; 00157
0004.988;03089; 00157
0005.005;03048; 00157
0005.020;03089; 00157
0005.035;03089; 00157
0005.052;03089; 00157
0005.067;03089; 00157
0005.097;03089; 00157
0005.114;03089; 00157
0005.129;03089; 00157
0005.144;03130; 00157
0005.161;03130; 00157
0005.176;03173; 00157
0005.191;03130; 00157
0005.208;03131; 00157
0005.223;03130; 00157
0005.238;03173; 00157
0005.253;03130; 00157
0005.270;03173; 00167
0005.285;03173; 00167
0005.302;03173; 00167
0005.317;03173; 00167
0005.331;03173; 00167
0005.349;03173; 00167
0005.363;03173; 00167
0005.378;03217; 00167
0005.396;03217; 00167
0005.408;03217; 00167
0005.425;03217; 00167
0005.440;03217; 00157
0005.455;03217; 00167
0005.472;03217; 00167
0005.487;03217; 00167
0005.502;03217; 00167
0005.519;03217; 00167
0005.534;03262; 00167
0005.551;03217; 00167
0005.566;03262; 00167
0005.581;03262; 00167
0005.596;03262; 00167
0005.613;03262; 00167
0005.628;03262; 00167
0005.643;03262; 00167
0005.658;03262; 00167
0005.675;03309; 00157
0005.690;03262; 00167
0005.705;03309; 00167
0005.720;03309; 00167
0005.737;03309; 00167
0005.752;03309; 00167
0005.767;03309; 00167
0005.784;03309; 00167
0005.799;03309; 00167
0005.814;03309; 00167
0005.831;03357; 00167
0005.846;03309; 00167
0005.863;03309; 00167
0005.875;03357; 00167
0005.893;03357; 00167
0005.907;03357; 00167
0005.925;03357; 00167
0005.939;03357; 00167
0005.954;03357; 00167
0005.969;03357; 00167
0005.986;03357; 00167
0006.001;03357; 00167
0006.016;03357; 00157
0006.031;03406; 00167
0006.048;03406; 00167
0006.063;03357; 00167
0006.078;03457; 00167
0006.095;03406; 00157
0006.110;03457; 00167
0006.125;03406; 00167
0006.142;03457; 00177
0006.157;03406; 00186
0006.174;03457; 00177
0006.189;03457; 00186
0006.204;03457; 00196
0006.219;03457; 00196
0006.236;03457; 00186
0006.251;03457; 00186
0006.266;03457; 00186
0006.281;03457; 00196
0006.298;03457; 00196
0006.313;03457; 00206
0006.330;03457; 00206
0006.375;03509; 00206
0006.392;03509; 00196
0006.407;03509; 00186
0006.424;03509; 00196
0006.439;03564; 00196
0006.454;03509; 00196
0006.469;03564; 00196
0006.486;03564; 00206
0006.501;03510; 00196
0006.530;03564; 00196
0006.547;03564; 00196
0006.562;03564; 00186
0006.579;03564; 00196
0006.594;03619; 00186
0006.611;03564; 00186
0006.624;03564; 00186
0006.641;03619; 00196
0006.656;03619; 00196
0006.671;03564; 00186
0006.686;03619; 00186
0006.703;03564; 00186
0006.718;03564; 00186
0006.735;03619; 00186
0006.750;03619; 00186
0006.767;03677; 00186
0006.780;03619; 00186
0006.797;03619; 00186
0006.812;03677; 00186
0006.829;03677; 00196
0006.842;03619; 00186
0006.859;03677; 00196
0006.876;03677; 00196
0006.891;03677; 00196
0006.906;03677; 00196
0006.923;03677; 00196
0006.936;03677; 00196
0006.953;03736; 00206
0006.968;03677; 00186
0006.985;03677; 00186
0006.998;03736; 00196
0007.015;03677; 00186
0007.030;03677; 00196
0007.045;03736; 00196
0007.062;03736; 00196
0007.079;03677; 00196
0007.091;03736; 00196
0007.109;03736; 00196
0007.124;03677; 00196
0007.141;03736; 00196
0007.156;03736; 00196
0007.179;03736; 00196
0007.185;03736; 00196
0007.203;03736; 00196
0007.217;03736; 00196
0007.234;03736; 00196
0007.247;03736; 00196
0007.264;03736; 00196
0007.279;03736; 00196
0007.294;03736; 00196
0007.309;03736; 00196
0007.326;03736; 00196
0007.341;03736; 00196
0007.358;03736; 00196
0007.373;03736; 00196
0007.388;03797; 00196
0007.403;03736; 00196
0007.420;03797; 00196
0007.435;03797; 00196
0007.450;03736; 00196
0007.465;03736; 00196
0007.482;03736; 00196
0007.497;03797; 00196
0007.514;03797; 00196
0007.529;03736; 00196
0007.544;03797; 00196
0007.559;03797; 00196
0007.576;03797; 00196
0007.591;03797; 00196
0007.608;03797; 00196
0007.621;03797; 00196
0007.638;03797; 00196
0007.653;03797; 00196
0007.670;03861; 00196
0007.685;03797; 00196
0007.700;03797; 00196
0007.714;03860; 00196
0007.732;03797; 00196
0007.746;03797; 00196
0007.761;03797; 00186
0007.808;03797; 00196
0007.825;03861; 00196
0007.840;03860; 00196
0007.857;03861; 00196
0007.872;03861; 00196
0007.902;03861; 00186
0007.919;03926; 00196
0007.934;03860; 00196
0007.964;03926; 00196
0007.981;03926; 00196
0007.996;03926; 00196
0008.013;03926; 00196
0008.028;03926; 00196
0008.045;03994; 00196
0008.058;03926; 00186
0008.075;03926; 00196
0008.090;03926; 00196
0008.105;03926; 00196
0008.124;03994; 00196
0008.137;03993; 00196
0008.152;03994; 00196
0008.169;03994; 00196
0008.184;03993; 00196
0008.199;03994; 00196
0008.214;03994; 00196
0008.231;03994; 00196
0008.246;03993; 00196
0008.263;03994; 00196
0008.278;03994; 00196
0008.293;04064; 00196
0008.308;03993; 00196
0008.325;04064; 00196
0008.340;04064; 00196
0008.357;04064; 00196
0008.372;04064; 00196
0008.387;03994; 00196
0008.401;04064; 00196
0008.418;04064; 00196
0008.433;04064; 00196
0008.448;04064; 00196
0008.463;04136; 00196
0008.480;04064; 00196
0008.495;04064; 00196
0008.510;04136; 00196
0008.527;04136; 00196
0008.542;04136; 00196
0008.557;04136; 00196
