temps;MDR;TRH1;EFN
temps;Commande Moteur Droit;trs/min Droit;Effort milli N
0000.000;03685;00000; 00118
0000.014;03685;00000; 00128
0000.030;03685;00000; 00118
0000.048;05143;00000; 00128
0000.062;05143;00000; 00118
0000.072;05143;00000; 00118
0000.080;05143;00000; 00118
0000.091;05143;00000; 00128
0000.102;05143;00000; 00128
0000.110;05143;00000; 00128
0000.120;05143;00000; 00118
0000.131;05143;00000; 00128
0000.142;05143;00000; 00118
0000.150;05143;00000; 00128
0000.161;05143;00000; 00128
0000.171;05143;11743; 00128
0000.182;05143;11743; 00118
0000.190;05143;11743; 00128
0000.200;05143;11743; 00128
0000.211;05143;11743; 00128
0000.222;05143;11743; 00128
0000.232;05143;02967; 00118
0000.240;05143;02967; 00128
0000.251;05143;02967; 00128
0000.259;05143;00922; 00128
0000.270;05143;00922; 00128
0000.280;05143;01303; 00128
0000.291;05143;01303; 00128
0000.302;05143;01671; 00128
0000.312;05143;02041; 00128
0000.320;05143;02041; 00128
0000.331;05143;02378; 00137
0000.339;05143;02713; 00137
0000.350;05143;02957; 00137
0000.360;05143;03203; 00147
0000.371;05143;03343; 00147
0000.390;05143;03720; 00157
0000.400;05143;03909; 00167
0000.411;05143;03977; 00167
0000.430;05143;04193; 00177
0000.440;05143;04352; 00177
0000.451;05143;04436; 00186
0000.459;05143;04522; 00186
0000.472;05143;04613; 00196
0000.480;05143;04805; 00196
0000.491;05143;04908; 00186
0000.499;05143;05126; 00186
0000.512;05143;05126; 00186
0000.520;05143;05242; 00216
0000.531;05143;05491; 00255
0000.539;05143;05491; 00255
0000.550;05143;05626; 00255
0000.560;05143;05626; 00255
0000.571;05143;05766; 00265
0000.579;05143;05766; 00275
0000.592;05143;05914; 00314
0000.600;05143;05914; 00314
0000.611;05143;05914; 00304
0000.619;05143;06070; 00314
0000.630;05143;06070; 00314
0000.640;05143;06070; 00343
0000.651;05143;06070; 00353
0000.659;05143;06233; 00353
0000.670;05143;06234; 00353
0000.688;05143;06234; 00392
0000.699;05143;06233; 00383
0000.710;05143;06233; 00383
0000.728;05143;06234; 00412
0000.739;05143;06407; 00412
0000.758;05143;06407; 00422
0000.776;05143;06407; 00461
0000.790;05143;06407; 00461
0000.806;05143;06406; 00432
0000.822;05143;06407; 00451
0000.838;05143;06407; 00461
0000.854;05143;06234; 00471
0000.870;05143;06407; 00490
0000.886;05143;06407; 00490
0000.899;05143;06407; 00490
0000.915;05143;06407; 00500
0000.931;05143;06407; 00500
0000.947;05143;06407; 00481
0000.976;05143;06407; 00510
0000.992;05143;06407; 00510
0001.008;05143;06407; 00520
0001.024;05143;06407; 00520
0001.041;05143;06407; 00510
0001.057;05143;06407; 00510
0001.073;05143;06407; 00500
0001.086;05143;06234; 00510
0001.102;05143;06407; 00510
0001.118;05143;06407; 00530
0001.134;05143;06407; 00530
0001.150;05143;06406; 00540
0001.166;05143;06233; 00530
0001.182;05143;06233; 00520
0001.195;05143;06407; 00520
0001.211;05143;06406; 00520
0001.227;05143;06406; 00520
0001.243;05143;06407; 00520
0001.259;05143;06407; 00510
0001.275;05143;06407; 00520
0001.288;05143;06407; 00510
0001.304;05143;06407; 00510
0001.320;05143;06233; 00510
0001.336;05143;06406; 00500
0001.352;05143;06233; 00510
0001.368;05143;06233; 00510
0001.384;05143;06233; 00510
0001.398;05143;06406; 00520
0001.414;05143;06406; 00520
0001.430;05143;06407; 00510
0001.446;05143;06406; 00520
0001.462;05143;06407; 00510
0001.475;05143;06406; 00490
0001.494;05143;06407; 00481
0001.507;05143;06407; 00490
0001.523;05143;06406; 00471
0001.539;05143;06590; 00461
0001.555;05143;06406; 00481
0001.571;05143;06406; 00490
0001.584;05143;06406; 00500
0001.600;05143;06406; 00500
0001.616;05143;06589; 00490
0001.632;05143;06407; 00490
0001.648;05143;06407; 00481
0001.664;05143;06406; 00481
0001.680;05143;06406; 00481
0001.710;05143;06407; 00481
0001.726;05143;06406; 00481
0001.755;05143;06406; 00471
0001.774;05143;06406; 00471
0001.790;05143;06406; 00490
0001.803;05143;06407; 00490
0001.819;05143;06406; 00490
0001.835;05143;06406; 00500
0001.851;05143;06406; 00500
0001.867;05143;06406; 00490
0001.883;05143;06406; 00490
0001.896;05143;06406; 00500
0001.912;05143;06406; 00500
0001.928;05143;06406; 00500
0001.944;05143;06407; 00510
0001.960;05143;06407; 00510
0001.974;05143;06406; 00500
0001.992;05143;06406; 00500
0002.006;05143;06233; 00500
0002.024;05143;06407; 00500
0002.038;05143;06406; 00510
0002.054;05143;06406; 00510
0002.070;05143;06233; 00520
0002.086;05143;06233; 00520
0002.099;05143;06406; 00530
0002.118;05143;06406; 00530
0002.131;05143;06407; 00520
0002.147;05143;06233; 00520
0002.160;05143;06406; 00510
0002.179;05143;06406; 00520
0002.195;05118;06233; 00510
0002.211;05097;06233; 00500
0002.224;05097;06233; 00500
0002.240;05072;06233; 00510
0002.256;05072;06233; 00500
0002.272;05043;06069; 00510
0002.286;05011;06233; 00510
0002.304;04972;06069; 00510
0002.318;04933;06069; 00520
0002.334;04933;06070; 00520
0002.350;04890;05913; 00490
0002.366;04847;05914; 00490
