temps;MDR;TRH1;EFN
temps;Commande Moteur Droit;trs/min Droit;Effort milli N
0000.003;03685;00000; 00128
0000.021;03685;00000; 00128
0000.040;05143;00000; 00128
0000.051;05143;00000; 00128
0000.072;05143;00000; 00128
0000.078;05143;00000; 00128
0000.094;05143;00000; 00128
0000.123;05143;00000; 00128
0000.139;05143;00000; 00128
0000.155;05143;00000; 00128
0000.171;05143;00000; 00128
0000.187;05143;00000; 00128
0000.200;05143;00000; 00128
0000.216;05143;00000; 00128
0000.232;05143;07162; 00128
0000.248;05143;07162; 00128
0000.264;05143;00954; 00137
0000.280;05143;01360; 00137
0000.296;05143;01741; 00137
0000.312;05143;02090; 00147
0000.326;05143;02446; 00147
0000.344;05143;03066; 00157
0000.358;05143;03381; 00157
0000.374;05143;03650; 00167
0000.387;05143;03832; 00167
0000.403;05143;04106; 00177
0000.419;05143;04339; 00186
0000.435;05143;04422; 00186
0000.451;05143;04599; 00196
0000.467;05143;04791; 00196
0000.483;05143;04893; 00196
0000.499;05143;05227; 00235
0000.512;05143;05348; 00255
0000.528;05143;05609; 00255
0000.544;05143;05750; 00255
0000.560;05143;05750; 00304
0000.576;05143;05897; 00324
0000.595;05143;05897; 00334
0000.606;05143;06053; 00343
0000.622;05143;06052; 00363
0000.638;05143;06053; 00363
0000.654;05143;06216; 00383
0000.670;05143;06217; 00402
0000.686;05143;06216; 00412
0000.699;05143;06216; 00412
0000.718;05143;06390; 00422
0000.731;05143;06216; 00432
0000.747;05143;06390; 00412
0000.763;05143;06390; 00432
0000.779;05143;06390; 00432
0000.808;05143;06390; 00451
0000.840;05143;06390; 00441
0000.856;05143;06390; 00471
0000.872;05143;06390; 00461
0000.888;05143;06390; 00471
0000.902;05143;06390; 00500
0000.918;05143;06390; 00510
0000.934;05143;06391; 00510
0000.950;05143;06390; 00520
0000.966;05143;06390; 00520
0000.982;05143;06390; 00500
0000.998;05143;06391; 00510
0001.011;05143;06390; 00510
0001.027;05143;06391; 00520
0001.043;05143;06390; 00520
0001.059;05143;06390; 00530
0001.075;05143;06392; 00530
0001.091;05143;06391; 00530
0001.107;05143;06391; 00530
0001.120;05143;06391; 00530
0001.136;05143;06391; 00510
0001.152;05143;06391; 00520
0001.168;05143;06391; 00510
0001.184;05143;06391; 00510
0001.200;05143;06219; 00520
0001.214;05143;06392; 00520
0001.230;05143;06391; 00510
0001.246;05143;06219; 00510
0001.262;05143;06392; 00500
0001.278;05143;06219; 00500
0001.291;05143;06392; 00510
0001.307;05143;06392; 00520
0001.323;05143;06392; 00510
0001.339;05143;06392; 00510
0001.355;05143;06392; 00510
0001.371;05143;06219; 00510
0001.387;05143;06392; 00510
0001.403;05143;06392; 00510
0001.416;05143;06393; 00510
0001.435;05143;06393; 00510
0001.448;05143;06392; 00510
0001.464;05143;06220; 00500
0001.494;05143;06392; 00500
0001.526;05143;06393; 00490
0001.542;05143;06393; 00481
0001.558;05143;06393; 00481
0001.574;05143;06393; 00490
0001.590;05143;06393; 00500
0001.606;05143;06393; 00490
0001.622;05143;06393; 00481
0001.635;05143;06393; 00481
0001.651;05143;06393; 00471
0001.667;05143;06393; 00471
0001.683;05143;06575; 00481
0001.699;05143;06393; 00471
0001.712;05143;06393; 00481
0001.728;05143;06393; 00481
0001.744;05143;06393; 00481
0001.760;05143;06393; 00471
0001.776;05143;06393; 00481
0001.790;05143;06393; 00471
0001.808;05143;06393; 00471
0001.822;05143;06393; 00490
0001.838;05143;06393; 00490
0001.854;05143;06393; 00490
0001.870;05143;06393; 00490
0001.886;05143;06221; 00490
0001.902;05143;06393; 00481
0001.915;05143;06221; 00490
0001.931;05143;06393; 00490
0001.947;05143;06221; 00490
0001.963;05143;06393; 00490
0001.979;05143;06221; 00490
0001.992;05143;06393; 00490
0002.008;05143;06221; 00481
0002.024;05143;06393; 00481
0002.040;05143;06394; 00481
0002.056;05143;06394; 00471
0002.072;05143;06394; 00481
0002.088;05143;06393; 00500
0002.102;05143;06394; 00500
0002.118;05143;06394; 00510
0002.134;05143;06394; 00510
0002.150;05072;06221; 00490
0002.166;05072;06221; 00481
0002.195;04669;06221; 00481
0002.211;04487;05902; 00471
0002.227;04416;05755; 00432
0002.243;04416;05614; 00432
0002.259;04487;05353; 00432
0002.275;04669;05231; 00422
0002.291;04890;05231; 00412
0002.304;04890;05231; 00422
0002.323;05072;05231; 00432
0002.336;05143;05353; 00432
0002.352;05072;05480; 00422
0002.368;05072;05615; 00422
0002.384;04890;05615; 00412
0002.400;04669;05615; 00422
0002.414;04487;05481; 00412
0002.430;04416;05232; 00412
0002.446;04416;05116; 00412
0002.462;04487;04898; 00402
0002.478;04890;04796; 00392
0002.494;04890;04796; 00383
0002.507;04890;04898; 00383
0002.526;05143;05004; 00392
0002.539;05143;05116; 00392
0002.555;05072;05232; 00402
0002.571;04890;05354; 00383
0002.587;04890;05354; 00383
0002.603;04669;05232; 00392
0002.616;04487;05232; 00383
0002.632;04416;05116; 00373
0002.648;04416;04898; 00373
0002.664;04487;04796; 00363
0002.680;04669;04698; 00363
0002.694;04890;04604; 00353
0002.710;05072;04796; 00343
0002.726;05072;05005; 00353
0002.742;05143;05116; 00334
0002.758;05072;05232; 00334
0002.774;04890;05354; 00334
0002.790;04890;05354; 00343
0002.806;04669;05354; 00353
0002.819;04487;05232; 00343
0002.835;04416;05005; 00343
0002.851;04487;05004; 00353
0002.867;04487;04796; 00363
0002.880;04669;04698; 00353
0002.899;04890;04796; 00363
0002.912;05072;04796; 00363
0002.928;05072;05005; 00353
0002.944;05143;05116; 00334
0002.960;05072;05355; 00324
0002.976;04890;05354; 00334
0002.992;04669;05354; 00343
0003.006;04669;05233; 00343
0003.022;04487;05233; 00343
0003.038;04416;05116; 00343
0003.054;04487;04898; 00343
0003.070;04669;04796; 00343
0003.086;04890;04605; 00353
0003.102;05072;04699; 00363
0003.118;05143;04898; 00353
0003.134;05143;05005; 00343
0003.147;05143;05232; 00334
0003.163;05072;05355; 00343
0003.179;04890;05355; 00343
0003.192;04669;05355; 00343
0003.211;04669;05355; 00343
0003.224;04487;05232; 00334
0003.240;04416;05005; 00343
0003.256;04487;04898; 00343
0003.272;04669;04898; 00343
0003.288;04669;04797; 00343
0003.304;04890;04796; 00343
0003.318;05072;04899; 00324
0003.336;05143;05117; 00324
0003.350;05143;05233; 00324
0003.366;05072;05355; 00314
0003.382;04890;05482; 00324
0003.395;04669;05482; 00334
0003.411;04669;05355; 00334
0003.427;04487;05233; 00334
0003.443;04416;05117; 00343
0003.459;04487;05005; 00343
0003.475;04669;04797; 00334
0003.491;04669;04699; 00334
0003.504;04890;04699; 00343
0003.520;05072;04797; 00353
0003.536;05143;05117; 00353
0003.552;05143;05117; 00363
0003.568;05072;05355; 00373
0003.598;04669;05355; 00383
0003.614;04487;05233; 00373
0003.630;04487;05117; 00373
0003.646;04416;05006; 00373
0003.662;04669;04797; 00363
0003.678;04669;04797; 00353
0003.694;05072;04605; 00353
0003.707;05072;04699; 00353
0003.723;05143;04899; 00353
0003.739;05072;05117; 00373
0003.755;05072;05233; 00373
0003.771;04890;05233; 00363
0003.787;04669;05355; 00373
0003.803;04487;05117; 00373
0003.816;04416;05006; 00373
0003.832;04416;05006; 00373
0003.848;04487;04797; 00373
0003.864;04669;04699; 00343
0003.880;04890;04699; 00334
0003.896;05072;04797; 00324
0003.912;05072;05006; 00334
0003.928;05143;05117; 00334
0003.942;05072;05234; 00353
0003.958;04890;05483; 00353
0003.974;04890;05356; 00353
0003.990;04669;05355; 00363
0004.006;04487;05233; 00353
0004.019;04416;05118; 00353
0004.035;04416;04899; 00353
0004.051;04487;04797; 00343
0004.067;04669;04700; 00343
0004.083;04890;04700; 00343
0004.099;05072;04900; 00334
0004.112;05072;05118; 00343
0004.128;05143;05234; 00334
0004.144;05072;05234; 00334
0004.160;04890;05356; 00334
0004.176;04890;05356; 00334
0004.192;04669;05356; 00334
0004.206;04487;05356; 00324
0004.224;04416;05118; 00324
0004.238;04487;05006; 00334
0004.254;04487;04899; 00324
0004.270;04669;04700; 00343
0004.283;04890;04700; 00343
0004.299;05072;04798; 00343
0004.315;05072;05007; 00343
0004.331;05143;05234; 00353
0004.347;05072;05234; 00353
0004.363;04890;05483; 00353
0004.379;04669;05356; 00363
0004.395;04669;05234; 00353
0004.408;04487;05234; 00353
0004.424;04416;05007; 00353
0004.440;04487;04900; 00343
0004.456;04487;04798; 00334
0004.472;04669;04700; 00334
0004.502;05072;04700; 00343
0004.534;05143;05234; 00343
0004.550;05072;05356; 00373
0004.566;04890;05356; 00373
0004.582;04669;05356; 00373
0004.595;04669;05356; 00373
0004.611;04487;05118; 00363
0004.627;04416;05007; 00363
0004.643;04487;04900; 00363
0004.659;04487;04798; 00363
0004.675;04669;04606; 00353
0004.691;04890;04606; 00334
0004.707;05072;04901; 00324
0004.720;05143;05007; 00334
0004.736;05143;05234; 00363
0004.752;05072;05356; 00363
0004.774;04669;05484; 00363
0004.787;04669;05234; 00363
0004.800;04669;05234; 00373
0004.814;04487;05234; 00363
0004.830;04416;05007; 00373
0004.846;04487;04901; 00373
0004.862;04487;04700; 00392
0004.878;04890;04607; 00392
0004.894;05072;04607; 00383
0004.910;05143;04900; 00383
0004.923;05143;05007; 00383
0004.939;05143;05234; 00373
0004.955;05072;05357; 00373
0004.971;04890;05357; 00373
0004.987;04669;05484; 00383
0005.000;04669;05356; 00373
0005.016;04487;05235; 00363
0005.032;04416;05119; 00373
0005.048;04487;04901; 00363
0005.064;04669;04799; 00353
0005.080;04669;04799; 00343
0005.096;04890;04701; 00353
0005.110;05072;04901; 00353
0005.128;05143;05007; 00353
0005.142;05143;05235; 00334
0005.158;05072;05357; 00324
0005.174;04890;05357; 00334
0005.203;04669;05357; 00334
0005.219;04669;05357; 00334
0005.235;04487;05119; 00334
0005.251;04487;05007; 00324
0005.267;04669;04901; 00334
0005.283;04890;04901; 00334
0005.299;05072;05007; 00324
0005.312;05072;05119; 00324
0005.331;05143;05235; 00324
0005.344;05072;05357; 00324
0005.360;04890;05484; 00343
0005.376;04890;05484; 00343
0005.392;04669;05484; 00334
0005.408;04487;05357; 00343
0005.424;04416;05119; 00334
0005.438;04487;05007; 00334
0005.454;04487;05007; 00334
0005.470;04890;04799; 00324
0005.486;05072;04799; 00324
0005.499;05072;04901; 00334
0005.515;05072;05119; 00343
0005.531;05143;05235; 00334
0005.550;04890;05357; 00343
0005.563;04890;05484; 00353
0005.579;04890;05484; 00353
0005.595;04669;05357; 00353
0005.608;04487;05235; 00343
0005.624;04416;05119; 00353
0005.643;04487;04901; 00343
0005.656;04487;04901; 00363
0005.672;04669;04701; 00343
0005.686;04890;04799; 00343
0005.702;05072;04799; 00343
0005.718;05072;05008; 00353
0005.734;05143;05235; 00343
0005.750;05072;05235; 00343
0005.766;04890;05485; 00343
0005.782;04669;05357; 00353
0005.798;04669;05235; 00343
0005.811;04487;05119; 00353
0005.830;04416;05008; 00343
0005.843;04487;04799; 00353
0005.859;04487;04799; 00343
0005.875;04669;04701; 00343
0005.891;04890;04607; 00334
0005.907;05072;04799; 00334
0005.920;05143;05008; 00334
0005.936;05143;05119; 00343
0005.952;05072;05357; 00343
0005.968;04890;05357; 00353
0005.984;04669;05357; 00353
0006.000;04669;05235; 00353
0006.014;04487;05236; 00363
0006.030;04416;05008; 00363
0006.046;04487;04901; 00353
0006.062;04669;04799; 00343
0006.078;04890;04701; 00353
0006.094;05072;04701; 00373
0006.110;05072;04902; 00373
