temps;APEG;TV;TPC
temps;Angle Pivot;Gyromètre;Consigne tangage PC
0003.350;-2884;18;1820
0003.366;-2884;14;1820
0003.379;-2884;14;1820
0003.395;-2864;16;1820
0003.411;-2824;16;1820
0003.427;-2804;20;1820
0003.441;-2804;18;1820
0003.457;-2804;14;1820
0003.473;-2764;20;1820
0003.489;-2744;24;1820
0003.505;-2724;18;1820
0003.521;-2704;22;1820
0003.537;-2704;14;1820
0003.553;-2664;18;1820
0003.566;-2684;20;1820
0003.585;-2684;18;1820
0003.598;-2664;14;1820
0003.614;-2644;16;1820
0003.630;-2624;22;1820
0003.646;-2644;14;1820
0003.662;-2644;14;1820
0003.675;-2604;14;1820
0003.691;-2564;20;1820
0003.707;-2544;20;1820
0003.723;-2524;18;1820
0003.739;-2524;12;1820
0003.753;-2524;14;1820
0003.769;-2524;12;1820
0003.785;-2484;14;1820
0003.801;-2484;16;1820
0003.817;-2444;24;1820
0003.830;-2423;26;1820
0003.846;-2423;24;1820
0003.862;-2403;28;1820
0003.878;-2383;26;1820
0003.894;-2363;26;1820
0003.910;-2343;22;1820
0003.926;-2323;26;1820
0003.942;-2303;20;1820
0003.955;-2303;20;1820
0003.971;-2263;22;1820
0003.987;-2243;24;1820
0004.003;-2223;24;1820
0004.019;-2223;22;1820
0004.033;-2183;22;1820
0004.051;-2183;18;1820
0004.065;-2143;18;1820
0004.081;-2143;22;1820
0004.097;-2103;22;1820
0004.113;-2083;20;1820
0004.129;-2063;30;1820
0004.145;-2023;32;1820
0004.158;-2023;32;1820
0004.177;-1963;24;1820
0004.190;-2003;22;1820
0004.209;-1963;18;1820
0004.219;-1903;20;1820
0004.235;-1903;22;1820
0004.251;-1863;26;1820
0004.267;-1883;28;1820
0004.283;-1863;26;1820
0004.299;-1823;22;1820
0004.315;-1823;24;1820
0004.331;-1783;30;1820
0004.347;-1763;26;1820
0004.361;-1722;22;1820
0004.377;-1722;24;1820
0004.393;-1682;28;1820
0004.409;-1682;28;1820
0004.422;-1662;22;1820
0004.441;-1642;24;1820
0004.454;-1622;26;1820
0004.470;-1562;22;1820
0004.486;-1562;18;1820
0004.502;-1562;20;1820
0004.518;-1522;26;1820
0004.531;-1522;26;1820
0004.550;-1502;30;1820
0004.566;-1482;24;1820
0004.579;-1442;24;1820
0004.595;-1422;26;1820
0004.609;-1402;28;1820
0004.625;-1402;24;1820
0004.643;-1362;18;1820
0004.657;-1362;24;1820
0004.673;-1322;26;1820
0004.689;-1282;32;1820
0004.705;-1282;26;1820
0004.721;-1202;30;1820
0004.734;-1222;32;1820
0004.750;-1182;32;1820
0004.766;-1182;26;1820
0004.782;-1142;28;1820
0004.798;-1122;26;1820
0004.811;-1102;30;1820
0004.827;-1082;28;1820
0004.843;-1021;32;1820
0004.859;-1001;34;1820
0004.875;-961;28;1820
0004.891;-961;28;1820
0004.907;-941;30;1820
0004.923;-861;34;1820
0004.937;-861;30;1820
0004.953;-881;28;1820
0004.969;-821;28;1820
0004.985;-801;30;1820
0005.001;-761;28;1820
0005.014;-741;28;1820
0005.030;-721;26;1820
0005.046;-721;28;1820
