temps;MDR;TRH1;EFN
temps;Commande Moteur Droit;trs/min Droit;Effort milli N
0095.813;03685;00000; 00118
0000.030;03685;00000; 00118
0000.051;05143;00000; 00118
0000.067;05143;00000; 00118
0000.078;05143;00000; 00118
0000.094;05143;00000; 00118
0000.107;05143;00000; 00118
0000.123;05143;00000; 00118
0000.142;05143;00000; 00128
0000.158;05143;00000; 00118
0000.171;05143;00000; 00118
0000.201;05143;00000; 00128
0000.217;05143;00000; 00118
0000.233;05143;00000; 00128
0000.249;05143;00000; 00128
0000.265;05143;00000; 00118
0000.281;05143;01741; 00118
0000.297;05143;01741; 00128
0000.313;05143;00936; 00128
0000.326;05143;01361; 00128
0000.342;05143;01727; 00128
0000.358;05143;02103; 00128
0000.374;05143;02461; 00137
0000.390;05143;03044; 00147
0000.406;05143;03403; 00157
0000.422;05143;03673; 00157
0000.435;05143;03793; 00157
0000.451;05143;03989; 00157
0000.467;05143;04285; 00157
0000.483;05143;04366; 00157
0000.502;05143;04628; 00167
0000.515;05143;04722; 00167
0000.529;05143;04923; 00177
0000.545;05143;05142; 00196
0000.561;05143;05381; 00245
0000.577;05143;05509; 00265
0000.593;05143;05644; 00275
0000.609;05143;05784; 00294
0000.622;05143;05785; 00314
0000.638;05143;05933; 00314
0000.654;05143;06089; 00334
0000.670;05143;06089; 00343
0000.686;05143;06089; 00353
0000.699;05143;06254; 00373
0000.715;05143;06254; 00383
0000.731;05143;06253; 00392
0000.747;05143;06428; 00422
0000.763;05143;06254; 00432
0000.779;05143;06428; 00441
0000.795;05143;06254; 00461
0000.809;05143;06428; 00461
0000.825;05143;06428; 00461
0000.841;05143;06428; 00471
0000.857;05143;06254; 00471
0000.873;05143;06254; 00471
0000.886;05143;06428; 00481
0000.905;05143;06428; 00500
0000.918;05143;06428; 00500
0000.934;05143;06428; 00510
0000.950;05143;06428; 00530
0000.966;05143;06428; 00520
0000.982;05143;06254; 00510
0000.998;05143;06427; 00510
0001.011;05143;06428; 00510
0001.027;05143;06253; 00510
0001.043;05143;06428; 00530
0001.059;05143;06253; 00540
0001.075;05143;06428; 00530
0001.091;05143;06427; 00540
0001.121;05143;06427; 00520
0001.139;05143;06427; 00520
0001.153;05143;06427; 00520
0001.169;05143;06427; 00520
0001.185;05143;06427; 00520
0001.198;05143;06428; 00530
0001.214;05143;06427; 00510
0001.230;05143;06254; 00510
0001.246;05143;06427; 00520
0001.262;05143;06253; 00520
0001.278;05143;06428; 00520
0001.294;05143;06253; 00520
0001.310;05143;06253; 00520
0001.323;05143;06427; 00520
0001.342;05143;06427; 00500
0001.355;05143;06427; 00510
0001.371;05143;06427; 00510
0001.387;05143;06427; 00510
0001.401;05143;06427; 00500
0001.417;05143;06427; 00510
0001.433;05143;06428; 00510
0001.449;05143;06427; 00500
0001.465;05143;06427; 00490
0001.481;05143;06427; 00481
0001.497;05143;06427; 00490
0001.510;05143;06427; 00490
0001.526;05143;06427; 00481
0001.542;05143;06427; 00481
0001.558;05143;06427; 00500
0001.574;05143;06427; 00500
0001.590;05143;06427; 00500
0001.603;05143;06427; 00500
0001.619;05143;06427; 00490
0001.635;05143;06427; 00490
0001.651;05143;06427; 00500
0001.667;05143;06253; 00500
0001.683;05143;06426; 00500
0001.699;05143;06253; 00520
0001.715;05143;06426; 00510
0001.729;05143;06427; 00510
0001.745;05143;06426; 00510
0001.761;05143;06252; 00490
0001.777;05143;06253; 00481
0001.793;05143;06427; 00490
0001.809;05143;06427; 00500
0001.822;05143;06253; 00500
0001.854;05143;06427; 00520
0001.870;05143;06426; 00520
0001.886;05143;06252; 00530
0001.902;05143;06426; 00520
0001.915;05143;06252; 00520
0001.931;05143;06253; 00520
0001.947;05143;06427; 00510
0001.963;05143;06426; 00510
0001.979;05143;06427; 00520
0001.995;05143;06253; 00510
0002.011;05143;06427; 00520
0002.025;05143;06253; 00540
0002.041;05143;06253; 00540
0002.057;05143;06427; 00549
0002.073;05143;06253; 00540
0002.089;05143;06427; 00540
0002.105;05143;06253; 00540
0002.121;05143;06427; 00530
0002.134;05143;06426; 00530
0002.150;05143;06253; 00530
0002.166;05143;06253; 00520
0002.182;05143;06427; 00520
0002.198;05143;06426; 00510
0002.211;05139;06426; 00500
0002.227;05139;06253; 00510
0002.246;05139;06427; 00510
0002.259;05139;06426; 00500
0002.276;05136;06252; 00510
0002.289;05136;06426; 00510
0002.307;05132;06426; 00510
0002.321;05132;06426; 00520
0002.337;05132;06427; 00510
0002.353;05129;06427; 00490
0002.369;05125;06426; 00481
0002.385;05125;06427; 00490
0002.401;05122;06426; 00481
0002.414;05122;06427; 00500
0002.430;05118;06252; 00500
0002.446;05114;06426; 00500
0002.462;05114;06253; 00510
0002.478;05107;06253; 00510
0002.494;05100;06426; 00510
0002.510;05097;06426; 00510
0002.539;05097;06253; 00490
0002.555;05093;06253; 00481
0002.571;05089;06253; 00481
0002.587;05082;06088; 00471
0002.601;05082;06253; 00461
0002.617;05079;06252; 00471
0002.633;05072;06253; 00490
0002.649;05068;06253; 00481
0002.665;05061;06253; 00500
