temps;MDR;TRH1;EFN
temps;Commande Moteur Droit;trs/min Droit;Effort milli N
0000.003;03685;00000; 00128
0000.013;03685;00000; 00128
0000.029;03685;00000; 00128
0000.048;05143;00000; 00128
0000.067;05143;00000; 00128
0000.085;05143;00000; 00128
0000.099;05143;00000; 00128
0000.109;05143;00000; 00128
0000.120;05143;00000; 00137
0000.128;05143;00000; 00137
0000.139;05143;00000; 00128
0000.149;05143;00000; 00128
0000.160;05143;00000; 00137
0000.168;05143;00000; 00137
0000.179;05143;13511; 00128
0000.189;05143;13511; 00128
0000.200;05143;13511; 00137
0000.208;05143;13511; 00137
0000.219;05143;06777; 00128
0000.230;05143;06777; 00128
0000.248;05143;01132; 00137
0000.259;05143;01132; 00137
0000.270;05143;01500; 00137
0000.288;05143;01863; 00147
0000.299;05143;02221; 00147
0000.310;05143;02566; 00147
0000.328;05143;03080; 00157
0000.339;05143;03300; 00167
0000.349;05143;03397; 00167
0000.368;05143;03850; 00177
0000.379;05143;03915; 00186
0000.389;05143;04053; 00186
0000.397;05143;04200; 00186
0000.408;05143;04277; 00196
0000.419;05143;04442; 00196
0000.430;05143;04442; 00196
0000.437;05143;04620; 00196
0000.448;05143;04620; 00196
0000.459;05143;04812; 00196
0000.469;05143;05021; 00196
0000.478;05143;05133; 00196
0000.488;05143;05250; 00206
0000.499;05143;05372; 00245
0000.510;05143;05500; 00275
0000.517;05143;05500; 00275
0000.528;05143;05633; 00265
0000.539;05143;05634; 00265
0000.555;05143;05775; 00304
0000.571;05143;05923; 00314
0000.587;05143;06078; 00314
0000.600;05143;06079; 00343
0000.616;05143;06243; 00353
0000.635;05143;06243; 00353
0000.648;05143;06243; 00363
0000.664;05143;06243; 00402
0000.677;05143;06243; 00392
0000.693;05143;06243; 00402
0000.709;05143;06242; 00441
0000.725;05143;06416; 00441
0000.741;05143;06416; 00432
0000.757;05143;06416; 00461
0000.773;05143;06416; 00451
0000.789;05143;06416; 00461
0000.805;05143;06416; 00500
0000.819;05143;06416; 00490
0000.835;05143;06416; 00500
0000.851;05143;06416; 00510
0000.867;05143;06416; 00490
0000.880;05143;06416; 00490
0000.896;05143;06416; 00500
0000.912;05143;06416; 00500
0000.928;05143;06416; 00520
0000.944;05143;06416; 00540
0000.960;05143;06416; 00530
0000.976;05143;06416; 00540
0000.992;05143;06416; 00540
0001.008;05143;06416; 00500
0001.022;05143;06416; 00510
0001.038;05143;06416; 00510
0001.083;05143;06416; 00549
0001.099;05143;06416; 00540
0001.115;05143;06416; 00530
0001.131;05143;06416; 00530
0001.147;05143;06416; 00520
0001.163;05143;06416; 00510
0001.179;05143;06416; 00530
0001.192;05143;06416; 00520
0001.208;05143;06416; 00520
0001.224;05143;06416; 00520
0001.240;05143;06416; 00500
0001.256;05143;06416; 00500
0001.272;05143;06416; 00500
0001.288;05143;06416; 00500
0001.304;05143;06416; 00510
0001.317;05143;06242; 00530
0001.336;05143;06416; 00520
0001.350;05143;06416; 00530
0001.365;05143;06243; 00520
0001.379;05143;06242; 00510
0001.395;05143;06416; 00520
0001.411;05143;06242; 00510
0001.427;05143;06416; 00500
0001.443;05143;06416; 00520
0001.459;05143;06416; 00520
0001.475;05143;06242; 00510
0001.491;05143;06416; 00520
0001.504;05143;06416; 00510
0001.523;05143;06416; 00510
0001.536;05143;06416; 00510
0001.552;05143;06416; 00510
0001.568;05143;06242; 00510
0001.587;05143;06416; 00500
0001.598;05143;06416; 00500
0001.614;05143;06416; 00490
0001.630;05143;06242; 00481
0001.646;05143;06416; 00490
0001.662;05143;06242; 00500
0001.678;05143;06242; 00500
0001.691;05143;06242; 00500
0001.707;05143;06242; 00510
0001.726;05143;06242; 00500
0001.739;05143;06416; 00500
0001.755;05143;06416; 00500
0001.768;05143;06416; 00471
0001.784;05143;06242; 00471
0001.800;05143;06416; 00490
0001.816;05143;06242; 00490
0001.832;05143;06416; 00481
0001.848;05143;06416; 00500
0001.864;05143;06416; 00500
0001.880;05143;06416; 00500
0001.894;05143;06242; 00510
0001.910;05143;06416; 00500
0001.926;05143;06416; 00490
0001.942;05143;06416; 00500
0001.958;05143;06416; 00490
0001.974;05143;06416; 00481
0001.990;05143;06416; 00500
0002.003;05143;06416; 00500
0002.019;05143;06416; 00510
0002.035;05143;06416; 00510
0002.051;05143;06416; 00500
0002.067;05143;06416; 00490
0002.083;05143;06416; 00500
0002.099;05143;06416; 00500
0002.112;05143;06242; 00500
0002.128;05143;06416; 00500
0002.144;05143;06416; 00510
0002.160;05143;06242; 00520
0002.176;05139;06415; 00520
0002.192;05139;06242; 00510
0002.206;05136;06242; 00500
0002.222;05132;06242; 00500
0002.240;05125;06416; 00500
0002.254;05118;06416; 00510
0002.270;05118;06242; 00520
0002.283;05107;06242; 00530
0002.299;05097;06242; 00540
0002.315;05086;06242; 00540
0002.331;05086;06242; 00549
0002.347;05057;06242; 00559
0002.363;05043;06242; 00559
0002.379;05043;06078; 00569
0002.395;05029;06242; 00569
0002.408;05029;06078; 00559
0002.427;04993;06078; 00559
0002.440;04993;06078; 00559
0002.456;04972;05922; 00530
0002.470;04972;06078; 00510
0002.488;04954;05922; 00520
0002.502;04933;05922; 00530
0002.520;04911;05774; 00520
0002.536;04890;05774; 00500
0002.550;04890;05774; 00500
0002.566;04868;05633; 00490
0002.582;04847;05633; 00490
0002.595;04822;05499; 00481
0002.611;04822;05633; 00471
0002.627;04801;05499; 00471
0002.643;04779;05371; 00451
0002.659;04758;05371; 00461
0002.688;04736;05249; 00422
0002.720;04690;05132; 00412
0002.736;04669;05132; 00412
0002.752;04669;05020; 00402
0002.768;04647;05021; 00383
0002.782;04626;04914; 00363
0002.800;04605;04811; 00353
0002.814;04605;04713; 00363
0002.830;04587;04713; 00353
0002.846;04565;04619; 00343
0002.862;04547;04528; 00334
0002.878;04530;04441; 00334
0002.894;04530;04358; 00324
0002.907;04515;04357; 00324
0002.923;04501;04199; 00314
0002.939;04487;04124; 00314
0002.955;04473;04124; 00304
0002.971;04462;04052; 00304
0002.984;04462;03982; 00304
0003.000;04451;03982; 00304
0003.019;04440;03849; 00304
0003.032;04440;03786; 00304
0003.048;04433;03725; 00304
0003.064;04426;03666; 00304
0003.080;04423;03608; 00304
0003.094;04423;03553; 00304
0003.110;04419;03499; 00304
0003.126;04416;03396; 00304
0003.142;04416;03396; 00304
0003.158;04416;03299; 00304
0003.174;04416;03253; 00304
0003.187;04419;03253; 00304
0003.203;04423;03163; 00304
0003.219;04426;03121; 00304
0003.235;04426;03121; 00304
0003.251;04433;03039; 00304
0003.267;04440;02999; 00304
0003.283;04451;02999; 00304
0003.296;04462;02999; 00304
0003.312;04462;02961; 00304
0003.331;04473;02923; 00304
0003.344;04487;02961; 00304
0003.360;04501;02923; 00304
0003.390;04515;02923; 00304
0003.406;04530;02961; 00304
0003.422;04547;02961; 00304
0003.438;04565;02999; 00304
0003.454;04565;03039; 00304
0003.470;04587;03079; 00304
0003.486;04605;03121; 00304
0003.502;04626;03163; 00304
0003.515;04626;03207; 00304
0003.531;04647;03299; 00304
0003.547;04669;03347; 00304
0003.563;04712;03447; 00304
0003.579;04712;03553; 00304
0003.595;04736;03608; 00304
0003.611;04758;03666; 00304
0003.624;04758;03725; 00304
0003.643;04801;03914; 00304
0003.656;04801;03914; 00304
0003.672;04801;04052; 00304
0003.686;04822;04124; 00304
0003.702;04847;04277; 00304
0003.718;04868;04277; 00314
0003.734;04868;04441; 00314
0003.750;04890;04528; 00324
0003.766;04911;04619; 00324
0003.782;04933;04713; 00324
0003.798;04933;04811; 00334
0003.811;04954;04914; 00334
0003.830;04972;05021; 00334
0003.843;04993;05021; 00343
0003.859;05011;05132; 00353
0003.872;05011;05249; 00353
0003.891;05029;05371; 00353
0003.904;05043;05371; 00363
0003.923;05057;05499; 00363
0003.936;05072;05633; 00363
0003.952;05072;05633; 00373
0003.968;05086;05633; 00373
0003.984;05097;05774; 00383
0003.998;05107;05774; 00383
0004.014;05107;05774; 00383
0004.030;05118;05774; 00383
0004.046;05125;05921; 00402
0004.062;05132;06078; 00402
0004.091;05136;06242; 00392
0004.110;05139;06242; 00402
0004.139;05143;06242; 00422
0004.155;05143;06242; 00432
0004.171;05139;06242; 00441
0004.184;05139;06242; 00451
0004.200;05136;06242; 00451
0004.219;05132;06415; 00451
0004.232;05132;06242; 00461
0004.248;05125;06415; 00461
0004.264;05118;06416; 00461
0004.280;05107;06242; 00471
0004.296;05107;06416; 00461
0004.310;05097;06415; 00451
0004.326;05086;06242; 00451
0004.342;05072;06415; 00451
0004.358;05072;06416; 00461
0004.374;05057;06242; 00451
0004.390;05043;06078; 00441
0004.403;05029;06242; 00451
0004.419;05011;06078; 00441
0004.435;05011;06078; 00441
0004.451;04993;06078; 00432
0004.467;04972;06078; 00422
0004.483;04954;06078; 00432
0004.496;04954;06078; 00422
0004.515;04933;05922; 00432
0004.528;04911;05922; 00441
0004.544;04890;05922; 00422
0004.560;04868;05774; 00412
0004.576;04868;05774; 00422
0004.590;04847;05774; 00422
0004.606;04822;05633; 00422
0004.622;04801;05633; 00422
0004.638;04801;05499; 00422
0004.654;04779;05499; 00412
0004.675;04736;05371; 00412
0004.686;04736;05249; 00422
0004.702;04712;05249; 00412
0004.718;04712;05249; 00412
0004.731;04690;05021; 00412
0004.747;04647;05020; 00412
0004.763;04647;05020; 00402
0004.792;04626;04811; 00402
0004.808;04605;04713; 00402
0004.824;04587;04619; 00392
0004.843;04565;04619; 00392
0004.856;04565;04528; 00392
0004.872;04547;04441; 00373
0004.888;04530;04357; 00373
0004.904;04515;04276; 00373
0004.920;04515;04199; 00373
0004.934;04501;04124; 00363
0004.952;04487;04052; 00363
0004.966;04473;03982; 00363
0004.982;04462;03914; 00363
0004.998;04462;03849; 00353
0005.011;04451;03786; 00343
0005.027;04440;03666; 00343
0005.046;04433;03608; 00334
0005.059;04433;03608; 00334
0005.075;04426;03553; 00324
0005.091;04423;03499; 00324
0005.107;04419;03447; 00324
0005.123;04416;03347; 00324
0005.136;04416;03347; 00324
0005.152;04416;03253; 00324
0005.168;04416;03207; 00324
0005.184;04419;03207; 00324
0005.200;04419;03121; 00324
0005.214;04423;03121; 00324
0005.230;04426;03079; 00324
0005.246;04433;02999; 00324
0005.262;04440;02999; 00324
0005.278;04440;02961; 00324
0005.294;04451;02923; 00314
0005.310;04462;02923; 00314
0005.326;04473;02887; 00304
0005.339;04473;02887; 00304
0005.355;04501;02887; 00304
0005.371;04515;02887; 00304
0005.387;04515;02923; 00304
0005.400;04515;02923; 00304
0005.416;04530;02923; 00304
0005.432;04547;02923; 00304
0005.448;04565;02999; 00304
0005.464;04587;03038; 00304
0005.480;04587;03079; 00304
0005.496;04605;03079; 00304
0005.512;04626;03163; 00304
0005.526;04647;03253; 00304
0005.542;04647;03253; 00304
0005.558;04669;03347; 00294
0005.574;04690;03447; 00294
0005.590;04712;03553; 00294
0005.603;04736;03553; 00294
0005.619;04736;03666; 00294
0005.635;04758;03786; 00294
0005.651;04779;03849; 00294
0005.667;04801;03982; 00294
0005.683;04801;04124; 00294
0005.699;04822;04199; 00294
0005.712;04847;04276; 00294
0005.744;04868;04528; 00294
0005.760;04890;04528; 00304
0005.776;04911;04619; 00304
0005.790;04933;04811; 00304
0005.808;04954;04914; 00304
0005.822;04954;04914; 00314
0005.838;04972;05132; 00314
0005.854;04993;05132; 00304
0005.870;05011;05249; 00314
0005.886;05011;05371; 00314
0005.899;05029;05371; 00324
0005.915;05043;05371; 00343
0005.931;05057;05499; 00343
0005.947;05072;05633; 00343
0005.963;05086;05633; 00353
0005.976;05086;05633; 00363
0005.992;05097;05774; 00373
0006.011;05107;05774; 00383
0006.024;05107;05922; 00392
0006.040;05118;05921; 00392
0006.056;05125;05921; 00402
0006.072;05132;05922; 00412
0006.088;05136;06078; 00422
0006.102;05136;06078; 00422
0006.118;05139;06078; 00432
0006.134;05143;06078; 00412
0006.150;05143;06242; 00422
0006.166;05143;06078; 00432
0006.179;05143;06242; 00432
0006.195;05139;06242; 00441
0006.211;05136;06078; 00461
0006.227;05132;06242; 00471
0006.243;05132;06242; 00481
0006.259;05125;06242; 00490
0006.275;05118;06242; 00510
0006.291;05107;06416; 00510
0006.304;05107;06242; 00510
0006.320;05097;06242; 00520
0006.336;05086;06242; 00530
0006.352;05072;06242; 00540
0006.368;05057;06078; 00530
0006.398;05043;06078; 00530
0006.414;05029;06242; 00530
0006.430;05011;06242; 00520
0006.446;05011;06078; 00481
0006.462;04993;06078; 00461
0006.478;04972;06078; 00451
0006.491;04954;06078; 00451
0006.507;04933;05922; 00471
0006.523;04933;05921; 00481
0006.539;04911;05922; 00471
0006.555;04868;05774; 00451
0006.571;04868;05774; 00451
0006.587;04847;05633; 00441
0006.600;04847;05633; 00441
0006.616;04822;05498; 00422
0006.632;04801;05499; 00432
0006.648;04801;05499; 00422
0006.664;04779;05499; 00422
0006.678;04758;05371; 00422
0006.694;04736;05371; 00402
0006.710;04712;05249; 00392
0006.726;04712;05249; 00402
0006.742;04690;05020; 00392
0006.758;04669;05021; 00392
0006.774;04647;05020; 00402
0006.790;04626;04914; 00383
0006.806;04626;04713; 00363
0006.819;04605;04713; 00353
0006.835;04587;04619; 00363
0006.851;04565;04619; 00353
0006.867;04565;04528; 00363
0006.880;04547;04441; 00353
0006.896;04530;04441; 00353
