temps;APEG;TV;TPC
temps;Angle Pivot;Gyromètre;Consigne tangage PC
0002.881;-03225; 0014; 1820
0002.897;-03225; 0012; 1820
0002.913;-03205; 0016; 1820
0002.929;-03185; 0016; 1820
0002.945;-03165; 0014; 1820
0002.961;-03165; 0014; 1820
0002.974;-03145; 0014; 1820
0002.990;-03145; 0012; 1820
0003.006;-03165; 0012; 1820
0003.022;-03124; 0016; 1820
0003.038;-03104; 0016; 1820
0003.054;-03124; 0012; 1820
0003.067;-03084; 0014; 1820
0003.083;-03104; 0012; 1820
0003.099;-03084; 0014; 1820
0003.115;-03064; 0008; 1820
0003.131;-03064; 0016; 1820
0003.147;-03064; 0014; 1820
0003.163;-03024; 0014; 1820
0003.177;-03024; 0014; 1820
0003.193;-03024; 0012; 1820
0003.209;-03024; 0016; 1820
0003.225;-03004; 0014; 1820
0003.241;-02984; 0014; 1820
0003.257;-02964; 0014; 1820
0003.270;-02984; 0014; 1820
0003.286;-02924; 0018; 1820
0003.302;-02924; 0016; 1820
0003.318;-02944; 0014; 1820
0003.334;-02904; 0014; 1820
0003.350;-02884; 0018; 1820
0003.366;-02884; 0014; 1820
0003.379;-02884; 0014; 1820
0003.395;-02864; 0016; 1820
0003.411;-02824; 0016; 1820
0003.427;-02804; 0020; 1820
0003.441;-02804; 0018; 1820
0003.457;-02804; 0014; 1820
0003.473;-02764; 0020; 1820
0003.489;-02744; 0024; 1820
0003.505;-02724; 0018; 1820
0003.521;-02704; 0022; 1820
0003.537;-02704; 0014; 1820
0003.553;-02664; 0018; 1820
0003.566;-02684; 0020; 1820
0003.585;-02684; 0018; 1820
0003.598;-02664; 0014; 1820
0003.614;-02644; 0016; 1820
0003.630;-02624; 0022; 1820
0003.646;-02644; 0014; 1820
0003.662;-02644; 0014; 1820
0003.675;-02604; 0014; 1820
0003.691;-02564; 0020; 1820
0003.707;-02544; 0020; 1820
0003.723;-02524; 0018; 1820
0003.739;-02524; 0012; 1820
0003.753;-02524; 0014; 1820
0003.769;-02524; 0012; 1820
0003.785;-02484; 0014; 1820
0003.801;-02484; 0016; 1820
0003.817;-02444; 0024; 1820
0003.830;-02423; 0026; 1820
0003.846;-02423; 0024; 1820
0003.862;-02403; 0028; 1820
0003.878;-02383; 0026; 1820
0003.894;-02363; 0026; 1820
0003.910;-02343; 0022; 1820
0003.926;-02323; 0026; 1820
0003.942;-02303; 0020; 1820
0003.955;-02303; 0020; 1820
0003.971;-02263; 0022; 1820
0003.987;-02243; 0024; 1820
0004.003;-02223; 0024; 1820
0004.019;-02223; 0022; 1820
0004.033;-02183; 0022; 1820
0004.051;-02183; 0018; 1820
0004.065;-02143; 0018; 1820
0004.081;-02143; 0022; 1820
0004.097;-02103; 0022; 1820
0004.113;-02083; 0020; 1820
0004.129;-02063; 0030; 1820
0004.145;-02023; 0032; 1820
0004.158;-02023; 0032; 1820
0004.177;-01963; 0024; 1820
0004.190;-02003; 0022; 1820
0004.209;-01963; 0018; 1820
0004.219;-01903; 0020; 1820
0004.235;-01903; 0022; 1820
0004.251;-01863; 0026; 1820
0004.267;-01883; 0028; 1820
0004.283;-01863; 0026; 1820
0004.299;-01823; 0022; 1820
0004.315;-01823; 0024; 1820
0004.331;-01783; 0030; 1820
0004.347;-01763; 0026; 1820
0004.361;-01722; 0022; 1820
0004.377;-01722; 0024; 1820
0004.393;-01682; 0028; 1820
0004.409;-01682; 0028; 1820
0004.422;-01662; 0022; 1820
0004.441;-01642; 0024; 1820
0004.454;-01622; 0026; 1820
0004.470;-01562; 0022; 1820
0004.486;-01562; 0018; 1820
0004.502;-01562; 0020; 1820
0004.518;-01522; 0026; 1820
0004.531;-01522; 0026; 1820
0004.550;-01502; 0030; 1820
0004.566;-01482; 0024; 1820
0004.579;-01442; 0024; 1820
0004.595;-01422; 0026; 1820
0004.609;-01402; 0028; 1820
0004.625;-01402; 0024; 1820
0004.643;-01362; 0018; 1820
0004.657;-01362; 0024; 1820
0004.673;-01322; 0026; 1820
0004.689;-01282; 0032; 1820
0004.705;-01282; 0026; 1820
0004.721;-01202; 0030; 1820
0004.734;-01222; 0032; 1820
0004.750;-01182; 0032; 1820
0004.766;-01182; 0026; 1820
0004.782;-01142; 0028; 1820
0004.798;-01122; 0026; 1820
0004.811;-01102; 0030; 1820
0004.827;-01082; 0028; 1820
0004.843;-01021; 0032; 1820
0004.859;-01001; 0034; 1820
0004.875;-00961; 0028; 1820
0004.891;-00961; 0028; 1820
0004.907;-00941; 0030; 1820
0004.923;-00861; 0034; 1820
0004.937;-00861; 0030; 1820
0004.953;-00881; 0028; 1820
0004.969;-00821; 0028; 1820
0004.985;-00801; 0030; 1820
0005.001;-00761; 0028; 1820
0005.014;-00741; 0028; 1820
0005.030;-00721; 0026; 1820
0005.046;-00721; 0028; 1820
0005.062;-00681; 0024; 1820
0005.078;-00661; 0026; 1820
0005.094;-00641; 0028; 1820
0005.110;-00601; 0024; 1820
0005.123;-00561; 0030; 1820
0005.142;-00541; 0026; 1820
0005.155;-00521; 0028; 1820
0005.171;-00501; 0032; 1820
0005.187;-00461; 0028; 1820
0005.203;-00441; 0028; 1820
0005.217;-00381; 0028; 1820
0005.233;-00381; 0034; 1820
0005.249;-00361; 0030; 1820
0005.267;-00340; 0032; 1820
0005.281;-00300; 0030; 1820
0005.297;-00260; 0030; 1820
0005.310;-00260; 0028; 1820
0005.326;-00220; 0030; 1820
0005.342;-00160; 0030; 1820
0005.358;-00140; 0030; 1820
