29.181;8292.7;-0.006953;0.21333;2.461;5.0039
29.472;8357.6;-0.0070177;0.21266;2.4653;5.0039
29.759;8262.9;-0.0069155;0.21486;2.4664;5.0039
30.05;8350.1;-0.0068296;0.21363;2.4667;5.0039
30.342;8260.6;-0.0069268;0.21284;2.4711;5.0039
30.637;8237.8;-0.0068321;0.21368;2.4723;5.0039
30.945;8345.1;-0.0067475;0.21422;2.4726;5.0039
31.257;8257.9;-0.0066054;0.21317;2.4682;5.0039
31.624;8353.8;-0.006884;0.21856;2.4671;5.0131
31.925;8260.9;-0.0066407;0.22267;2.4669;5.0062
32.215;8349.5;-0.0066402;0.21857;2.4625;5.0045
32.508;8372.2;-0.0065804;0.2133;2.4613;5.0041
32.8;8385.5;-0.0066844;0.21396;2.461;5.0039
33.099;8269;-0.0065313;0.209;2.461;5.0039
33.407;8352.8;-0.0066737;0.2031;2.4654;5.0039
33.768;8256.6;-0.0067727;0.2036;2.4665;5.0039
34.073;8349.5;-0.0067932;0.20931;2.4711;5.0039
34.375;8379.9;-0.0067983;0.21285;2.4723;5.0039
34.677;8267.3;-0.0066794;0.21098;2.4726;4.9951
34.975;8239.4;-0.0067697;0.20983;2.4682;5.0017
35.281;8352.8;-0.0067323;0.21046;2.4672;5.0034
35.572;8380.5;-0.0067231;0.21349;2.4625;5.0038
35.874;8507.8;-0.0066006;0.21139;2.4613;5.0039
36.171;8419.7;-0.0067497;0.20607;2.461;5.0039
36.471;8277.4;-0.0066074;0.20405;2.461;5.0039
36.767;8361.6;-0.0066916;0.20548;2.4609;5.0039
37.068;8382.9;-0.0065928;0.20098;2.4653;5.0039
37.384;8388.3;-0.0066894;0.20505;2.4842;5.0306
37.683;8914.1;-0.0074916;0.22093;2.717;5.5024
37.982;9345.8;-0.0076928;0.24707;2.7798;5.6294
38.4;9292.7;-0.007747;0.26365;2.7967;5.6637
38.715;9442.5;-0.0076961;0.27272;2.7954;5.6699
39.016;9177.9;-0.0074439;0.28083;2.7906;5.6714
39.321;9405.4;-0.0076819;0.29002;2.7895;5.6718
39.624;9168.2;-0.0076805;0.28212;2.7892;5.6718
39.929;9252.4;-0.0077404;0.28674;2.7891;5.6719
40.227;9273.1;-0.0076951;0.28283;2.7891;5.6631
40.55;9278.4;-0.0076836;0.28027;2.7935;5.6698
40.863;9135.6;-0.0076202;0.28567;2.7946;5.6714
41.165;9394.5;-0.0077253;0.28892;2.7992;5.6718
41.474;9308;-0.0076911;0.28548;2.8004;5.663
41.777;9294.5;-0.0077429;0.28609;2.8007;5.6697
42.091;9442.7;-0.0077559;0.28648;2.7963;5.6713
42.39;9320.7;-0.007639;0.28131;2.7953;5.663
42.698;9290;-0.0077303;0.28215;2.7906;5.6697
43.006;9290;-0.0076923;0.28541;2.7894;5.6625
43.316;9282.4;-0.007804;0.29295;2.7892;5.6696
43.622;9280.6;-0.0077708;0.29073;2.7891;5.6625
43.929;9287.7;-0.0077023;0.29209;2.7891;5.6607
44.234;9289.4;-0.0076855;0.2902;2.7935;5.6603
44.537;9440.2;-0.0076814;0.29039;2.7946;5.6602
44.84;9319.7;-0.0076803;0.28643;2.7992;5.6602
45.147;9297.3;-0.0078611;0.28942;2.8004;5.6602
45.455;9442.9;-0.0076639;0.28304;2.8007;5.669
45.815;9323.2;-0.0075513;0.28172;2.8008;5.6713
46.109;9447.7;-0.007707;0.28371;2.7964;5.663
46.397;9182.2;-0.0077463;0.28232;2.791;5.6696
46.688;9411.3;-0.0076374;0.27878;2.7852;5.6713
46.98;9172;-0.0077287;0.28052;2.7881;5.663
47.281;9260.6;-0.0078123;0.28164;2.7888;5.6609
47.57;9282.4;-0.0078923;0.281;2.789;5.6603
47.865;9437.5;-0.0077336;0.27658;2.7934;5.6602
48.157;9327.7;-0.0076937;0.27648;2.7945;5.6689
48.445;9440.8;-0.0078024;0.27641;2.7992;5.6711
48.74;9178.9;-0.0077707;0.27904;2.8047;5.6717
49.033;10470;-0.011342;0.30066;3.2169;6.5108
49.339;10801;-0.011476;0.32009;3.3228;6.7263
49.741;10896;-0.011447;0.32304;3.3458;6.7828
50.042;10914;-0.011502;0.32982;3.3501;6.7934
50.334;10918;-0.011515;0.34326;3.3512;6.796
50.62;10920;-0.011459;0.34641;3.3471;6.7966
50.905;10920;-0.011741;0.34971;3.3461;6.7968
51.192;10920;-0.011755;0.3492;3.3501;6.7969
51.481;11128;-0.011996;0.35018;3.3512;6.7969
51.767;11181;-0.011762;0.35343;3.3602;6.7969
52.061;10979;-0.011581;0.35153;3.3625;6.7969
52.36;11145;-0.011715;0.34898;3.3631;6.7969
52.647;11186;-0.011808;0.34742;3.3632;6.7969
52.94;10988;-0.011891;0.34774;3.3589;6.7969
53.228;11145;-0.011853;0.34532;3.3535;6.7969
53.518;11193;-0.011546;0.3517;3.352;6.7969
53.875;11206;-0.011338;0.35178;3.3517;6.7969
54.168;11209;-0.011712;0.34517;3.3516;6.7969
54.459;10994;-0.011867;0.34897;3.3472;6.7969
54.744;11154;-0.011551;0.35527;3.3504;6.7969
55.037;10987;-0.011826;0.36334;3.3556;6.7969
55.325;10937;-0.011658;0.36705;3.357;6.7969
55.611;10924;-0.011437;0.36022;3.3573;6.7969
55.907;10921;-0.011439;0.36248;3.3618;6.7969
56.194;10928;-0.01138;0.35599;3.3629;6.7969
56.488;10922;-0.011783;0.35581;3.3588;6.7969
56.778;10921;-0.011706;0.3557;3.3534;6.7969
