Temps,Sortie Reg.,position,I moteur,Consigne,Mesure,vitesse,accélération
s,mm/s,mm,mA,mm,mm,mm/s,mm/s²
1.460,-7.391,50.146,45.898,50.000,50.144,0.000,-29.736
1.470,-7.391,50.146,17.090,50.000,50.144,0.000,18.923
1.480,-7.391,50.146,44.922,50.000,50.144,0.000,-2.703
1.490,-7.391,50.146,14.648,50.000,50.144,0.000,-10.813
1.500,-7.391,50.146,15.137,50.000,50.144,0.000,2.703
1.510,-7.391,50.146,19.043,50.000,50.144,0.000,0.000
1.520,-7.391,50.146,15.137,50.000,50.144,0.000,0.000
1.530,-7.391,50.146,25.391,50.000,50.144,0.000,0.000
1.540,-7.391,50.146,8.789,50.000,50.144,0.000,0.000
1.550,-7.391,50.146,27.344,50.000,50.144,0.000,0.000
1.560,-7.391,50.146,53.223,50.000,50.144,0.000,0.000
1.570,-7.391,50.146,37.109,50.000,50.144,0.000,0.000
1.580,-7.391,50.148,32.715,50.000,50.147,0.132,2.703
1.590,-7.523,50.144,32.715,50.000,50.144,-0.396,-8.110
1.600,-7.391,50.146,24.414,50.000,50.144,0.264,5.407
1.610,-7.391,50.146,-8.301,50.000,50.144,0.000,-2.703
1.620,-7.391,50.146,35.645,50.000,50.144,0.000,10.813
1.630,-7.391,50.146,0.977,50.000,50.144,0.000,-16.220
1.640,-7.391,50.146,11.719,50.000,50.144,0.000,13.516
1.650,-7.391,50.146,47.852,50.000,50.144,0.000,-5.407
1.660,-7.391,50.145,9.277,50.000,50.144,0.000,0.000
1.670,-7.391,50.146,14.648,50.000,50.144,0.000,0.000
1.680,-7.391,50.146,22.949,50.000,50.144,0.000,0.000
1.690,-7.391,50.146,36.133,50.000,50.144,0.000,0.000
1.700,-7.391,50.146,12.207,50.000,50.144,0.000,0.000
1.710,-7.391,50.146,20.020,50.000,50.144,0.000,0.000
1.720,-7.391,50.146,19.043,50.000,50.144,0.000,0.000
1.730,-7.391,50.157,23.438,50.000,50.155,1.188,24.330
1.740,-8.051,50.154,-68.848,50.000,50.155,-0.924,-18.923
1.750,-7.787,50.153,23.438,50.000,50.152,0.000,0.000
1.760,-7.787,50.155,13.184,50.000,50.155,0.264,-18.923
1.770,-7.919,50.155,24.414,50.000,50.155,0.000,43.252
1.780,-7.919,50.155,19.531,50.000,50.155,0.000,-43.252
1.790,-7.919,50.155,41.504,50.000,50.155,0.000,13.516
1.800,-7.919,50.155,29.785,50.000,50.155,0.000,5.407
1.810,-7.919,50.155,2.930,50.000,50.155,0.000,-5.407
1.820,-7.919,50.155,15.625,50.000,50.155,0.000,0.000
1.830,-7.919,50.155,1.465,50.000,50.155,0.000,0.000
1.840,-7.919,50.155,32.715,50.000,50.155,0.000,0.000
1.850,-7.919,50.155,9.766,50.000,50.155,0.000,0.000
1.860,-7.919,50.155,23.926,50.000,50.155,0.000,0.000
1.870,-7.919,50.154,33.203,50.000,50.155,0.000,0.000
1.880,-7.787,50.156,27.832,50.000,50.155,0.264,5.407
1.890,-7.919,50.157,18.555,50.000,50.155,0.000,0.000
1.900,-7.919,50.155,0.488,50.000,50.155,-0.132,-2.703
1.910,-7.919,50.156,20.508,50.000,50.155,0.132,-2.703
1.920,-7.919,50.156,30.762,50.000,50.155,0.000,5.407
1.930,-7.919,50.156,20.020,50.000,50.155,0.000,-2.703
1.940,-7.919,50.156,33.691,50.000,50.155,0.000,-5.407
1.950,-7.919,50.156,2.930,50.000,50.155,0.000,5.407
1.960,-7.919,50.156,31.738,50.000,50.155,0.000,-2.703
1.970,-7.919,50.156,4.395,50.000,50.155,0.000,0.000
1.980,-7.919,50.156,42.969,50.000,50.155,0.000,0.000
1.990,-7.919,50.156,15.625,50.000,50.155,0.000,0.000
2.000,-7.919,50.156,23.926,50.000,50.155,0.000,0.000
2.010,-7.919,50.156,31.250,50.000,50.155,0.000,0.000
2.020,-7.919,50.156,-6.348,50.000,50.155,0.000,0.000
2.030,-7.919,50.154,10.742,50.000,50.155,-0.264,-5.407
2.040,-7.787,50.150,14.160,50.000,50.149,-0.264,-5.407
2.050,-7.655,50.160,-2.930,50.000,50.157,1.056,21.626
2.060,-8.183,50.161,29.297,50.000,50.160,0.000,5.407
2.070,-8.183,50.160,-9.766,50.000,50.160,0.000,0.000
2.080,-8.183,50.160,34.668,50.000,50.160,0.000,-21.626
2.090,-8.183,50.160,3.906,50.000,50.160,0.000,27.033
2.100,-8.183,50.160,40.039,50.000,50.160,0.000,-21.626
2.110,-8.183,50.160,2.441,50.000,50.160,0.000,0.000
2.120,-8.183,50.160,41.016,50.000,50.160,0.000,0.000
2.130,-8.183,50.160,3.418,50.000,50.160,0.000,0.000
2.140,-8.183,50.160,34.180,50.000,50.160,0.000,0.000
2.150,-8.183,50.160,-10.254,50.000,50.160,0.000,0.000
2.160,-8.183,50.160,43.457,50.000,50.160,0.000,0.000
2.170,-8.183,50.160,0.000,50.000,50.160,0.000,0.000
2.180,-8.183,50.161,19.043,50.000,50.160,0.000,0.000
2.190,-8.183,50.173,17.090,50.000,50.170,1.452,29.736
2.200,-8.843,50.177,-111.328,50.000,50.178,-0.132,-2.703
2.210,-8.975,50.177,37.109,50.000,50.175,0.132,2.703
2.220,-8.975,50.179,-3.418,50.000,50.178,0.132,-27.033
2.230,-9.107,50.178,43.945,50.000,50.178,-0.132,29.736
2.240,-9.107,50.178,2.441,50.000,50.178,0.000,-35.143
2.250,-9.107,50.179,27.832,50.000,50.178,0.000,2.703
2.260,-9.107,50.179,13.184,50.000,50.178,0.132,5.407
2.270,-9.107,50.179,19.531,50.000,50.178,0.000,-5.407
2.280,-9.107,50.178,34.180,50.000,50.178,0.000,2.703
2.290,-9.107,50.179,9.766,50.000,50.178,0.000,-2.703
2.300,-9.107,50.178,29.297,50.000,50.178,-0.132,0.000
2.310,-9.107,50.179,5.371,50.000,50.178,0.132,0.000
2.320,-9.107,50.178,25.879,50.000,50.178,-0.132,-2.703
2.330,-9.107,50.179,36.621,50.000,50.178,0.132,5.407
2.340,-9.107,50.180,23.438,50.000,50.178,0.132,-2.703
2.350,-9.107,50.178,22.949,50.000,50.178,-0.132,5.407
2.360,-9.107,50.175,-4.395,50.000,50.175,-0.132,-10.813
2.370,-8.975,50.180,37.109,50.000,50.178,0.528,13.516
2.380,-9.107,50.179,-10.254,50.000,50.178,-0.132,0.000
2.390,-9.107,50.180,13.184,50.000,50.178,0.132,0.000
2.400,-9.107,50.179,-3.418,50.000,50.178,-0.132,-13.516
2.410,-9.107,50.180,31.250,50.000,50.178,0.000,16.220
2.420,-9.107,50.179,-16.602,50.000,50.178,-0.132,-18.923
2.430,-9.107,50.179,39.063,50.000,50.178,0.000,8.110
2.440,-9.107,50.179,-10.742,50.000,50.178,0.000,-5.407
2.450,-9.107,50.179,29.297,50.000,50.178,0.000,5.407
2.460,-9.107,50.179,7.324,50.000,50.178,-0.132,-5.407
2.470,-9.107,50.180,34.668,50.000,50.178,0.132,5.407
2.480,-9.107,50.180,20.996,50.000,50.178,0.000,0.000
2.490,-9.107,50.178,34.668,50.000,50.178,-0.132,0.000
2.500,-9.107,50.182,26.367,50.000,50.180,0.396,2.703
2.510,-9.239,50.183,7.813,50.000,50.183,0.000,5.407
2.520,-9.371,50.183,26.367,50.000,50.183,0.132,2.703
2.530,-9.371,50.183,-9.766,50.000,50.183,0.000,-10.813
2.540,-9.371,50.183,27.344,50.000,50.183,0.000,10.813
2.550,-9.371,50.183,-4.883,50.000,50.183,0.000,-10.813
2.560,-9.371,50.183,23.926,50.000,50.183,0.000,2.703
2.570,-9.371,50.183,9.766,50.000,50.183,0.000,-2.703
2.580,-9.371,50.183,23.438,50.000,50.183,0.000,0.000
2.590,-9.371,50.183,6.836,50.000,50.183,0.000,0.000
2.600,-9.371,50.183,34.668,50.000,50.183,0.132,2.703
2.610,-9.371,50.183,33.203,50.000,50.183,0.000,0.000
2.620,-9.371,50.183,-0.488,50.000,50.183,0.000,0.000
2.630,-9.371,50.183,31.250,50.000,50.183,0.000,-2.703
2.640,-9.371,50.183,37.109,50.000,50.183,0.000,2.703
2.650,-9.371,50.183,28.809,50.000,50.183,0.000,-2.703
2.660,-9.371,50.187,23.926,50.000,50.186,0.528,10.813
2.670,-9.503,50.188,-12.695,50.000,50.188,-0.132,-2.703
2.680,-9.635,50.187,20.020,50.000,50.186,0.000,0.000
2.690,-9.503,50.189,10.254,50.000,50.188,0.264,-5.407
