Temps,vitesse,I moteur,accélération,position,U moteur,Sortie Reg.
s,mm/s,mA,mm/s²,mm,V,mA
1.110,104.006,118.164,2.703,97.714,22.211,199.707
1.120,104.006,118.652,2.703,98.730,22.211,199.707
1.130,104.006,125.000,0.000,99.745,22.211,199.707
1.140,103.610,121.094,-5.407,100.760,22.211,199.707
1.150,104.138,120.117,2.703,101.776,22.211,199.707
1.160,104.270,120.117,5.407,102.794,22.211,199.707
1.170,103.742,119.141,2.703,103.809,22.211,199.707
1.180,104.138,118.164,-8.110,104.826,22.211,199.707
1.190,103.874,119.141,2.703,105.842,22.211,199.707
1.200,104.270,116.211,13.516,106.861,22.211,0.000
1.210,104.270,117.188,-8.110,107.879,22.211,0.000
1.220,104.402,116.699,18.923,108.895,22.211,0.000
1.230,104.270,123.047,-5.407,109.913,22.211,0.000
1.240,104.270,117.676,8.110,110.931,22.211,0.000
1.250,104.270,119.629,-2.703,111.949,22.211,0.000
1.260,103.610,11.230,-10.813,112.961,22.211,0.000
1.270,101.498,-0.977,-59.472,113.951,21.984,0.000
1.280,99.255,-0.488,-102.725,114.919,21.463,0.000
1.290,96.483,-4.395,-145.977,115.865,20.920,0.000
1.300,94.635,-4.883,-154.087,116.789,20.454,0.000
1.310,92.391,0.977,-183.823,117.691,20.052,0.000
1.320,90.279,-4.395,-173.010,118.570,19.813,0.000
1.330,87.904,2.930,-194.636,119.428,19.282,0.000
1.340,85.660,-1.465,-175.713,120.263,18.403,0.000
1.350,83.416,0.000,-186.526,121.076,18.283,0.000
1.360,81.040,0.000,-183.823,121.867,17.860,0.000
1.370,78.665,-4.883,-191.933,122.635,17.046,0.000
1.380,76.421,-2.441,-189.230,123.380,16.569,0.000
1.390,74.441,0.000,-181.120,124.105,16.265,0.000
1.400,72.197,1.953,-181.120,124.808,15.571,0.000
1.410,69.821,-3.906,-183.823,125.488,15.082,0.000
1.420,67.710,-0.488,-183.823,126.148,14.692,0.000
1.430,65.334,-4.883,-181.120,126.784,14.095,0.000
1.440,63.222,-3.418,-181.120,127.400,13.596,0.000
1.450,60.978,0.000,-186.526,127.995,13.108,0.000
1.460,58.866,-0.977,-175.713,128.568,12.402,0.000
1.470,56.755,-0.488,-181.120,129.120,12.240,0.000
1.480,54.379,-0.488,-178.416,129.651,11.599,0.000
1.490,52.267,-1.465,-181.120,130.162,10.981,0.000
1.500,50.287,1.465,-175.713,130.651,10.959,0.000
1.510,48.307,-2.930,-167.603,131.121,10.764,0.000
1.520,46.328,2.930,-170.307,131.572,9.896,0.000
1.530,44.216,-2.930,-167.603,132.003,9.842,0.000
1.540,42.236,-1.465,-164.900,132.413,9.440,0.000
1.550,39.992,0.977,-170.307,132.804,8.453,0.000
1.560,38.012,-0.977,-167.603,133.175,7.943,0.000
1.570,36.033,-0.977,-170.307,133.526,7.595,0.000
1.580,34.053,-0.977,-162.197,133.858,7.292,0.000
1.590,32.337,1.953,-162.197,134.173,6.825,0.000
1.600,30.225,-3.906,-159.493,134.466,6.424,0.000
1.610,28.245,-1.953,-159.493,134.740,6.174,0.000
1.620,26.266,1.465,-164.900,134.996,5.751,0.000
1.630,24.418,-1.953,-154.087,135.233,5.143,0.000
1.640,22.702,-4.883,-156.790,135.454,4.688,0.000
1.650,20.458,-1.953,-159.493,135.654,4.329,0.000
1.660,18.610,-4.883,-159.493,135.834,4.069,0.000
1.670,16.894,-0.977,-156.790,135.997,3.483,0.000
1.680,14.915,3.418,-148.680,136.142,2.941,0.000
1.690,13.067,1.465,-159.493,136.269,2.691,0.000
1.700,11.087,-2.441,-156.790,136.377,2.159,0.000
1.710,9.503,-2.441,-145.977,136.469,1.942,0.000
1.720,8.051,6.836,-143.274,136.548,1.736,0.000
1.730,6.599,-2.441,-129.757,136.612,1.291,0.000
1.740,4.884,-2.930,-135.164,136.658,0.911,0.000
1.750,2.772,11.230,-140.570,136.684,0.109,0.000
1.760,0.528,9.277,-154.087,136.689,-0.109,0.000
1.770,-0.396,-27.832,-137.867,136.685,0.423,0.000
1.780,0.000,19.043,-91.911,136.685,-0.553,0.000
1.790,0.000,20.020,-54.066,136.685,0.054,0.000
1.800,0.000,-17.090,-37.846,136.685,0.250,0.000
1.810,0.000,-16.602,-18.923,136.685,0.293,0.000
1.820,0.000,9.766,8.110,136.685,-0.543,0.000
1.830,0.000,26.367,0.000,136.685,-0.271,0.000
1.840,0.000,-5.859,0.000,136.685,0.456,0.000
1.850,0.000,-2.930,0.000,136.685,-0.098,0.000
1.860,-0.132,0.977,-2.703,136.684,-0.174,0.000
1.870,0.132,26.855,2.703,136.685,-0.304,0.000
1.880,0.000,-10.254,0.000,136.686,0.076,0.000
1.890,0.528,-5.859,13.516,136.690,0.347,0.000
1.900,-1.188,9.277,-29.736,136.682,-0.618,0.000
1.910,-0.132,15.625,2.703,136.680,0.011,0.000
1.920,-0.132,-21.973,-16.220,136.680,0.326,0.000
1.930,0.000,-11.719,35.143,136.680,0.163,0.000
1.940,0.000,13.672,-32.439,136.680,-0.532,0.000
1.950,0.000,21.484,24.330,136.680,-0.260,0.000
1.960,0.000,-9.277,0.000,136.680,0.369,0.000
1.970,0.000,-24.902,2.703,136.680,0.260,0.000
1.980,0.000,26.367,0.000,136.680,-0.467,0.000
1.990,0.000,-20.996,0.000,136.680,0.369,0.000
2.000,0.000,-7.813,0.000,136.680,0.022,0.000
2.010,0.000,27.832,0.000,136.680,-0.564,0.000
2.020,0.000,-14.160,0.000,136.680,0.434,0.000
2.030,0.000,-14.648,0.000,136.680,0.065,0.000
2.040,0.000,12.695,0.000,136.680,-0.293,0.000
2.050,0.000,-20.020,0.000,136.680,0.315,0.000
2.060,-0.132,-11.719,-2.703,136.678,-0.206,0.000
2.070,-0.792,-13.672,-16.220,136.672,0.271,0.000
2.080,0.000,6.348,0.000,136.672,-0.033,0.000
2.090,0.000,29.297,2.703,136.672,-0.315,0.000
2.100,-0.132,-11.719,10.813,136.672,0.423,0.000
2.110,0.000,-15.625,-13.516,136.672,0.184,0.000
2.120,0.000,15.625,16.220,136.672,-0.608,0.000
2.130,0.000,17.578,2.703,136.672,-0.336,0.000
2.140,0.000,-20.020,-2.703,136.672,0.315,0.000
2.150,0.132,-7.813,5.407,136.672,-0.336,0.000
2.160,0.000,5.371,0.000,136.672,-0.217,0.000
2.170,0.132,-34.180,2.703,136.672,0.412,0.000
2.180,0.000,-5.859,-2.703,136.672,-0.033,0.000
2.190,0.000,8.789,2.703,136.672,-0.293,0.000
2.200,0.000,25.879,-5.407,136.672,-0.434,0.000
2.210,0.000,-17.578,2.703,136.672,0.543,0.000
2.220,0.000,1.953,-2.703,136.672,0.184,0.000
2.230,-0.132,8.301,-2.703,136.672,-0.391,0.000
2.240,0.396,10.254,8.110,136.675,0.163,0.000
2.250,-0.660,10.742,-13.516,136.671,-0.228,0.000
2.260,0.000,-11.719,2.703,136.670,0.412,0.000
2.270,0.132,-18.066,-8.110,136.671,0.521,0.000
2.280,0.000,-7.324,24.330,136.670,-0.033,0.000
2.290,0.000,20.996,-21.626,136.670,-0.618,0.000
2.300,0.132,15.625,13.516,136.671,-0.217,0.000
2.310,-0.132,9.277,0.000,136.670,-0.250,0.000
