Position - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL02_256.CRB;VL02_256.CRB;CL02_256.CRB
4.862000;4.862000;4.862000
deg.;deg./s;A
-0,000236;0,000000;0,156813
-0,000236;0,000000;0,156240
-0,000236;0,000000;0,156240
-0,000236;0,000000;0,155666
-0,000236;0,000000;0,156240
-0,000236;0,000000;0,156240
-0,000236;0,000000;0,155093
-0,000236;0,000000;0,160253
0,014107;2,691601;1,729528
0,055772;6,891261;1,730101
0,117197;12,999859;1,729528
0,185085;13,839791;1,727808
0,251977;14,116587;1,731248
0,315073;12,952135;1,726661
0,375772;12,455812;1,727808
0,439611;12,723063;1,724367
0,513658;15,152185;1,730101
0,603484;17,256788;1,723794
0,711450;22,687713;1,729528
0,836004;25,245688;1,723221
0,972945;27,230982;1,730674
1,117277;29,755551;1,721501
1,265490;30,318687;1,728954
1,416842;30,829328;1,722074
1,571957;31,864926;1,728954
1,733940;32,752581;1,719781
1,906386;35,811652;1,731248
2,089597;37,410387;1,721501
2,282614;38,913675;1,729528
2,483207;41,361886;1,720354
2,686584;41,738901;1,732395
2,891295;41,982290;1,721501
3,098250;42,574061;1,728954
3,307669;42,855629;1,718061
3,524681;44,922053;1,730674
3,753692;46,721226;1,721501
3,996253;48,735154;1,729528
4,252686;52,877546;1,721501
4,519260;54,419013;1,730674
4,792534;55,635960;1,728954
5,068153;56,724054;1,730101
5,344279;56,848135;1,731821
5,617789;56,222958;1,730674
5,893003;56,480665;1,728381
6,172318;57,048573;1,729528
6,459109;59,119769;1,730674
6,755096;60,351034;1,731248
7,062441;62,083394;1,730101
7,379218;65,075652;1,729528
7,702897;66,268737;1,731248
8,030694;67,557270;1,730101
8,361208;67,919968;1,730674
8,693781;68,273121;1,730101
9,028311;68,836257;1,732968
9,366621;69,404166;1,728954
9,710128;70,115245;1,731248
10,058512;71,546947;1,724367
10,412719;72,468009;1,730674
10,771633;73,937891;1,721501
11,133197;74,248093;1,729528
11,498321;74,825546;1,718634
11,867344;75,918412;1,730101
12,239977;76,419508;1,724367
12,618501;77,216489;1,730101
13,003369;79,077703;1,722647
13,393654;79,908090;1,730674
13,790908;81,883840;1,720927
14,192921;82,580601;1,731248
14,598816;83,148510;1,732968
15,007646;84,122068;1,728954
15,416511;84,074344;1,725514
15,826877;84,212742;1,733541
16,239656;84,880870;1,726088
16,656435;85,324698;1,728954
17,081111;87,553382;1,718634
17,512807;88,603297;1,732968
17,952216;89,667529;1,732395
18,398188;91,781676;1,728954
18,848025;92,330496;1,728954
19,301406;92,955672;1,728381
19,754786;93,232468;1,724367
20,208909;93,270647;1,726088
20,664703;93,809922;1,722074
21,123973;94,277611;1,725514
21,588474;95,165267;1,726088
22,057802;96,601742;1,728381
22,534267;97,661201;1,736408
23,015509;98,544085;1,722647
23,502184;100,042600;1,700287
23,990614;100,419615;1,848212
24,480579;100,834809;1,699140
24,971979;100,982751;1,848212
25,466805;101,417034;1,679646
25,964651;102,409681;1,622310
26,467071;103,115988;1,669899
26,972865;103,750709;1,695126
27,482541;104,791080;1,519106
27,993600;105,029697;1,578162
28,506094;105,440118;1,524840
29,019296;105,535565;1,614283
29,533815;105,697825;1,511653
30,049498;106,103474;1,589056
30,553672;105,435346;-0,446931
30,998582;98,195704;-1,648111
31,383197;79,636067;-1,654418
31,717811;71,728296;-1,640084
32,018422;61,105064;-1,655565
32,300302;58,360967;-1,654991
32,571247;56,485437;-1,653845
32,835746;54,352200;-1,655565
33,089901;52,920498;-1,656138
33,325290;50,663180;-1,654991
33,530321;42,512020;-1,654418
33,696253;36,809072;-1,654418
33,818934;23,976245;-1,656138
33,897420;17,323601;-1,654418
33,935844;11,033654;-1,653845
33,944164;1,508060;-1,655565
33,936772;-1,245581;-1,656138
33,923745;-2,195277;-1,653845
33,905857;-3,569712;-1,653845
33,877423;-4,972780;-1,655565
33,832164;-9,768984;-1,656138
33,769018;-12,436723;-1,653271
33,687647;-15,371713;-1,640084
33,593383;-19,523650;-1,655565
33,491914;-20,640378;-1,638938
33,387812;-21,260782;-1,654418
33,284841;-21,203514;-1,638364
33,182392;-20,993531;-1,654418
33,076063;-22,024357;-1,638938
32,957955;-23,828302;-1,654418
32,821234;-26,405367;-1,637218
32,661461;-33,086645;-1,656138
32,478857;-36,532276;-1,637218
32,275429;-39,787013;-1,654418
32,056594;-44,907736;-1,635498
31,831836;-46,096049;-1,655565
31,607398;-46,072187;-1,635498
31,388327;-45,227483;-1,654991
31,173289;-44,444819;-1,633778
30,957846;-44,330282;-1,654991
30,735821;-45,227483;-1,630911
30,502221;-46,692592;-1,655565
30,253146;-51,040195;-1,632631
29,988292;-53,497951;-1,654418
29,730712;-51,694006;1,688246
29,535587;-41,748446;1,727808
29,393196;-33,392075;1,724941
29,290039;-20,836044;1,731248
29,210709;-17,099300;1,723794
29,142146;-14,851527;1,730101
29,074680;-13,873197;1,722647
29,004936;-14,269302;1,730674
28,940119;-13,166891;1,722647
28,890709;-10,809354;1,729528
28,866037;-7,320772;1,721501
28,870138;1,169224;1,730101
28,903466;5,402291;1,728381
28,969177;10,155543;1,728954
29,061315;18,745758;1,730101
29,172994;21,938455;1,728954
29,294595;25,202737;1,729528
29,419335;25,637020;1,728381
29,544007;25,679971;1,731821
29,669490;25,837458;1,731248
29,799917;26,476952;1,730101
29,940081;27,708216;1,730101
30,082860;29,583746;0,976712
30,189712;25,431809;-1,648685
30,243358;9,663992;-1,656138
30,255137;3,278599;-1,641231
30,244371;-1,116728;-1,654991
30,236119;-1,622596;-1,636644
30,237097;-0,214755;-1,655565
30,239764;0,706307;-1,634924
30,239224;0,014317;-1,654418
30,234904;-0,672900;-1,632057
30,222467;-2,863405;-1,654991
30,195062;-5,111178;-1,627471
30,145989;-8,036623;-1,654418
30,070423;-15,829858;-1,630337
29,977155;-18,850750;-0,004874
29,896712;-18,922335;1,144132
29,858490;-8,275241;1,730101
29,856667;-2,300269;1,724941
29,868581;2,591382;1,730674
29,878301;2,214367;1,730101
29,880883;1,030826;1,729528
29,880664;-0,224300;1,731248
29,883246;0,396104;1,730674
29,897302;1,398296;1,730674
29,932672;7,005798;1,728381
29,989136;10,608916;0,819612
30,052586;13,014176;0,040995
30,098031;10,150771;-1,438836
30,113117;5,726810;-1,655565
30,103346;-2,142781;-1,654991
30,086319;-3,440858;-1,554081
30,071891;-3,502899;-1,284604
30,065850;-1,331483;-1,113170
30,063673;-0,462917;-1,013980
30,055371;-1,947115;-0,961231
30,034547;-3,961044;-0,699781
30,004611;-5,617046;-0,222175
29,974354;-6,280402;0,158533
29,951640;-5,101633;0,879815
29,939794;-3,617435;1,101703
29,938984;-0,128853;1,223828
29,941414;0,400877;1,200894
29,941937;0,004772;1,173946
29,941937;0,000000;1,171653
29,943202;0,038179;1,169359
29,949294;1,355345;1,143558
29,963166;2,448211;0,903322
29,986639;3,774922;0,672833
30,018127;6,442661;0,348314
30,049380;6,924668;-0,337420
30,065681;2,858633;-0,854587
30,067504;0,739713;-1,077622
30,064162;-0,672900;-1,018567
30,064804;0,229072;-1,001939
30,064804;0,076357;-1,001939
30,063943;-0,076357;-1,015126
30,059657;-0,839932;-0,982445
30,046629;-1,918481;-0,946324
30,022920;-5,130267;-0,584536
29,995279;-5,693404;-0,281804
29,970506;-5,526372;0,456678
29,954610;-3,168835;0,737049
29,948265;-1,737132;1,042647
29,948704;-0,458145;1,070169
29,948704;0,000000;1,055835
29,948704;0,000000;1,055261
29,950357;0,391332;1,050101
29,955386;0,921062;1,027740
29,964718;1,488971;0,876374
29,980277;3,216558;0,731889
30,000611;4,061263;0,278364
30,021317;4,381010;0,053609
30,034867;2,944535;-0,281231
30,035222;1,016509;-0,526054
30,029400;-1,231264;-0,471012
30,026734;-0,668128;-0,371248
30,029602;0,243389;-0,369528
30,032117;0,558364;-0,408516
30,030868;0,000000;-0,442344
30,027375;-0,653811;-0,398196
30,022987;-0,892428;-0,354621
30,017773;-1,002192;-0,230776
30,011074;-1,460337;-0,164267
30,002923;-1,627369;-0,000287
29,994823;-1,732360;0,028381
29,989086;-1,145362;0,276644
29,987854;-0,443828;0,359207
29,990368;0,310202;0,354621
29,993237;0,548819;0,317926
29,995667;0,472462;0,288111
29,999717;0,892428;0,216442
30,005707;1,183541;0,142479
30,013537;1,455564;0,036408
30,021334;1,593962;-0,141905
30,025822;1,126273;-0,312766
30,025924;0,505868;-0,343727
30,024051;-0,424738;-0,334553
30,022886;-0,338836;-0,296712
30,022414;-0,057268;-0,277218
30,022380;0,000000;-0,273204
30,020473;-0,171804;-0,261737
30,015461;-1,002192;-0,226189
30,008340;-1,436475;-0,074823
30,000274;-1,589190;0,012901
29,993541;-1,431703;0,188921
29,990554;-0,882883;0,305885
29,991651;0,310202;0,321366
29,990436;0,143170;-0,207841
29,957917;-3,307233;-1,654991
29,892324;-13,796840;-1,654991
29,809434;-16,583888;-1,657285
29,723962;-17,719705;-1,653845
29,646186;-16,082792;-1,652698
29,581132;-14,293164;-1,655565
29,523825;-11,687465;-1,644671
29,464644;-11,906993;-1,654991
29,393162;-13,472321;-1,640658
29,302594;-18,769620;-1,654418
29,190105;-22,167527;-1,642378
29,056607;-25,374541;-1,653845
28,908394;-30,385500;-1,639511
28,752604;-31,745617;-1,654418
28,594924;-32,437607;-1,638364
28,437396;-32,413745;-1,654418
28,278585;-32,461469;-1,637791
28,113261;-34,079292;-1,654991
27,936377;-35,754384;-1,638938
27,745993;-37,768313;-1,654991
27,542886;-41,643454;-1,637218
27,330514;-43,261278;-1,653845
