Position - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL05_256.CRB;VL05_256.CRB;CL05_256.CRB
4.862000;4.862000;4.862000
deg.;deg./s;A
-0,014006;0,000000;-0,045009
-0,014006;0,000000;-0,034688
-0,014006;0,000000;-0,042715
-0,014006;0,000000;-0,033541
-0,014006;0,000000;-0,044435
-0,014006;0,000000;-0,032968
-0,014006;0,000000;-0,043862
-0,014006;0,000000;-0,033541
-0,014006;0,000000;-0,043862
0,007037;2,777503;1,746155
0,054523;7,311228;1,741568
0,118294;13,119167;1,739275
0,185490;13,753889;1,741568
0,247826;12,551259;1,739275
0,302130;11,401124;1,742715
0,348300;10,036235;1,743862
0,393981;9,425375;1,743862
0,444217;9,978967;1,738128
0,506621;11,358173;1,740995
0,583774;15,748728;1,736408
0,677970;18,258980;1,742715
0,787792;22,969281;1,742142
0,908871;24,673007;1,740995
1,036311;25,799279;1,743288
1,165792;26,605805;1,744435
1,296523;26,811016;1,742715
1,429447;27,059178;1,742142
1,566557;28,109093;1,743862
1,709944;29,034927;1,743862
1,861987;31,569041;1,743288
2,022469;32,824166;1,742715
2,189717;33,897943;1,742715
2,361352;35,315329;1,740995
2,535317;35,725750;1,741568
2,710159;35,888010;1,737555
2,887464;36,446374;1,743862
3,069917;37,128819;1,742142
3,259119;39,152292;1,741568
3,458464;40,646035;1,740995
3,668996;42,411801;1,742142
3,889637;45,466100;1,738128
4,118951;46,850079;1,743288
4,351877;47,732962;1,736981
4,585866;48,100432;1,742142
4,819348;48,195879;1,734115
5,050704;47,618426;1,742715
5,283917;47,933400;1,738128
5,519053;48,109977;1,742142
5,760906;49,837565;1,737555
6,011567;51,092691;1,742142
6,271864;52,495759;1,736981
6,540682;55,254173;1,740995
6,816150;56,199096;1,735261
7,096039;57,654661;1,742142
7,378357;58,026903;1,741568
7,660862;58,141439;1,740995
7,943602;58,213025;1,735261
8,227710;58,370512;1,743288
8,515091;58,661625;1,736981
8,806624;59,897661;1,743288
9,104349;60,823495;1,735835
9,408082;62,632213;1,743862
9,717486;63,538958;1,740995
10,030517;64,025737;1,743862
10,347142;65,204505;1,743862
10,666519;65,519480;1,739848
10,987194;65,886950;1,743288
11,310131;66,368957;1,741568
11,636544;66,874825;1,742715
11,967193;68,087000;1,742715
12,302432;68,788534;1,742142
12,643121;69,623694;1,742142
12,988873;71,179477;1,743862
13,338169;71,647167;1,742142
13,691025;72,205531;1,739848
14,047037;73,226812;1,739275
14,404365;73,341348;1,745582
14,763904;74,033337;1,738128
15,125518;74,348312;1,745009
15,488837;74,505799;1,735835
15,856071;75,627300;1,740422
16,228029;76,338378;1,738702
16,604359;76,853791;1,741568
16,985987;78,447754;1,738128
17,371513;79,149288;1,742142
17,760077;80,013082;1,739275
18,152184;80,571446;1,742715
18,545844;80,900737;1,739275
18,941327;81,311159;1,738702
19,338936;81,759759;1,736981
19,736865;81,826571;1,742715
20,137241;82,327667;1,738128
20,540587;82,771495;1,740995
20,947157;83,745053;1,732395
21,358299;84,413181;1,742142
21,773188;85,095626;1,742715
22,192515;86,341207;1,743862
22,616550;87,042741;1,734688
23,043015;87,453162;1,741568
23,473159;88,412403;1,742142
23,905631;88,880093;1,739848
24,339555;89,242791;1,746155
24,774964;89,543448;1,742715
25,210609;89,510042;1,742142
25,649392;90,316567;1,742715
26,090961;90,736534;1,743862
26,536967;91,118321;1,743288
26,988947;92,965217;1,742715
27,445095;93,499719;1,738702
27,906255;94,964828;1,739848
28,369474;95,198673;1,739275
28,835443;95,561371;1,740422
29,302611;96,057695;1,735835
29,770757;96,172231;1,750169
30,236406;96,592197;0,766864
30,660981;88,006754;-1,654991
31,020924;77,918024;-1,643524
31,326919;61,577525;-1,653271
31,593561;55,593009;-1,635498
31,840324;51,942168;-1,653845
32,083037;49,885288;-1,625177
32,332837;50,944748;-1,653271
32,591379;52,376451;-1,628044
32,855946;54,428558;-1,653271
33,116293;54,146989;-1,634924
33,359715;49,460550;-1,654991
33,573487;44,998410;-1,652698
33,748532;39,376592;-1,652698
33,881001;26,782382;-1,649831
33,970286;20,306314;-1,653845
34,019814;14,207261;-1,653271
34,037432;3,779695;-1,652698
34,035559;0,443828;-1,653845
34,029551;-1,269443;-1,654991
34,023257;-1,321939;-1,653271
34,015882;-1,302849;-1,653271
34,001539;-3,049526;-1,653845
33,974404;-4,882106;-1,654991
33,931862;-7,196691;-1,653271
33,877946;-10,985931;-1,652698
33,815458;-12,455812;-1,654418
33,748954;-13,744344;-1,654418
33,683006;-13,653670;-1,653271
33,618172;-13,381646;-1,653845
33,550284;-14,021140;-1,655565
33,472693;-15,314445;-1,654418
33,378902;-17,538356;-1,653845
33,265991;-23,069500;-1,634351
33,131818;-26,224018;-1,653271
32,977682;-32,184673;-1,636071
32,807818;-34,589933;-1,652125
32,629112;-36,260253;-1,634351
32,450051;-36,847251;-1,654991
32,276492;-36,088448;-1,632631
32,111707;-34,828550;-1,652698
31,954956;-32,299209;-1,637218
31,800381;-31,740845;-1,653271
31,640811;-33,024605;-1,638364
31,469242;-34,823778;-1,653271
31,280580;-37,271989;-1,632057
31,072393;-43,032205;-1,652698
30,845779;-45,833570;-1,640084
30,605074;-48,205424;-1,653271
30,356859;-51,068829;-1,652125
30,107396;-51,336080;-1,653271
29,865274;-49,317380;-0,980152
29,674198;-41,476422;1,740995
29,551804;-30,299598;1,740995
29,476912;-14,942202;1,742142
29,428785;-10,647094;1,741568
29,389416;-8,594987;1,742715
29,343954;-9,177213;1,742142
29,286579;-11,162507;1,743862
29,218792;-14,231123;1,740995
29,146939;-14,736991;1,741568
29,076857;-14,822893;1,742142
29,016917;-12,241057;1,742142
28,978357;-9,072222;1,740422
28,963288;-5,540689;1,742715
28,971506;1,536694;1,742715
29,000430;4,567131;1,740995
29,054447;11,835408;1,743288
29,130351;15,051966;1,742142
29,225036;18,015590;1,741568
29,334724;22,697257;1,742715
29,455549;24,424845;1,741568
29,582499;25,608386;1,742715
29,711711;26,634439;1,743288
29,841666;26,682163;1,742715
29,969578;26,233563;1,741568
30,074794;22,888151;0,262884
30,122904;15,218998;-1,654991
30,119074;-1,269443;-1,639511
30,090066;-5,426153;-1,654991
30,060450;-6,671734;-1,633778
30,048334;-2,715462;-1,320725
30,059809;1,107183;-1,175093
30,083822;5,197080;-1,445717
30,112037;5,784078;-1,627471
30,137434;5,640908;-1,653845
30,150984;2,658194;-1,628044
30,147829;0,062040;-1,654418
30,131291;-2,142781;-1,624030
30,101473;-5,970200;-1,654991
30,053683;-8,528175;-1,628617
29,991009;-13,014176;-0,945750
29,934090;-12,050163;-0,137319
29,900357;-9,535139;1,242175
29,898602;0,019089;1,539174
29,912237;2,615243;1,376914
29,919240;2,624788;1,212361
29,911714;-1,317166;1,229562
29,898484;-2,543658;1,417049
29,887886;-1,947115;1,593643
29,887954;-0,209983;1,721501
29,898197;1,216947;1,649258
29,920404;4,662578;1,478398
29,951218;6,170638;1,187707
29,980732;6,495157;0,399916
30,004509;4,958463;0,032968
30,018060;3,588801;-0,530641
30,019444;0,023862;-0,628685
30,016423;-0,639494;-0,637858
30,017064;-0,353153;-0,574216
30,020237;0,677673;-0,604030
30,023426;0,668128;-0,663659
30,024945;0,520185;-0,720422
30,024304;-0,214755;-0,729022
30,023241;-0,090674;-0,719275
30,020220;-0,696762;-0,688887
30,015816;-0,801753;-0,651046
30,007834;-1,274215;-0,583963
29,995329;-2,581837;-0,397622
29,979804;-3,087705;-0,152799
29,962642;-3,397907;0,022647
29,946594;-3,331095;0,434317
29,936689;-2,591382;0,739342
29,935744;0,076357;0,880388
29,938241;0,496324;0,851720
29,939777;0,491551;0,812732
29,939777;0,000000;0,801265
29,941599;0,176577;0,796105
29,948332;0,892428;0,734756
29,960145;2,395716;0,640152
29,976531;3,068616;0,284098
29,996139;4,118531;0,062209
30,014786;3,999222;-0,227336
30,024641;2,882494;-0,648752
30,025029;-0,042951;-0,744502
30,021705;-0,730168;-0,712395
30,021604;-0,472462;-0,665379
30,022397;0,224300;-0,675126
30,021283;-0,224300;-0,675700
30,020659;-0,109764;-0,664233
30,018364;-0,348381;-0,635565
30,011546;-1,006964;-0,574216
29,999616;-2,500707;-0,468718
29,984377;-3,044754;-0,222749
29,968380;-3,273826;0,010034
29,953614;-3,097250;0,322513
29,944114;-2,371854;0,522614
29,940874;-0,510641;0,750809
29,941684;0,229072;0,785211
29,941144;-0,152715;0,776610
29,940452;-0,181349;0,777184
29,940334;-0,047723;0,789224
29,940334;0,000000;0,794385
29,941515;0,229072;0,791518
29,945025;0,567909;0,743356
29,951944;1,484198;0,680287
29,961917;1,937571;0,589696
29,975619;2,500707;0,312192
29,992022;3,374046;0,092597
30,008559;3,569712;-0,249123
30,019477;2,987486;-0,524334
30,021604;0,629949;-0,650472
30,006636;-1,956660;-1,634351
29,979416;-5,827029;-1,653845
29,947573;-6,480840;-1,629191
29,917350;-6,604921;-1,653271
29,893539;-4,858244;-1,646964
29,872260;-4,318969;-1,654991
29,846036;-4,629171;-1,653845
29,809755;-7,401902;-1,653845
29,759619;-9,277432;-1,624604
29,692389;-14,331342;-1,654418
29,608031;-16,875000;-1,646391
29,508874;-19,242082;-1,653271
29,398899;-22,706802;-1,652698
29,283491;-23,561051;-1,654991
29,165805;-24,047830;-1,654418
29,046296;-24,558471;-1,656138
28,924459;-24,811405;-1,653845
28,796934;-26,395822;-1,652698
28,660432;-27,789346;-1,653271
28,513114;-29,326040;-1,643524
28,353999;-32,848028;-1,654418
28,184507;-34,427673;-1,649258
28,007083;-35,725750;-1,653271
27,824985;-37,434249;-1,640084
27,640052;-37,892393;-1,654991
27,453026;-38,550977;-1,636071
27,263284;-38,923219;-1,653271
27,068158;-39,624753;-1,653271
26,865034;-41,910705;-1,654991
26,652274;-43,261278;-1,638938
26,430064;-44,783655;-1,654418
26,199990;-47,293907;-1,632631
25,965309;-48,052709;-1,653845
25,727794;-48,868779;-1,628617
25,490042;-48,911731;-1,654991
25,252594;-48,830601;-1,627471
25,014336;-48,988088;-1,652698
24,773074;-49,393737;-1,634924
24,525501;-50,166856;-1,654991
24,269878;-52,467125;-1,629191
24,005902;-53,750885;-1,653271
23,733726;-56,180007;-1,622310
23,454276;-57,311052;-1,654418
23,170236;-58,127122;-1,653845
22,883428;-58,995689;-1,652698
22,595186;-59,229533;-1,625750
22,304582;-59,482467;-1,654418
22,011514;-60,260359;-1,637791
21,714514;-60,780544;-1,652698
21,412181;-62,360190;-1,652125
21,103048;-63,438739;-1,654991
20,786878;-64,350256;-1,651551
20,464380;-66,359412;-1,654991
20,135436;-67,399782;-1,653845
19,801614;-68,215853;-1,654418
19,463794;-69,428028;-1,652125
19,122615;-69,943441;-1,648111
18,778179;-70,945632;-1,654991
18,430200;-71,480135;-1,640658
18,077327;-72,086222;-1,653845
17,719476;-73,646778;-1,653271
17,356612;-74,376946;-1,653271
16,989092;-75,116659;-1,636071
16,617690;-76,357468;-1,642951
16,243234;-76,806068;-1,652125
15,864964;-77,932341;-1,654418
15,482947;-78,466843;-1,635498
15,098046;-78,944077;-1,653845
14,708554;-80,094211;-1,629764
14,315332;-80,690754;-1,661298
13,917808;-81,301614;-1,640084
13,515221;-82,766723;-1,654418
13,109074;-83,296453;-1,628617
12,698707;-84,542034;-1,648111
12,285911;-84,871326;-1,632057
11,871039;-85,176755;-1,655565
11,452354;-86,155085;-1,636071
11,029702;-86,708677;-1,672192
10,601634;-87,443618;-1,626897
10,168031;-89,171205;-1,652698
9,729433;-89,839333;-1,631484
9,284574;-91,676685;-1,648685
8,834906;-92,378219;-1,590776
8,381340;-92,955672;-1,638938
7,924702;-94,005588;-1,640084
7,465399;-94,234660;-1,650978
7,001707;-94,907560;-1,654991
6,534675;-96,043378;-1,682513
6,063154;-96,706733;-1,472664
5,586519;-98,176614;-1,682513
5,105835;-98,859059;-1,237588
4,621354;-99,183578;-1,682513
4,134274;-100,209632;-1,374621
3,643886;-100,548468;-1,682513
3,151086;-101,350222;-1,405582
2,654944;-101,970626;-1,682513
2,157283;-102,409681;-1,292057
1,656754;-103,163711;-1,617723
1,154571;-103,359377;-1,137251
0,651274;-103,111216;-1,450877
0,144754;-104,180220;-1,016273
-0,360855;-104,075229;0,655059
-0,820074;-101,426579;1,739848
-1,216080;-81,931563;1,742715
-1,560364;-73,909257;1,742142
-1,865329;-61,854321;1,739275
-2,149318;-58,776161;1,740995
-2,428886;-57,354003;1,737555
-2,714242;-58,819112;1,742142
-3,008070;-60,050376;1,735261
-3,305829;-61,105064;1,742142
-3,598307;-60,279449;1,738702
-3,871918;-57,912367;1,741568
-4,115121;-49,002405;1,734688
-4,318802;-43,094246;1,740995
-4,478844;-36,618178;1,736408
-4,595366;-23,551506;1,740995
-4,671962;-17,485860;1,736981
-4,715432;-11,992895;1,741568
-4,737116;-4,629171;1,741568
-4,742246;-1,908937;1,742715
-4,740862;0,391332;1,737555
-4,739732;0,219528;1,742715
-4,738196;0,248162;1,741568
-4,734146;0,806526;1,740995
-4,721929;2,042562;1,741568
-4,698877;3,646069;1,742142
-4,663963;7,024887;1,741568
-4,614148;9,349017;1,739848
-4,553837;12,656250;1,742715
-4,484413;14,087953;1,743288
-4,406569;15,238087;1,741568
-4,319257;18,039452;1,740422
-4,219459;19,848169;1,742142
-4,103814;22,091170;1,738702
-3,971312;27,159397;1,741568
-3,823132;29,512161;1,740995
-3,663546;33,091418;1,743288
-3,496534;34,227235;1,743288
-3,328931;34,666290;1,742715
-3,166256;33,349124;1,737555
-3,008340;32,666679;1,742715
-2,853191;32,122632;1,739275
-2,697081;32,070137;1,740995
-2,533039;33,034150;1,738702
-2,355261;36,995193;1,742142
-2,161232;39,452949;1,735835
-1,950075;41,987063;1,742715
-1,723629;46,730770;1,736981
-1,486654;48,324732;1,740422
-1,244362;49,446233;1,737555
-1,003134;49,622809;1,743288
-0,765450;49,102624;1,738128
-0,531124;48,124294;1,740422
-0,298451;47,785458;1,735261
-0,062910;48,181562;1,743288
0,164734;46,683047;0,027234
0,341837;39,314551;-1,653845
0,465244;30,485719;-1,635498
0,550277;17,700616;-1,652698
0,612208;13,815929;-1,629191
0,667997;11,534750;-1,654418
0,731379;12,751697;-1,647538
0,807739;14,474513;-1,653271
0,895759;18,196939;-1,654418
0,988757;18,998692;-1,654991
1,076895;19,103684;-1,648685
1,145677;14,431561;-1,652698
1,187477;10,518241;-1,653845
1,196032;0,839932;-1,654418
1,174112;-3,741516;-1,652698
1,127436;-7,683470;-1,653845
1,059446;-14,197717;-1,653845
0,974953;-16,693651;-1,653845
0,877365;-18,845978;-1,652125
0,769871;-22,029129;-1,654418
0,654514;-23,289028;-1,653845
0,533554;-25,045249;-1,639511
0,408122;-25,722922;-1,652698
0,280834;-26,114254;-1,631484
0,153225;-26,257424;-1,655565
0,027051;-26,056986;-1,549494
-0,088678;-25,617930;0,034115
-0,157005;-14,665406;1,470944
-0,168429;-5,492965;1,741568
-0,149327;4,433505;1,741568
-0,127204;4,848699;1,743288
-0,122884;2,748869;1,737555
-0,136384;-2,925445;1,742142
-0,164126;-5,030048;1,737555
-0,203934;-7,015342;1,741568
-0,247506;-9,048360;1,734688
-0,282521;-7,926860;1,742715
-0,302721;-3,693793;1,736981
-0,301489;-0,434283;1,741568
-0,277695;3,097250;1,735261
-0,227391;10,537331;1,741568
-0,148483;15,114006;1,735835
-0,045512;18,721897;1,741568
0,062809;22,539770;0,362647
0,133110;17,862875;-1,652125
0,152297;2,677284;-1,653845
0,139117;-2,223911;-1,654991
0,117112;-4,318969;-1,653271
0,101098;-3,254737;-1,650978
0,098044;-1,274215;-1,652125
0,101115;0,462917;-1,654418
0,101824;0,295885;-1,652698
0,100271;-0,262479;-1,653271
0,093285;-1,632141;-1,654418
0,076967;-2,973169;-1,653845
0,047166;-5,006186;-1,431956
0,006514;-8,385004;-0,979005
-0,034594;-8,790653;-0,038128
-0,061307;-7,373268;0,567909
-0,066116;-1,221719;0,848853
-0,057763;1,326711;0,875228
-0,050541;1,312394;0,716981
-0,053831;-0,396104;0,654486
-0,064361;-1,694181;0,765717
-0,078047;-2,834771;0,924536
-0,089741;-2,677284;1,098263
-0,093116;-1,670320;1,368314
-0,088746;0,863794;1,384367
-0,078097;1,803945;1,328179
-0,060210;3,879914;1,046661
-0,036197;4,839155;0,806998
-0,011677;5,197080;0,181467
0,005805;3,555395;-0,097757
0,008944;1,388751;-0,460118
0,004202;-0,567909;-0,415970
0,002194;-0,434283;-0,356341
0,005839;0,443828;-0,344300
0,010564;0,973558;-0,414823
0,012977;0,582226;-0,481905
0,011222;-0,124081;-0,507707
0,007239;-0,878111;-0,477892
0,000675;-1,226492;-0,423997
-0,008421;-1,608279;-0,246830
-0,017567;-1,918481;-0,128145
-0,025245;-1,675092;-0,007167
-0,030898;-1,092866;0,223322
-0,033294;-0,567909;0,327099
-0,033446;-0,152715;0,335126
-0,033446;0,000000;0,335700
-0,033514;0,000000;0,336273
-0,033699;-0,038179;0,336847
-0,033176;0,152715;0,339140
-0,031691;0,128853;0,327673
-0,027861;0,839932;0,290978
-0,022123;1,097639;0,237083
-0,014664;1,422158;0,100050
-0,006345;1,765766;-0,045582
-0,000793;1,312394;-0,159106
0,000861;0,706307;-0,293271
0,001097;0,033406;-0,297285
0,001114;0,000000;-0,308179
0,002346;0,329292;-0,300725
0,003696;0,276796;-0,331113
0,003004;0,133626;-0,348314
0,001856;-0,286341;-0,343154
-0,001687;-0,629949;-0,275498
-0,006446;-0,835160;-0,233643
-0,012926;-1,336256;-0,160253
-0,020604;-1,541466;-0,059916
-0,029109;-1,784856;0,040995
-0,037108;-1,741905;0,260017
-0,042289;-1,317166;0,456678
-0,044651;-0,415194;0,502547
-0,045326;-0,238617;0,530641
-0,045799;-0,033406;0,547268
-0,045866;-0,004772;0,553002
-0,045056;0,000000;0,553002
-0,043588;0,415194;0,539241
-0,039420;0,792209;0,484199
-0,032653;1,116728;0,395329
-0,022410;2,114147;0,290405
-0,011306;2,295496;0,084570
-0,001957;2,247773;-0,148212
0,001097;0,658583;-0,264030
-0,000877;-0,243389;-0,296712
-0,000776;0,085902;-0,270911
0,001654;0,458145;-0,276071
0,004067;0,558364;-0,339713
0,005366;0,238617;-0,366661
0,004624;0,042951;-0,384435
0,004320;-0,224300;-0,364367
0,002447;-0,343609;-0,366088
-0,000405;-0,596543;-0,313912
-0,004320;-0,839932;-0,265177
-0,009315;-0,992647;-0,203828
-0,014732;-1,107183;-0,083423
-0,019997;-1,073777;-0,003727
-0,024806;-1,002192;0,031821
-0,029194;-1,006964;0,192934
-0,031506;-0,505868;0,266324
-0,032366;-0,238617;0,315633
-0,032366;0,000000;0,316206
-0,032366;0,000000;0,321939
-0,032366;0,000000;0,315059
-0,031556;0,229072;0,326526
-0,030021;0,238617;0,288111
-0,027405;0,396104;0,270911
-0,024114;0,701534;0,206695
-0,020604;0,725396;0,122985
-0,017432;0,634721;0,083423
-0,014563;0,591770;0,036408
-0,012454;0,524958;-0,046729
-0,011863;0,152715;-0,061636
-0,011863;0,000000;-0,082277
-0,011863;0,000000;-0,070809
-0,011863;0,000000;-0,081130
-0,011863;0,000000;-0,069089
-0,012656;-0,224300;-0,082277
-0,012656;0,000000;-0,058769
-0,012960;0,000000;-0,066796
-0,013804;-0,209983;-0,062209
-0,014766;-0,171804;-0,040422
-0,015559;-0,209983;-0,024367
-0,015626;0,000000;-0,015194
-0,015626;0,000000;-0,016914
-0,015626;0,000000;-0,016341
-0,015778;-0,033406;-0,015194
-0,015930;-0,028634;-0,010607
-0,015356;0,167032;-0,010607
-0,015356;0,000000;-0,019207
-0,015086;0,000000;-0,018634
-0,014479;0,052496;-0,020354
-0,013483;0,276796;-0,028954
-0,012943;0,109764;-0,054182
-0,012943;0,000000;-0,062209
-0,012943;0,000000;-0,061636
-0,012943;0,000000;-0,063929
-0,013736;0,000000;-0,051315
-0,013736;-0,224300;-0,047875
-0,014411;-0,090674;-0,031821
-0,015187;-0,133626;-0,030101
-0,016166;-0,224300;-0,009460
-0,016706;-0,124081;-0,004300
-0,016706;-0,028634;0,010607
-0,016858;-0,033406;0,003727
-0,018681;-0,367470;0,012327
-0,020503;-0,362698;0,029528
