Position - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL03_256.CRB;VL03_256.CRB;CL03_256.CRB
4.862000;4.862000;4.862000
deg.;deg./s;A
-0,001046;0,000000;0,055329
-0,001046;0,000000;0,053609
-0,001046;0,000000;0,055329
-0,001046;0,000000;0,053036
-0,001046;0,000000;0,055329
-0,001046;0,000000;0,053036
-0,001046;0,000000;0,055902
-0,001046;0,000000;0,053036
0,003021;0,000000;0,933710
0,033277;6,996253;1,733541
0,088324;10,823671;1,731821
0,154828;13,119167;1,730674
0,223779;14,231123;1,733541
0,289102;13,601174;1,732395
0,350477;13,018948;1,731821
0,412695;12,794648;1,729528
0,482085;13,491410;1,731821
0,565380;17,581307;1,732395
0,666647;20,272908;1,731248
0,785902;23,102906;1,732968
0,920076;27,722533;1,732395
1,063614;29,197187;1,733541
1,212300;30,132566;1,731821
1,364141;31,211115;1,732395
1,519189;31,645398;1,731248
1,679721;33,210726;1,732395
1,849213;34,551754;1,732395
2,029860;36,179123;1,731248
2,220379;39,309779;1,731821
2,419757;40,631718;1,731821
2,624467;41,734129;1,730674
2,830207;42,292493;1,724941
3,038141;42,612239;1,732395
3,247948;43,218327;1,723221
3,462412;43,833959;1,732395
3,687660;45,365881;1,724367
3,925479;49,073990;1,732395
4,177896;51,202455;1,722647
4,441939;53,287968;1,731248
4,714639;56,012975;1,723794
4,991237;56,724054;1,732968
5,268645;57,067663;1,719781
5,543876;56,666786;1,731248
5,818567;56,409079;1,722074
6,096465;57,215605;1,731821
6,381129;58,136667;1,720354
6,674164;59,344070;1,731821
6,978774;62,574945;1,723221
7,293797;64,154590;1,731821
7,616784;66,602801;1,722074
7,944952;67,366376;1,731821
8,276479;67,953374;1,724367
8,610081;68,621502;1,732395
8,945117;68,817168;1,723221
9,283275;69,170321;1,731821
9,626310;70,501805;1,729528
9,973361;71,084030;1,731821
10,326352;72,744805;1,730674
10,684693;73,575193;1,731248
11,047084;74,214686;1,733541
11,414166;75,527080;1,731821
11,785247;76,114078;1,731821
12,158572;76,576996;1,732968
12,536370;77,646000;1,731248
12,920124;78,505022;1,731821
13,309532;80,294650;1,731821
13,705926;81,344565;1,731821
14,108310;82,365846;1,731821
14,513749;83,458712;1,725514
14,922124;83,883451;1,732395
15,331140;84,107751;1,730674
15,741675;84,441815;1,727808
16,155247;84,876098;1,725514
16,572009;85,825794;1,732968
16,995116;86,785035;1,728381
17,424990;87,939941;1,732395
17,861597;89,882284;1,727234
18,305156;90,994240;1,732395
18,752124;91,609872;1,727234
19,202957;92,760006;1,734688
19,655308;92,984306;1,726661
20,109060;93,423362;1,734115
20,565107;93,771743;1,726661
21,023668;93,986498;1,728381
21,487258;95,432518;1,728381
21,954763;95,914524;1,731248
22,427989;96,701961;1,726661
22,906378;98,338874;1,733541
23,389729;99,064270;1,720354
23,877079;100,271672;1,727234
24,365745;100,486428;1,703154
24,857820;100,930255;1,729528
25,350519;101,374083;1,614857
25,848366;102,123341;1,649831
26,348237;102,710339;1,517960
26,852293;103,683897;1,793744
27,358560;104,089546;1,445717
27,868641;105,129916;1,654418
28,380797;105,392395;1,379207
28,894387;105,287403;1,662445
29,408957;105,840995;1,460050
29,923644;105,745548;0,808145
30,422773;105,335127;0,047302
30,884642;95,465924;-1,169359
31,296409;88,278778;-1,657858
31,654446;72,267571;-1,655565
31,971982;66,230559;-1,653271
32,264072;61,758874;-1,640658
32,540602;56,743143;-1,654991
32,808459;55,368709;-1,641804
33,067288;54,361745;-1,654991
33,310271;50,228897;-1,641231
33,527689;46,687819;-1,654418
33,708808;36,160033;-1,644098
33,849225;30,118249;-1,654991
33,946627;23,608775;-1,633204
34,003226;11,243637;-1,655565
34,023493;5,593185;-1,634351
34,020219;1,369662;-1,654418
34,007816;-2,534113;-1,635498
33,989777;-3,354956;-1,654991
33,963570;-5,659997;-1,648111
33,925804;-7,411447;-1,654991
33,872782;-9,496960;-1,641804
33,801452;-14,875389;-1,653845
33,713314;-17,395186;-1,650978
33,613836;-19,409114;-1,656138
33,508080;-21,738017;-1,632057
33,400620;-22,043447;-1,654418
33,294527;-21,800057;-1,629191
33,187354;-21,928910;-1,656138
33,071996;-22,773615;-1,654418
32,941181;-27,063950;-1,653271
32,789087;-30,208923;-1,655565
32,613975;-33,635465;-1,655565
32,417347;-40,245158;-1,654991
32,203254;-43,056067;-1,656712
31,979542;-46,162862;-1,654991
31,754683;-46,296487;-1,654418
31,534076;-45,843115;-1,654991
31,319612;-44,091665;-1,653845
31,105603;-43,891227;-1,654991
30,887207;-44,306421;-1,656138
30,660171;-46,582828;-1,472091
30,426739;-47,775913;-1,167639
30,192885;-48,052709;-0,582243
29,965005;-47,141192;-0,194654
29,749714;-45,494734;0,025514
29,553424;-40,202207;0,557015
29,380573;-36,713625;0,802412
29,233474;-32,943475;1,234722
29,111839;-25,245688;1,415902
29,011905;-21,823919;1,657285
28,930213;-16,383449;1,731821
28,864012;-14,002051;1,726088
28,812611;-12,011984;1,732968
28,780245;-6,509474;1,723794
28,766154;-3,784467;1,731821
28,770677;-0,839932;1,724367
28,790994;3,999222;1,731821
28,831410;6,838766;1,727808
28,894269;13,477093;1,732395
28,974122;16,030296;1,731248
29,066631;18,044224;1,731821
29,167104;20,721508;1,643524
29,271561;21,351457;1,527707
29,376236;21,590074;1,253643
29,479157;21,227376;1,126357
29,579782;20,821727;0,862040
29,679159;20,420850;0,739916
29,777541;20,306314;0,484199
29,873711;19,957933;0,358061
29,966237;18,979603;0,242243
30,052012;18,006045;0,112091
30,129047;16,774781;-0,094317
30,195129;13,682304;-0,192934
30,250007;12,026301;-0,351754
30,292481;8,418411;-0,414250
30,327345;7,330317;-0,466425
30,356016;6,471295;-0,552428
30,378476;4,576676;-0,584536
30,397224;4,003995;-0,637858
30,412125;3,521988;-0,660793
30,420917;1,885075;-0,677420
30,420681;0,610860;-0,691754
30,413104;-1,732360;-0,686020
30,399637;-2,557975;-0,677993
30,378156;-3,722427;-0,632698
30,347899;-6,285174;-0,607471
30,309272;-7,683470;-0,517453
30,269447;-8,227517;-0,471012
30,230128;-8,117753;-0,383288
30,193914;-7,788462;-0,320219
30,163674;-6,070419;-0,269764
30,136354;-5,636136;-0,241096
30,111277;-5,450014;-0,178600
30,089644;-4,438278;-0,141905
30,069259;-4,156710;-0,111518
30,046832;-4,285563;-0,061636
30,021705;-5,206625;-0,027234
29,998114;-4,987097;0,016341
29,977543;-4,180571;0,027234
29,958272;-3,965816;0,077116
29,939557;-3,932410;0,133305
29,923881;-3,197469;0,161400
29,914279;-2,238228;0,188347
