Position - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL04_256.CRB;VL04_256.CRB;CL04_256.CRB
4.862000;4.862000;4.862000
deg.;deg./s;A
30,251694;13,047582;-0,386155
30,306859;12,140837;-0,469865
30,355104;10,036235;-0,567336
30,393900;8,552036;-0,653339
30,424157;6,017923;-0,687740
30,444373;4,505091;-0,735902
30,452389;2,639105;-0,766290
30,450735;-0,472462;-0,785211
30,444643;-1,111956;-0,780050
30,436341;-1,484198;-0,766864
30,425642;-2,180960;-0,737049
30,412834;-2,486390;-0,740489
30,397579;-3,216558;-0,688314
30,378071;-3,908548;-0,690034
30,353400;-4,605310;-0,618938
30,322114;-6,466523;-0,601164
30,287722;-7,015342;-0,562749
30,252268;-7,182374;-0,474452
30,213996;-7,893453;-0,428010
30,176246;-7,826640;-0,328819
30,138075;-7,902998;-0,282951
30,098436;-8,189338;-0,233643
30,059674;-7,984128;-0,131585
30,019494;-8,308647;-0,081703
29,981205;-7,988900;-0,031248
29,945244;-7,559389;0,030674
29,911039;-7,082155;0,082850
29,883448;-6,146776;0,197521
29,861443;-4,404871;0,228482
29,842594;-3,922865;0,261164
29,827777;-3,507671;0,304165
29,819171;-1,684637;0,325379
29,815779;-0,897200;0,334553
29,815594;-0,295885;0,343153
29,815594;0,000000;0,337993
29,815594;0,000000;0,342580
29,816961;0,157487;0,336273
29,819981;0,577453;0,336847
29,824757;0,773119;0,326526
29,832452;1,622596;0,324806
29,844332;2,305041;0,309899
29,858524;2,739324;0,286391
29,874589;3,235648;0,259443
29,894214;3,779695;0,235936
29,918244;5,053910;0,188921
29,944637;5,421380;0,134452
29,967789;5,187535;0,099477
29,986757;3,822646;0,080557
30,002940;3,450403;0,055329
30,016592;3,078160;0,028954
30,026852;2,176188;-0,024941
30,032944;1,536694;-0,037555
30,034277;0,167032;-0,049595
30,033484;-0,224300;-0,049595
30,032674;-0,200438;-0,048449
30,032674;0,000000;-0,047302
30,032640;0,000000;-0,046729
30,031543;-0,028634;-0,047875
30,030092;-0,314975;-0,045582
30,028843;-0,252934;-0,042142
30,027493;-0,276796;-0,039848
30,025603;-0,367470;-0,039275
30,023325;-0,424738;-0,035261
30,020794;-0,548819;-0,030101
30,018262;-0,524958;-0,024367
30,015495;-0,515413;-0,020927
30,013082;-0,558364;-0,019207
30,010871;-0,453372;-0,010607
30,009454;-0,248162;-0,005447
30,008914;-0,152715;-0,008314
30,008914;0,000000;0,001433
30,008914;0,000000;-0,005447
30,010044;0,229072;-0,005447
30,011226;0,152715;-0,008887
30,013436;0,443828;-0,004874
30,011496;0,515413;-1,682513
29,983399;-6,538108;-1,641804
29,934731;-9,582862;-1,653845
29,878234;-11,391580;-1,636071
29,823154;-11,362946;-1,653845
29,774942;-10,279624;-1,633204
29,731877;-9,181986;-1,654418
29,689993;-8,590215;-1,626324
29,643199;-9,096083;-1,653845
29,585638;-12,174244;-1,634924
29,514189;-14,254985;-1,652698
29,426794;-16,617294;-1,630337
29,325189;-21,031710;-1,654418
29,212380;-22,754525;-1,624604
29,091842;-24,047830;-1,652698
28,966832;-25,699060;-1,625750
28,839054;-26,037897;-1,654991
28,706940;-27,326429;-1,628044
28,568244;-28,252263;-1,653845
28,420706;-29,593291;-1,652698
28,263212;-32,533054;-1,654991
28,095407;-34,017252;-1,653845
27,919114;-35,448954;-1,652125
27,737454;-37,353119;-1,655565
27,553179;-37,777857;-1,654418
27,368280;-38,088059;-1,651551
27,183229;-38,059425;-1,654418
26,995072;-38,293270;-1,653845
26,800470;-40,059037;-1,651551
26,596552;-41,476422;-1,653271
26,381447;-43,027433;-1,653845
26,154799;-46,554194;-1,654991
25,918869;-47,962034;-1,654418
25,675616;-50,185946;-1,652698
25,429697;-50,605912;-1,654418
25,183558;-50,625001;-1,655565
24,939394;-50,224124;-1,638938
24,696259;-49,956873;-1,652698
24,451132;-50,166856;-1,634351
24,202192;-51,092691;-1,654418
23,946418;-52,123516;-1,645244
23,682189;-54,605134;-1,653271
23,407852;-56,175235;-1,636071
23,124757;-57,511490;-1,652698
22,834524;-59,716312;-1,632631
22,539718;-60,413074;-1,652698
22,241554;-61,076430;-1,626897
21,942006;-61,615704;-1,655565
21,641074;-61,825687;-1,632057
21,337881;-62,469953;-1,654991
21,031059;-63,009228;-1,632631
20,719952;-63,562820;-1,653271
20,403546;-65,104286;-1,626897
20,080980;-66,063527;-1,654418
19,752677;-66,922548;-1,626897
19,419514;-68,492649;-1,651551
19,081592;-69,184638;-1,643524
18,740194;-70,330000;-1,653271
18,394864;-70,888364;-1,653845
18,044623;-71,561264;-1,652698
17,689354;-73,097958;-1,645244
17,329427;-73,832899;-1,653845
16,964539;-74,515344;-1,654418
16,596276;-75,717974;-1,647538
16,225161;-76,142712;-1,654991
15,851025;-77,044685;-1,639511
15,474426;-77,340570;-1,642378
15,095869;-77,765309;-1,652698
14,713296;-78,695915;-1,655565
14,327567;-79,139743;-1,641231
13,937434;-79,788782;-1,651551
13,541445;-81,420922;-1,653271
13,140799;-82,060416;-1,657285
12,735191;-83,568476;-1,636644
12,324859;-84,298645;-1,651551
11,911033;-84,852236;-1,656712
11,493394;-85,968964;-1,652698
11,073189;-86,298256;-1,642951
10,649947;-86,703905;-1,651551
10,222672;-87,834950;-1,632057
9,792006;-88,412403;-1,653271
9,356934;-89,629350;-1,640084
8,917425;-90,321340;-1,594216
8,473376;-90,908338;-1,632057
8,024062;-92,397308;-1,657858
7,571070;-92,965217;-1,669899
7,113234;-93,638117;-1,657285
6,652834;-94,640309;-1,632631
6,188181;-95,284575;-1,682513
5,720422;-96,248588;-1,392395
5,248530;-96,911944;-1,682513
4,771963;-97,718469;-1,538600
4,290097;-99,193123;-1,682513
3,804840;-99,818300;-1,382074
3,316984;-99,980559;-1,585042
2,827305;-100,739362;-1,220388
2,335247;-101,016158;-1,384941
1,843357;-101,164100;-1,278870
1,348582;-101,698603;-1,368887
0,851901;-101,975398;-1,184267
0,350122;-103,302109;-1,528280
-0,150306;-103,397556;-0,676847
-0,626366;-101,149783;0,587403
-1,058788;-89,462318;1,187133
-1,438071;-81,502052;1,741568
-1,769276;-66,941638;1,740422
-2,067997;-62,116800;1,741568
-2,350434;-58,914559;1,741568
-2,631977;-57,869416;1,741568
-2,918312;-58,537544;1,740422
-3,210891;-59,697223;1,741568
-3,503486;-60,222180;1,742142
-3,785451;-59,124542;1,739275
-4,044313;-52,481442;1,741568
-4,270067;-47,480028;1,737555
-4,455270;-41,586186;1,742142
-4,598606;-29,125602;1,735835
-4,700126;-22,773615;1,740422
-4,764268;-16,812960;1,735835
-4,798389;-7,182374;1,742715
-4,814252;-4,156710;1,736981
-4,818926;-0,677673;1,740422
-4,818656;0,076357;1,736408
-4,818369;0,000000;1,742715
-4,815585;0,615632;1,735261
-4,807350;1,441247;1,742142
-4,791217;2,457756;1,734688
-4,763256;5,593185;1,740422
-4,720072;7,879136;1,731821
-4,665043;11,577701;1,741568
-4,599956;13,147801;1,737555
-4,526651;14,369521;1,739848
-4,445398;16,727058;1,738702
-4,354138;18,287614;1,743288
-4,249513;20,010429;1,740995
-4,128283;24,773226;1,741568
-3,990752;27,297795;1,733541
-3,838927;31,559496;1,743288
-3,677552;33,010288;1,738702
-3,511198;33,955211;1,741568
-3,346498;33,840675;1,742715
-3,187806;32,943475;1,742142
-3,032842;32,132177;1,739848
-2,878335;31,769479;1,739275
-2,719626;32,237168;1,743862
-2,550757;35,086256;1,742715
-2,366719;37,376981;1,740995
-2,166142;39,901549;1,742142
-1,950058;44,597534;1,741568
-1,720997;46,659185;1,742142
-1,485169;47,985896;1,740995
-1,246269;49,159892;1,738128
-1,010542;48,806739;1,741568
-0,778579;47,627971;1,674486
-0,553551;46,592372;1,381501
-0,341061;44,783655;0,813305
-0,140096;41,242577;0,546695
0,048094;39,314551;0,229629
0,224184;37,462883;0,038702
0,386117;33,477977;-0,403929
0,531799;30,962953;-0,811012
0,660707;26,037897;-0,976712
0,776064;24,052602;-1,301231
0,880807;22,377510;-1,422209
0,976641;19,590463;-1,568988
1,064441;18,449873;-1,629191
