Temps,Consigne,Mesure,I moteur,U moteur,position,accélération,vitesse,Mes. Num. Vit.,Mes. Vitesse,S. Action D.,S. Action I.,S. Action P.,Ecart
s,mm/s,mm/s,mA,V,mm,mm/s²,mm/s,inc,mm/s,mm/s,mm/s,mm/s,mm/s
0.960,149.938,105.062,120.117,22.211,103.007,2.703,105.062,796.000,105.062,0.000,502.081,45.008,45.008
0.970,149.938,105.062,117.676,22.211,104.033,2.703,105.062,796.000,105.062,-0.660,506.568,44.876,44.876
0.980,149.938,105.062,117.188,22.211,105.059,2.703,105.062,796.000,105.062,-0.264,511.056,44.876,44.876
0.990,0.000,105.194,117.676,22.211,106.086,0.000,105.062,796.000,105.062,-662.578,500.629,-105.062,-105.062
1.000,0.000,104.534,5.371,20.106,107.107,-8.110,104.534,792.000,104.534,-174.092,490.202,-105.062,-105.062
1.010,0.000,99.255,-237.793,14.876,108.059,-191.933,95.691,725.000,95.691,-43.424,479.775,-104.534,-104.534
1.020,0.000,90.016,-562.500,18.522,108.914,-405.492,85.264,646.000,85.264,27.585,470.140,-95.691,-95.691
1.030,0.000,81.700,-206.055,14.746,109.689,-564.985,76.949,583.000,76.949,53.191,461.693,-85.264,-85.264
1.040,0.000,73.385,-264.648,13.010,110.388,-540.656,69.821,529.000,69.821,50.683,454.037,-76.949,-76.949
1.050,0.000,65.862,-252.441,11.643,111.015,-646.084,62.562,474.000,62.562,44.744,447.042,-69.821,-69.821
1.060,0.000,58.470,-225.098,10.232,111.572,-651.490,55.567,421.000,55.567,43.820,440.839,-62.562,-62.562
1.070,0.000,52.267,-205.566,9.147,112.068,-592.018,49.231,373.000,49.231,42.368,435.295,-55.567,-55.567
1.080,0.000,46.328,-180.664,8.138,112.506,-535.249,43.556,330.000,43.556,39.068,430.411,-49.231,-49.231
1.090,0.000,40.652,-160.156,7.010,112.891,-505.513,38.144,289.000,38.144,35.241,426.056,-43.556,-43.556
1.100,0.000,35.637,-137.695,6.272,113.228,-470.371,33.261,252.000,33.261,33.129,422.228,-38.144,-38.144
1.110,0.000,31.017,-134.766,5.751,113.520,-429.821,28.905,219.000,28.905,30.225,418.929,-33.261,-33.261
1.120,0.000,26.793,-127.930,5.534,113.773,-386.569,24.946,189.000,24.946,27.057,416.025,-28.905,-28.905
1.130,0.000,23.230,-87.402,3.885,113.992,-348.723,21.646,164.000,21.646,24.550,413.649,-24.946,-24.946
1.140,0.000,20.062,-77.148,3.385,114.179,-318.987,18.214,138.000,18.214,20.986,411.405,-21.646,-21.646
1.150,0.000,16.630,-64.453,2.756,114.333,-291.954,15.047,114.000,15.047,20.590,409.689,-18.214,-18.214
1.160,0.000,13.463,-58.594,2.181,114.457,-281.141,11.879,90.000,11.879,19.402,408.106,-15.047,-15.047
1.170,0.000,10.691,-41.016,1.660,114.556,-245.998,9.503,72.000,9.503,19.006,406.918,-11.879,-11.879
1.180,0.000,8.315,-36.133,1.313,114.631,-232.482,7.127,54.000,7.127,15.443,405.994,-9.503,-9.503
1.190,0.000,6.071,-23.926,0.944,114.686,-202.746,5.148,39.000,5.148,14.519,405.334,-7.127,-7.127
1.200,0.000,4.224,-15.137,0.250,114.722,-194.636,3.168,24.000,3.168,12.539,404.806,-5.148,-5.148
1.210,0.000,2.244,-29.297,0.445,114.739,-170.307,1.188,9.000,1.188,12.011,404.410,-3.168,-3.168
1.220,0.000,0.264,-14.648,0.065,114.739,-156.790,-0.132,-1.000,-0.132,11.879,404.278,-1.188,-1.188
1.230,0.000,-0.264,7.324,-0.499,114.737,-110.834,-0.264,-2.000,-0.264,8.843,404.410,0.132,0.132
1.240,0.000,0.000,7.813,-0.119,114.737,-62.175,0.132,1.000,0.132,2.904,404.410,0.264,0.264
1.250,0.000,0.000,-21.484,0.000,114.737,-40.549,-0.132,-1.000,-0.132,-1.056,404.410,-0.132,-0.132
1.260,0.000,0.000,20.508,-0.412,114.737,-18.923,0.132,1.000,0.132,0.792,404.410,0.132,0.132
1.270,0.000,0.000,13.184,-0.076,114.737,-5.407,0.000,0.000,0.000,-1.056,404.410,-0.132,-0.132
1.280,0.000,0.000,-11.719,0.434,114.737,10.813,0.000,0.000,0.000,0.264,404.410,0.000,0.000
1.290,0.000,0.000,-14.160,0.109,114.736,-13.516,-0.264,-2.000,-0.264,0.000,404.410,0.000,0.000
