Temps,Ecart,I moteur,Mesure,vitesse,accélération,position,U moteur,Consigne,Sortie Reg.,S. Action P.
s,mm/s,mA,mm/s,mm/s,mm/s²,mm,V,mm/s,inc,mm/s
0.000,0.000,-17.578,0.000,0.000,0.000,23.837,0.477,0.000,0.000,0.000
0.010,0.000,20.020,0.000,0.000,0.000,23.837,-0.575,0.000,0.000,0.000
0.020,0.000,12.207,0.000,0.000,0.000,23.837,-0.260,0.000,0.000,0.000
0.030,0.000,-10.254,0.000,0.000,0.000,23.837,0.163,0.000,0.000,0.000
0.040,0.000,-12.695,0.000,0.000,0.000,23.837,0.109,0.000,0.000,0.000
0.050,0.000,4.883,-0.132,0.000,0.000,23.836,-0.022,0.000,0.000,0.000
0.060,0.000,27.344,0.132,0.000,0.000,23.837,-0.488,0.000,0.000,0.000
0.070,0.000,-1.465,0.000,0.000,0.000,23.837,0.412,0.000,0.000,0.000
0.080,0.000,-18.555,0.000,0.000,0.000,23.837,0.434,0.000,0.000,0.000
0.090,0.000,18.066,0.000,0.000,0.000,23.837,-0.575,0.000,0.000,0.000
0.100,99.915,28.809,0.000,1.188,24.330,23.843,0.770,99.915,757.000,99.915
0.110,98.727,150.391,9.767,20.590,421.711,23.991,5.849,99.915,748.000,98.727
0.120,79.325,203.613,29.829,32.073,656.897,24.293,9.538,99.915,601.000,79.325
0.130,67.842,297.363,34.185,36.297,719.072,24.637,10.135,99.915,514.000,67.842
0.140,63.618,291.504,38.012,39.596,413.602,25.016,10.677,99.915,482.000,63.618
0.150,60.318,280.762,41.312,43.160,624.457,25.429,11.372,99.915,457.000,60.318
0.160,56.755,264.648,44.480,46.064,435.228,25.871,12.077,99.915,430.000,56.755
0.170,53.851,252.930,47.516,48.703,273.031,26.340,12.413,99.915,408.000,53.851
0.180,51.211,241.699,50.023,51.343,235.185,26.835,12.695,99.915,388.000,51.211
0.190,48.571,230.469,52.399,53.587,227.075,27.353,13.487,99.915,368.000,48.571
0.200,46.328,226.563,54.511,55.831,205.449,27.892,13.520,99.915,351.000,46.328
0.210,44.084,218.262,56.755,57.811,186.526,28.451,14.138,99.915,334.000,44.084
0.220,42.104,205.566,58.866,59.526,175.713,29.029,14.507,99.915,319.000,42.104
0.230,40.388,199.219,60.582,61.242,156.790,29.624,14.985,99.915,306.000,40.388
0.240,38.672,190.918,62.034,62.826,148.680,30.233,15.299,99.915,293.000,38.672
0.250,37.089,188.477,63.618,64.410,140.570,30.858,15.473,99.915,281.000,37.089
0.260,35.505,188.965,64.938,65.598,124.351,31.496,15.636,99.915,269.000,35.505
0.270,34.317,183.594,65.994,66.522,110.834,32.143,15.592,99.915,260.000,34.317
0.280,33.393,174.316,67.050,67.578,97.318,32.800,16.016,99.915,253.000,33.393
0.290,32.337,167.969,68.370,68.766,97.318,33.470,16.178,99.915,245.000,32.337
0.300,31.149,167.969,69.425,69.689,89.208,34.149,16.395,99.915,236.000,31.149
0.310,30.225,161.621,70.217,70.613,81.098,34.837,16.439,99.915,229.000,30.225
0.320,29.301,158.203,71.141,71.537,78.395,35.533,16.688,99.915,222.000,29.301
0.330,28.377,156.738,72.065,72.329,78.395,36.238,16.873,99.915,215.000,28.377
0.340,27.585,156.250,72.857,73.253,72.989,36.952,16.949,99.915,209.000,27.585
0.350,26.661,150.391,73.517,73.913,67.582,37.671,17.068,99.915,202.000,26.661
0.360,26.002,147.461,74.177,74.573,64.879,38.398,17.502,99.915,197.000,26.002
0.370,25.342,140.137,74.969,75.101,54.066,39.130,17.209,99.915,192.000,25.342
0.380,24.814,137.695,75.365,75.629,54.066,39.868,17.611,99.915,188.000,24.814
0.390,24.286,140.137,76.025,76.157,45.956,40.611,17.806,99.915,184.000,24.286
0.400,23.758,137.207,76.553,76.685,45.956,41.359,17.491,99.915,180.000,23.758
0.410,23.230,133.789,76.817,77.081,40.549,42.110,17.871,99.915,176.000,23.230
0.420,22.834,133.301,77.345,77.609,40.549,42.867,17.980,99.915,173.000,22.834
