Temps,Ecart,I moteur,Mesure,vitesse,accélération,position,U moteur,Consigne,Sortie Reg.,S. Action P.
s,mm/s,mA,mm/s,mm/s,mm/s²,mm,V,mm/s,inc,mm/s
5.070,0.000,9.277,0.000,0.000,0.000,90.223,-0.315,0.000,0.000,0.000
5.080,0.000,-17.090,0.000,0.000,0.000,90.223,0.293,0.000,0.000,0.000
5.090,0.000,-6.348,0.000,0.000,0.000,90.223,-0.336,0.000,0.000,0.000
5.100,0.000,-26.855,0.528,0.528,10.813,90.227,0.369,0.000,0.000,0.000
5.110,-0.528,-6.348,-0.396,-0.396,-8.110,90.226,0.011,0.000,-8.000,-1.056
5.120,0.396,-2.930,-0.792,-0.792,-16.220,90.216,-0.282,0.000,6.000,0.792
5.130,0.792,27.344,0.264,0.264,-5.407,90.218,0.065,0.000,12.000,1.584
5.140,-0.264,-27.832,0.000,0.000,18.923,90.218,0.358,0.000,-4.000,-0.528
5.150,0.000,1.465,0.000,0.000,-2.703,90.218,-0.434,0.000,0.000,0.000
5.160,0.000,8.301,0.000,0.000,-13.516,90.218,-0.250,0.000,0.000,0.000
5.170,0.000,-21.484,0.000,0.000,21.626,90.218,0.477,0.000,0.000,0.000
5.180,0.000,-7.813,0.000,0.000,-5.407,90.218,-0.065,0.000,0.000,0.000
5.190,0.000,21.973,0.000,0.000,0.000,90.218,-0.412,0.000,0.000,0.000
5.200,0.000,-3.418,0.000,0.000,0.000,90.218,0.076,0.000,0.000,0.000
5.210,0.000,-20.996,0.000,0.000,0.000,90.218,0.152,0.000,0.000,0.000
5.220,0.000,25.879,0.000,0.000,0.000,90.218,-0.575,0.000,0.000,0.000
5.230,0.000,-27.832,0.000,0.000,0.000,90.218,0.423,0.000,0.000,0.000
5.240,0.000,-3.906,0.000,0.000,0.000,90.218,0.043,0.000,0.000,0.000
5.250,0.000,13.672,0.000,0.000,0.000,90.218,-0.271,0.000,0.000,0.000
5.260,0.000,10.254,0.396,0.396,8.110,90.222,0.315,0.000,0.000,0.000
5.270,-0.396,-69.336,-0.792,-0.792,-16.220,90.218,0.260,0.000,-6.000,-0.792
5.280,0.792,-18.066,0.132,0.132,2.703,90.217,-0.141,0.000,12.000,1.584
5.290,-0.132,9.766,0.132,0.132,-5.407,90.219,-0.141,0.000,-2.000,-0.264
5.300,-0.132,-9.766,0.000,0.000,24.330,90.219,0.250,0.000,-2.000,-0.264
5.310,0.000,-8.301,0.000,0.000,-27.033,90.218,0.087,0.000,0.000,0.000
5.320,0.000,27.832,0.000,0.000,16.220,90.219,-0.586,0.000,0.000,0.000
5.330,0.000,-5.371,-0.132,-0.132,-2.703,90.218,0.358,0.000,0.000,0.000
5.340,0.132,8.301,0.132,0.132,0.000,90.219,-0.315,0.000,2.000,0.264
5.350,-0.132,10.254,0.000,0.000,0.000,90.219,-0.228,0.000,-2.000,-0.264
5.360,0.000,-24.414,0.000,0.000,2.703,90.218,0.054,0.000,0.000,0.000
5.370,0.000,23.438,0.000,0.000,-5.407,90.219,-0.608,0.000,0.000,0.000
5.380,0.000,-19.531,0.000,0.000,5.407,90.219,0.326,0.000,0.000,0.000
5.390,0.000,-9.766,0.000,0.000,-2.703,90.219,0.152,0.000,0.000,0.000
5.400,0.000,1.953,0.000,0.000,0.000,90.219,-0.043,0.000,0.000,0.000
5.410,0.000,11.230,-0.792,-0.792,-16.220,90.212,-0.662,0.000,0.000,0.000
5.420,0.792,21.484,0.924,0.924,18.923,90.218,1.085,0.000,12.000,1.584
5.430,-0.924,12.695,0.792,0.792,16.220,90.227,-0.488,0.000,-14.000,-1.848
