Position analogique;Consigne vitesse - Epaule;Consigne position - Epaule;Consigne vitesse - Coude;Consigne position - Coude;Consigne vitesse - Inc. Poignet;Consigne position - Inc. Poignet
PL00_066.CRB;CE00_066.CRB;CE01_066.CRB;CC00_066.CRB;CC01_066.CRB;CI00_066.CRB;CI01_066.CRB
39.780000;39.780000;39.780000;39.780000;39.780000;39.780000;39.780000
mm;deg./s;deg.;deg./s;deg.;deg./s;deg.
42,438870;-1,797120;8,132242;5,228654;-35,331135;-3,434400;27,197718
41,819138;-1,784700;8,062568;5,208404;-35,128070;-3,427200;27,064339
41,275298;-1,772280;7,993383;5,188154;-34,925803;-3,416400;26,931277
40,680862;-1,759860;7,924683;5,167904;-34,724325;-3,409200;26,798511
40,137015;-1,747440;7,856463;5,147654;-34,523627;-3,402000;26,666053
39,605820;-1,735020;7,788719;5,127923;-34,323702;-3,394800;26,533886
39,024030;-1,723140;7,721447;5,108712;-34,124542;-3,387600;26,402012
38,416950;-1,711260;7,654644;5,088981;-33,926139;-3,380400;26,270429
37,759275;-1,699380;7,588304;5,069769;-33,728486;-3,373200;26,139129
37,076310;-1,687500;7,522425;5,051077;-33,531574;-3,366000;26,008112
36,418635;-1,675620;7,457002;5,032385;-33,335397;-3,358800;25,877372
35,710373;-1,664280;7,392033;5,013692;-33,139947;-3,351600;25,746906
35,153880;-1,652940;7,327513;4,995000;-32,945216;-3,344400;25,616712
34,546793;-1,641060;7,263439;4,976827;-32,751199;-3,337200;25,486782
33,990300;-1,629720;7,199808;4,958654;-32,557889;-3,330000;25,357120
33,357923;-1,618920;7,136614;4,941000;-32,365278;-3,322800;25,227715
32,814082;-1,607580;7,073857;4,923346;-32,173359;-3,319200;25,098567
32,219648;-1,596780;7,011532;4,905692;-31,982127;-3,312000;24,969677
31,663155;-1,585440;6,949636;4,888558;-31,791574;-3,304800;24,841034
31,030778;-1,574640;6,888166;4,870904;-31,601695;-3,297600;24,712644
30,423690;-1,563840;6,827118;4,854288;-31,412483;-3,294000;24,584493
29,816610;-1,553040;6,766491;4,837154;-31,223933;-3,286800;24,456587
29,298060;-1,542240;6,706280;4,820538;-31,036038;-3,279600;24,328916
28,703625;-1,531980;6,646482;4,803923;-30,848792;-3,272400;24,201480
28,109190;-1,521180;6,587096;4,787308;-30,662189;-3,268800;24,074283
27,476812;-1,510920;6,528117;4,771212;-30,476224;-3,261600;23,947309
26,806493;-1,500660;6,469544;4,754596;-30,290892;-3,258000;23,820570
26,186760;-1,490400;6,411373;4,738500;-30,106186;-3,250800;23,694047
25,554382;-1,480140;6,353601;4,722923;-29,922101;-3,243600;23,567746
24,871418;-1,469880;6,296227;4,707346;-29,738633;-3,240000;23,441672
24,264338;-1,459620;6,239246;4,691250;-29,555775;-3,232800;23,315808
23,783730;-1,449360;6,182658;4,676192;-29,373522;-3,229200;23,190159
23,100758;-1,439640;6,126459;4,660615;-29,191870;-3,222000;23,064721
22,620150;-1,429920;6,070647;4,645558;-29,010813;-3,218400;22,939489
22,051013;-1,419660;6,015220;4,630500;-28,830347;-3,211200;22,814467
21,456577;-1,409940;5,960174;4,615442;-28,650466;-3,207600;22,689645
20,925383;-1,400220;5,905508;4,600385;-28,471166;-3,200400;22,565030
20,153880;-1,390500;5,851219;4,585846;-28,292441;-3,196800;22,440607
19,496205;-1,381320;5,797304;4,570788;-28,114289;-3,193200;22,316382
18,952358;-1,371600;5,743764;4,556769;-27,936703;-3,186000;22,192357
18,383220;-1,361880;5,690593;4,542231;-27,759680;-3,182400;22,068518
17,826728;-1,352700;5,637791;4,527692;-27,583214;-3,178800;21,944869
17,282880;-1,342980;5,585355;4,513673;-27,407302;-3,171600;21,821406
16,612560;-1,333800;5,533283;4,499654;-27,231939;-3,168000;21,698128
15,980183;-1,324620;5,481573;4,485635;-27,057121;-3,164400;21,575040
15,385747;-1,315440;5,430222;4,471615;-26,882845;-3,157200;21,452128
14,816610;-1,306260;5,379231;4,458115;-26,709104;-3,153600;21,329395
14,247473;-1,297080;5,328595;4,444615;-26,535896;-3,150000;21,206836
13,665682;-1,287900;5,278312;4,431115;-26,363217;-3,146400;21,084452
12,957420;-1,278720;5,228383;4,417615;-26,191063;-3,139200;20,962246
12,362985;-1,270080;5,178803;4,404115;-26,019429;-3,135600;20,840204
11,882378;-1,260900;5,129573;4,391135;-25,848313;-3,132000;20,718339
11,313240;-1,252260;5,080689;4,377635;-25,677710;-3,128400;20,596634
10,642920;-1,243080;5,032149;4,364654;-25,507616;-3,124800;20,475095
9,997890;-1,234440;4,983953;4,351673;-25,338028;-3,117600;20,353718
9,365512;-1,225800;4,936097;4,338692;-25,168943;-3,114000;20,232502
8,796375;-1,217160;4,888582;4,326231;-25,000355;-3,110400;20,111446
8,176642;-1,208520;4,841404;4,313250;-24,832264;-3,106800;19,990546
7,544265;-1,199880;4,794563;4,300788;-24,664664;-3,103200;19,869805
6,886590;-1,191240;4,748056;4,288327;-24,497552;-3,099600;19,749213
6,355395;-1,182600;4,701883;4,275865;-24,330925;-3,096000;19,628773
5,685075;-1,173960;4,656041;4,263404;-24,164780;-3,092400;19,508488
5,077995;-1,165860;4,610528;4,251462;-23,999113;-3,088800;19,388346
4,698570;-1,157220;4,565345;4,239000;-23,833921;-3,085200;19,268355
3,952358;-1,149120;4,520487;4,227058;-23,669201;-3,081600;19,148507
3,332632;-1,140480;4,475956;4,215115;-23,504949;-3,078000;19,028800
2,814083;-1,132380;4,431748;4,203173;-23,341164;-3,074400;18,909239
2,282880;-1,124280;4,387863;4,191231;-23,177841;-3,070800;18,789813
