;;;;;;Nacelle NC10...
;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
111;    0,452156;    1,338000;    0,452156;    1,653000;
112;    0,456206;    3,516000;    0,456206;    0,663000;
113;    0,460291;    4,809000;    0,460291;   -0,482000;
114;    0,464373;    4,862000;    0,464373;   -1,397000;
115;    0,468474;    3,656000;    0,468474;   -1,907000;
116;    0,472578;    1,498000;    0,472578;   -1,827000;
117;    0,476656;   -1,033000;    0,476656;   -1,152000;
118;    0,480778;   -3,320000;    0,480778;   -0,080000;
119;    0,484876;   -4,731000;    0,484876;    1,147000;
120;    0,488978;   -4,914000;    0,488978;    2,123000;
121;    0,493057;   -3,830000;    0,493057;    2,681000;
122;    0,497164;   -1,744000;    0,497164;    2,560000;
123;    0,501247;    0,781000;    0,501247;    1,946000;
124;    0,505352;    3,115000;    0,505352;    0,889000;
125;    0,509430;    4,632000;    0,509430;   -0,291000;
126;    0,513600;    4,952000;    0,513600;   -1,365000;
127;    0,517755;    3,949000;    0,517755;   -1,980000;
128;    0,521783;    1,967000;    0,521783;   -2,012000;
129;    0,525833;   -0,522000;    0,525833;   -1,450000;
130;    0,529928;   -2,902000;    0,529928;   -0,414000;
131;    0,534024;   -4,531000;    0,534024;    0,777000;
132;    0,538161;   -4,983000;    0,538161;    1,921000;
133;    0,542190;   -4,157000;    0,542190;    2,650000;
134;    0,546293;   -2,246000;    0,546293;    2,843000;
135;    0,550397;    0,249000;    0,550397;    2,415000;
136;    0,554510;    2,685000;    0,554510;    1,519000;
137;    0,558655;    4,428000;    0,558655;    0,327000;
138;    0,562765;    4,997000;    0,562765;   -0,830000;
139;    0,566849;    4,272000;    0,566849;   -1,627000;
140;    0,570947;    2,438000;    0,570947;   -1,911000;
141;    0,574984;    0,010000;    0,574984;   -1,568000;
142;    0,579049;   -2,436000;    0,579049;   -0,722000;
143;    0,583157;   -4,274000;    0,583157;    0,426000;
144;    0,587238;   -4,997000;    0,587238;    1,488000;
145;    0,591356;   -4,424000;    0,591356;    2,257000;
146;    0,595454;   -2,704000;    0,595454;    2,490000;
147;    0,599561;   -0,276000;    0,599561;    2,113000;
148;    0,603637;    2,207000;    0,603637;    1,291000;
149;    0,607742;    4,133000;    0,607742;    0,185000;
150;    0,611846;    4,983000;    0,611846;   -0,884000;
151;    0,615925;    4,544000;    0,615925;   -1,686000;
152;    0,620012;    2,933000;    0,620012;   -1,891000;
153;    0,624141;    0,539000;    0,624141;   -1,527000;
