Temps,Consigne,Ecart,I moteur,vitesse,Sortie Reg.,U moteur
s,mm/s,mm/s,mA,mm/s,inc,V
2.140,0.000,-0.132,-4.395,-0.132,-2.000,-0.369
2.150,0.000,0.000,7.813,0.132,0.000,-0.380
2.160,0.000,0.000,-2.930,0.000,0.000,0.434
2.170,0.000,0.000,-2.441,-0.132,0.000,0.564
2.180,0.000,-0.132,22.949,-0.132,-2.000,-0.553
2.190,0.000,-0.132,-18.066,-0.132,-2.000,0.239
2.200,0.000,0.000,-6.836,0.132,0.000,0.184
2.210,0.000,0.000,-12.695,0.264,0.000,0.380
2.220,0.000,-0.264,-7.324,-0.528,-4.000,-0.239
2.230,0.000,1.056,-24.902,-0.660,16.000,0.467
2.240,0.000,0.000,9.766,0.264,0.000,-0.412
2.250,0.000,-0.132,2.930,-0.132,-2.000,0.109
2.260,0.000,0.000,-15.625,-0.132,0.000,0.434
2.270,0.000,0.000,-6.836,0.132,0.000,-0.271
2.280,0.000,0.132,10.742,0.132,2.000,-0.184
2.290,0.000,0.000,-17.090,0.000,0.000,0.380
2.300,0.000,0.000,16.113,0.000,0.000,-0.260
2.310,0.000,0.000,24.414,0.000,0.000,-0.239
2.320,0.000,0.000,-23.926,0.000,0.000,0.358
2.330,0.000,0.000,-17.090,0.000,0.000,-0.065
2.340,0.000,0.000,13.672,0.000,0.000,-0.510
2.350,0.000,0.000,9.277,0.000,0.000,-0.336
2.360,0.000,0.000,-21.484,0.000,0.000,0.184
2.370,0.000,0.132,14.648,0.132,2.000,-0.358
2.380,0.000,0.000,-5.371,0.264,0.000,0.401
2.390,0.000,-0.924,3.418,0.924,-14.000,0.434
