;;;;;;;;;;;;;;;;;;Nacelle NC10...
;;;;;;;;;;;;;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
130;    0,530836;   20,000000;    0,530836;    5,002000;    0,529567;   20,000000;    0,529567;   11,401000;    0,530570;   20,000000;    0,530570;   19,676000;    0,530848;   20,000000;    0,530848;   22,498000;
131;    0,534996;   20,000000;    0,534996;    4,982000;    0,533674;   20,000000;    0,533674;   11,374000;    0,534671;   20,000000;    0,534671;   19,663000;    0,534951;   20,000000;    0,534951;   22,422000;
132;    0,539024;   20,000000;    0,539024;    4,966000;    0,537747;   20,000000;    0,537747;   11,344000;    0,538774;   20,000000;    0,538774;   19,660000;    0,539054;   20,000000;    0,539054;   22,372000;
133;    0,543104;   20,000000;    0,543104;    4,960000;    0,541913;   20,000000;    0,541913;   11,322000;    0,542877;   20,000000;    0,542877;   19,655000;    0,543131;   20,000000;    0,543131;   22,346000;
134;    0,547209;   20,000000;    0,547209;    4,959000;    0,546018;   20,000000;    0,546018;   11,309000;    0,547011;   20,000000;    0,547011;   19,648000;    0,547243;   20,000000;    0,547243;   22,348000;
135;    0,551310;   20,000000;    0,551310;    4,961000;    0,550102;   20,000000;    0,550102;   11,307000;    0,551067;   20,000000;    0,551067;   19,629000;    0,551324;   20,000000;    0,551324;   22,384000;
136;    0,555418;   20,000000;    0,555418;    4,962000;    0,554204;   20,000000;    0,554204;   11,310000;    0,555192;   20,000000;    0,555192;   19,602000;    0,555446;   20,000000;    0,555446;   22,453000;
137;    0,559493;   20,000000;    0,559493;    4,959000;    0,558336;   20,000000;    0,558336;   11,311000;    0,559248;   20,000000;    0,559248;   19,569000;    0,559516;   20,000000;    0,559516;   22,555000;
138;    0,563594;   20,000000;    0,563594;    4,956000;    0,562401;   20,000000;    0,562401;   11,306000;    0,563352;   20,000000;    0,563352;   19,541000;    0,563619;   20,000000;    0,563619;   22,680000;
139;    0,567676;   20,000000;    0,567676;    4,956000;    0,566458;   20,000000;    0,566458;   11,294000;    0,567457;   20,000000;    0,567457;   19,527000;    0,567700;   20,000000;    0,567700;   22,813000;
140;    0,571779;   20,000000;    0,571779;    4,964000;    0,570535;   20,000000;    0,570535;   11,283000;    0,571541;   20,000000;    0,571541;   19,525000;    0,571797;   20,000000;    0,571797;   22,923000;
141;    0,575883;   20,000000;    0,575883;    4,979000;    0,574616;   20,000000;    0,574616;   11,275000;    0,575642;   20,000000;    0,575642;   19,531000;    0,575898;   20,000000;    0,575898;   22,996000;
142;    0,579990;   20,000000;    0,579990;    4,999000;    0,578720;   20,000000;    0,578720;   11,280000;    0,579718;   20,000000;    0,579718;   19,537000;    0,579977;   20,000000;    0,579977;   23,021000;
143;    0,584091;   20,000000;    0,584091;    5,019000;    0,582797;   20,000000;    0,582797;   11,296000;    0,583842;   20,000000;    0,583842;   19,538000;    0,584102;   20,000000;    0,584102;   22,990000;
144;    0,588162;   20,000000;    0,588162;    5,031000;    0,586902;   20,000000;    0,586902;   11,321000;    0,587933;   20,000000;    0,587933;   19,533000;    0,588237;   20,000000;    0,588237;   22,915000;
145;    0,592266;   20,000000;    0,592266;    5,032000;    0,591001;   20,000000;    0,591001;   11,348000;    0,592021;   20,000000;    0,592021;   19,530000;    0,592290;   20,000000;    0,592290;   22,815000;
146;    0,596368;   20,000000;    0,596368;    5,021000;    0,595095;   20,000000;    0,595095;   11,368000;    0,596127;   20,000000;    0,596127;   19,534000;    0,596393;   20,000000;    0,596393;   22,711000;
147;    0,600452;   20,000000;    0,600452;    5,003000;    0,599265;   20,000000;    0,599265;   11,377000;    0,600232;   20,000000;    0,600232;   19,557000;    0,600461;   20,000000;    0,600461;   22,617000;
148;    0,604550;   20,000000;    0,604550;    4,983000;    0,603264;   20,000000;    0,603264;   11,375000;    0,604309;   20,000000;    0,604309;   19,597000;    0,604575;   20,000000;    0,604575;   22,541000;
149;    0,608660;   20,000000;    0,608660;    4,967000;    0,607366;   20,000000;    0,607366;   11,364000;    0,608415;   20,000000;    0,608415;   19,648000;    0,608653;   20,000000;    0,608653;   22,485000;
150;    0,612757;   20,000000;    0,612757;    4,959000;    0,611453;   20,000000;    0,611453;   11,351000;    0,612494;   20,000000;    0,612494;   19,695000;    0,612761;   20,000000;    0,612761;   22,451000;
151;    0,616831;   20,000000;    0,616831;    4,957000;    0,615557;   20,000000;    0,615557;   11,340000;    0,616616;   20,000000;    0,616616;   19,725000;    0,616865;   20,000000;    0,616865;   22,435000;
152;    0,620995;   20,000000;    0,620995;    4,958000;    0,619664;   20,000000;    0,619664;   11,330000;    0,620693;   20,000000;    0,620693;   19,727000;    0,620969;   20,000000;    0,620969;   22,443000;
153;    0,625025;   20,000000;    0,625025;    4,959000;    0,623737;   20,000000;    0,623737;   11,322000;    0,624782;   20,000000;    0,624782;   19,697000;    0,625045;   20,000000;    0,625045;   22,477000;
154;    0,629129;   20,000000;    0,629129;    4,957000;    0,627873;   20,000000;    0,627873;   11,311000;    0,628859;   20,000000;    0,628859;   19,644000;    0,629146;   20,000000;    0,629146;   22,539000;
155;    0,633238;   20,000000;    0,633238;    4,954000;    0,631924;   20,000000;    0,631924;   11,299000;    0,632998;   20,000000;    0,632998;   19,578000;    0,633266;   20,000000;    0,633266;   22,625000;
156;    0,637315;   20,000000;    0,637315;    4,953000;    0,636025;   20,000000;    0,636025;   11,284000;    0,637051;   20,000000;    0,637051;   19,518000;    0,637341;   20,000000;    0,637341;   22,723000;
157;    0,641416;   20,000000;    0,641416;    4,958000;    0,640100;   20,000000;    0,640100;   11,271000;    0,641154;   20,000000;    0,641154;   19,468000;    0,641444;   20,000000;    0,641444;   22,815000;
158;    0,645552;   20,000000;    0,645552;    4,969000;    0,644217;   20,000000;    0,644217;   11,266000;    0,645273;   20,000000;    0,645273;   19,438000;    0,645547;   20,000000;    0,645547;   22,884000;
159;    0,649608;   20,000000;    0,649608;    4,986000;    0,648310;   20,000000;    0,648310;   11,272000;    0,649355;   20,000000;    0,649355;   19,427000;    0,649658;   20,000000;    0,649658;   22,916000;
160;    0,653715;   20,000000;    0,653715;    5,004000;    0,652447;   20,000000;    0,652447;   11,289000;    0,653455;   20,000000;    0,653455;   19,431000;    0,653734;   20,000000;    0,653734;   22,903000;
161;    0,657806;   20,000000;    0,657806;    5,016000;    0,656528;   20,000000;    0,656528;   11,314000;    0,657583;   20,000000;    0,657583;   19,448000;    0,657859;   20,000000;    0,657859;   22,852000;
162;    0,661889;   20,000000;    0,661889;    5,020000;    0,658527;   20,000000;    0,658527;   11,341000;    0,661638;   20,000000;    0,661638;   19,476000;    0,661989;   20,000000;    0,661989;   22,778000;
163;    0,665992;   20,000000;    0,665992;    5,013000;    0,661507;   20,000000;    0,661507;   11,361000;    0,665748;   20,000000;    0,665748;   19,518000;    0,666051;   20,000000;    0,666051;   22,696000;
164;    0,670062;   20,000000;    0,670062;    4,999000;    0,664685;   20,000000;    0,664685;   11,370000;    0,669845;   20,000000;    0,669845;   19,571000;    0,670131;   20,000000;    0,670131;   22,621000;
165;    0,674178;   20,000000;    0,674178;    4,984000;    0,668788;   20,000000;    0,668788;   11,368000;    0,673923;   20,000000;    0,673923;   19,632000;    0,674240;   20,000000;    0,674240;   22,560000;
166;    0,678299;   20,000000;    0,678299;    4,971000;    0,672874;   20,000000;    0,672874;   11,359000;    0,678057;   20,000000;    0,678057;   19,691000;    0,678353;   20,000000;    0,678353;   22,516000;
167;    0,682367;   20,000000;    0,682367;    4,964000;    0,676974;   20,000000;    0,676974;   11,346000;    0,682127;   20,000000;    0,682127;   19,740000;    0,682427;   20,000000;    0,682427;   22,487000;
168;    0,686470;   20,000000;    0,686470;    4,963000;    0,681074;   20,000000;    0,681074;   11,334000;    0,686229;   20,000000;    0,686229;   19,764000;    0,686517;   20,000000;    0,686517;   22,474000;
169;    0,690581;   20,000000;    0,690581;    4,964000;    0,685156;   20,000000;    0,685156;   11,325000;    0,690343;   20,000000;    0,690343;   19,754000;    0,690636;   20,000000;    0,690636;   22,479000;
170;    0,694684;   20,000000;    0,694684;    4,964000;    0,689257;   20,000000;    0,689257;   11,318000;    0,694415;   20,000000;    0,694415;   19,713000;    0,694740;   20,000000;    0,694740;   22,508000;
171;    0,698761;   20,000000;    0,698761;    4,962000;    0,693360;   20,000000;    0,693360;   11,311000;    0,698518;   20,000000;    0,698518;   19,650000;    0,698884;   20,000000;    0,698884;   22,560000;
172;    0,702866;   20,000000;    0,702866;    4,957000;    0,697445;   20,000000;    0,697445;   11,302000;    0,702688;   20,000000;    0,702688;   19,580000;    0,702994;   20,000000;    0,702994;   22,633000;
173;    0,706997;   20,000000;    0,706997;    4,951000;    0,701555;   20,000000;    0,701555;   11,290000;    0,706761;   20,000000;    0,706761;   19,515000;    0,707063;   20,000000;    0,707063;   22,719000;
174;    0,711050;   20,000000;    0,711050;    4,950000;    0,705638;   20,000000;    0,705638;   11,277000;    0,710806;   20,000000;    0,710806;   19,468000;    0,711194;   20,000000;    0,711194;   22,803000;
175;    0,715153;   20,000000;    0,715153;    4,955000;    0,709737;   20,000000;    0,709737;   11,267000;    0,714900;   20,000000;    0,714900;   19,440000;    0,715242;   20,000000;    0,715242;   22,865000;
176;    0,719259;   20,000000;    0,719259;    4,967000;    0,713818;   20,000000;    0,713818;   11,264000;    0,719011;   20,000000;    0,719011;   19,432000;    0,719291;   20,000000;    0,719291;   22,897000;
177;    0,723334;   20,000000;    0,723334;    4,982000;    0,717926;   20,000000;    0,717926;   11,273000;    0,723094;   20,000000;    0,723094;   19,437000;    0,723394;   20,000000;    0,723394;   22,892000;
178;    0,727439;   20,000000;    0,727439;    4,996000;    0,722023;   20,000000;    0,722023;   11,291000;    0,727171;   20,000000;    0,727171;   19,453000;    0,727474;   20,000000;    0,727474;   22,852000;
179;    0,731543;   20,000000;    0,731543;    5,004000;    0,726125;   20,000000;    0,726125;   11,313000;    0,731276;   20,000000;    0,731276;   19,475000;    0,731576;   20,000000;    0,731576;   22,784000;
180;    0,735662;   20,000000;    0,735662;    5,004000;    0,730208;   20,000000;    0,730208;   11,335000;    0,735379;   20,000000;    0,735379;   19,503000;    0,735683;   20,000000;    0,735683;   22,706000;
181;    0,739759;   20,000000;    0,739759;    4,997000;    0,734324;   20,000000;    0,734324;   11,351000;    0,739474;   20,000000;    0,739474;   19,538000;    0,739808;   20,000000;    0,739808;   22,630000;
182;    0,743835;   20,000000;    0,743835;    4,986000;    0,738455;   20,000000;    0,738455;   11,360000;    0,743647;   20,000000;    0,743647;   19,578000;    0,743942;   20,000000;    0,743942;   22,565000;
183;    0,747999;   20,000000;    0,747999;    4,976000;    0,742512;   20,000000;    0,742512;   11,360000;    0,747749;   20,000000;    0,747749;   19,622000;    0,748057;   20,000000;    0,748057;   22,515000;
184;    0,752028;   20,000000;    0,752028;    4,969000;    0,746616;   20,000000;    0,746616;   11,356000;    0,751853;   20,000000;    0,751853;   19,661000;    0,752127;   20,000000;    0,752127;   22,482000;
185;    0,756150;   20,000000;    0,756150;    4,967000;    0,750720;   20,000000;    0,750720;   11,348000;    0,755951;   20,000000;    0,755951;   19,688000;    0,756248;   20,000000;    0,756248;   22,468000;
186;    0,760239;   20,000000;    0,760239;    4,968000;    0,754813;   20,000000;    0,754813;   11,341000;    0,760091;   20,000000;    0,760091;   19,698000;    0,760344;   20,000000;    0,760344;   22,471000;
187;    0,764340;   20,000000;    0,764340;    4,968000;    0,758901;   20,000000;    0,758901;   11,330000;    0,764044;   20,000000;    0,764044;   19,687000;    0,764346;   20,000000;    0,764346;   22,492000;
188;    0,768421;   20,000000;    0,768421;    4,966000;    0,763069;   20,000000;    0,763069;   11,318000;    0,768145;   20,000000;    0,768145;   19,657000;    0,768445;   20,000000;    0,768445;   22,535000;
189;    0,772518;   20,000000;    0,772518;    4,959000;    0,767147;   20,000000;    0,767147;   11,302000;    0,772264;   20,000000;    0,772264;   19,618000;    0,772561;   20,000000;    0,772561;   22,596000;
190;    0,776620;   20,000000;    0,776620;    4,952000;    0,771249;   20,000000;    0,771249;   11,285000;    0,776342;   20,000000;    0,776342;   19,577000;    0,776632;   20,000000;    0,776632;   22,668000;
191;    0,780702;   20,000000;    0,780702;    4,948000;    0,775354;   20,000000;    0,775354;   11,269000;    0,780439;   20,000000;    0,780439;   19,541000;    0,780734;   20,000000;    0,780734;   22,744000;
192;    0,784801;   20,000000;    0,784801;    4,950000;    0,779435;   20,000000;    0,779435;   11,259000;    0,784520;   20,000000;    0,784520;   19,514000;    0,784798;   20,000000;    0,784798;   22,809000;
193;    0,788908;   20,000000;    0,788908;    4,958000;    0,783455;   20,000000;    0,783455;   11,257000;    0,788621;   20,000000;    0,788621;   19,496000;    0,788916;   20,000000;    0,788916;   22,851000;
194;    0,792992;   20,000000;    0,792992;    4,971000;    0,787558;   20,000000;    0,787558;   11,264000;    0,792727;   20,000000;    0,792727;   19,484000;    0,793020;   20,000000;    0,793020;   22,863000;
195;    0,797101;   20,000000;    0,797101;    4,984000;    0,791664;   20,000000;    0,791664;   11,279000;    0,796909;   20,000000;    0,796909;   19,475000;    0,797118;   20,000000;    0,797118;   22,843000;
196;    0,801204;   20,000000;    0,801204;    4,992000;    0,795764;   20,000000;    0,795764;   11,298000;    0,800957;   20,000000;    0,800957;   19,471000;    0,801231;   20,000000;    0,801231;   22,797000;
197;    0,805290;   20,000000;    0,805290;    4,995000;    0,799842;   20,000000;    0,799842;   11,318000;    0,805013;   20,000000;    0,805013;   19,475000;    0,805290;   20,000000;    0,805290;   22,738000;
198;    0,809387;   20,000000;    0,809387;    4,992000;    0,803951;   20,000000;    0,803951;   11,332000;    0,809096;   20,000000;    0,809096;   19,489000;    0,809394;   20,000000;    0,809394;   22,675000;
199;    0,813471;   20,000000;    0,813471;    4,985000;    0,808028;   20,000000;    0,808028;   11,342000;    0,813197;   20,000000;    0,813197;   19,515000;    0,813494;   20,000000;    0,813494;   22,619000;
200;    0,817565;   20,000000;    0,817565;    4,978000;    0,812150;   20,000000;    0,812150;   11,344000;    0,817275;   20,000000;    0,817275;   19,552000;    0,817602;   20,000000;    0,817602;   22,573000;
201;    0,821672;   20,000000;    0,821672;    4,974000;    0,816311;   20,000000;    0,816311;   11,344000;    0,821384;   20,000000;    0,821384;   19,593000;    0,821707;   20,000000;    0,821707;   22,538000;
202;    0,825772;   20,000000;    0,825772;    4,973000;    0,820419;   20,000000;    0,820419;   11,341000;    0,825476;   20,000000;    0,825476;   19,631000;    0,825786;   20,000000;    0,825786;   22,513000;
203;    0,829849;   20,000000;    0,829849;    4,975000;    0,824453;   20,000000;    0,824453;   11,337000;    0,829571;   20,000000;    0,829571;   19,656000;    0,829885;   20,000000;    0,829885;   22,500000;
204;    0,834004;   20,000000;    0,834004;    4,975000;    0,828519;   20,000000;    0,828519;   11,332000;    0,833706;   20,000000;    0,833706;   19,664000;    0,833998;   20,000000;    0,833998;   22,502000;
205;    0,838054;   20,000000;    0,838054;    4,972000;    0,832619;   20,000000;    0,832619;   11,325000;    0,837777;   20,000000;    0,837777;   19,656000;    0,838066;   20,000000;    0,838066;   22,524000;
206;    0,842159;   20,000000;    0,842159;    4,966000;    0,836719;   20,000000;    0,836719;   11,315000;    0,841882;   20,000000;    0,841882;   19,635000;    0,842230;   20,000000;    0,842230;   22,564000;
207;    0,846261;   20,000000;    0,846261;    4,958000;    0,840795;   20,000000;    0,840795;   11,302000;    0,846017;   20,000000;    0,846017;   19,608000;    0,846266;   20,000000;    0,846266;   22,619000;
208;    0,850344;   20,000000;    0,850344;    4,951000;    0,844904;   20,000000;    0,844904;   11,286000;    0,850081;   20,000000;    0,850081;   19,580000;    0,850364;   20,000000;    0,850364;   22,682000;
209;    0,854432;   20,000000;    0,854432;    4,949000;    0,849006;   20,000000;    0,849006;   11,272000;    0,854176;   20,000000;    0,854176;   19,553000;    0,854495;   20,000000;    0,854495;   22,743000;
210;    0,858521;   20,000000;    0,858521;    4,953000;    0,853109;   20,000000;    0,853109;   11,262000;    0,858339;   20,000000;    0,858339;   19,529000;    0,858547;   20,000000;    0,858547;   22,789000;
211;    0,862652;   20,000000;    0,862652;    4,961000;    0,857271;   20,000000;    0,857271;   11,260000;    0,862386;   20,000000;    0,862386;   19,506000;    0,862654;   20,000000;    0,862654;   22,811000;
212;    0,866724;   20,000000;    0,866724;    4,970000;    0,861355;   20,000000;    0,861355;   11,265000;    0,866455;   20,000000;    0,866455;   19,485000;    0,866739;   20,000000;    0,866739;   22,809000;
213;    0,870800;   20,000000;    0,870800;    4,979000;    0,865516;   20,000000;    0,865516;   11,276000;    0,870549;   20,000000;    0,870549;   19,467000;    0,870836;   20,000000;    0,870836;   22,784000;
214;    0,874909;   20,000000;    0,874909;    4,984000;    0,869548;   20,000000;    0,869548;   11,290000;    0,874647;   20,000000;    0,874647;   19,458000;    0,874909;   20,000000;    0,874909;   22,743000;
215;    0,878989;   20,000000;    0,878989;    4,984000;    0,873652;   20,000000;    0,873652;   11,303000;    0,878752;   20,000000;    0,878752;   19,460000;    0,879024;   20,000000;    0,879024;   22,696000;
216;    0,883099;   20,000000;    0,883099;    4,981000;    0,877678;   20,000000;    0,877678;   11,315000;    0,882865;   20,000000;    0,882865;   19,478000;    0,883119;   20,000000;    0,883119;   22,650000;
217;    0,887203;   20,000000;    0,887203;    4,976000;    0,881764;   20,000000;    0,881764;   11,324000;    0,886992;   20,000000;    0,886992;   19,510000;    0,887229;   20,000000;    0,887229;   22,609000;
218;    0,891284;   20,000000;    0,891284;    4,972000;    0,885842;   20,000000;    0,885842;   11,330000;    0,891048;   20,000000;    0,891048;   19,551000;    0,891314;   20,000000;    0,891314;   22,574000;
219;    0,895392;   20,000000;    0,895392;    4,971000;    0,889952;   20,000000;    0,889952;   11,333000;    0,895141;   20,000000;    0,895141;   19,592000;    0,895415;   20,000000;    0,895415;   22,547000;
220;    0,899451;   20,000000;    0,899451;    4,972000;    0,894055;   20,000000;    0,894055;   11,335000;    0,899251;   20,000000;    0,899251;   19,628000;    0,899497;   20,000000;    0,899497;   22,531000;
221;    0,903595;   20,000000;    0,903595;    4,973000;    0,898132;   20,000000;    0,898132;   11,334000;    0,903386;   20,000000;    0,903386;   19,650000;    0,903602;   20,000000;    0,903602;   22,525000;
222;    0,907668;   20,000000;    0,907668;    4,971000;    0,902247;   20,000000;    0,902247;   11,329000;    0,907431;   20,000000;    0,907431;   19,656000;    0,907702;   20,000000;    0,907702;   22,533000;
223;    0,911773;   20,000000;    0,911773;    4,965000;    0,906415;   20,000000;    0,906415;   11,320000;    0,911537;   20,000000;    0,911537;   19,648000;    0,911779;   20,000000;    0,911779;   22,557000;
224;    0,915879;   20,000000;    0,915879;    4,959000;    0,910526;   20,000000;    0,910526;   11,306000;    0,915611;   20,000000;    0,915611;   19,628000;    0,915884;   20,000000;    0,915884;   22,594000;
225;    0,919987;   20,000000;    0,919987;    4,951000;    0,914609;   20,000000;    0,914609;   11,291000;    0,919739;   20,000000;    0,919739;   19,602000;    0,919987;   20,000000;    0,919987;   22,642000;
226;    0,924043;   20,000000;    0,924043;    4,948000;    0,918637;   20,000000;    0,918637;   11,277000;    0,923815;   20,000000;    0,923815;   19,573000;    0,924091;   20,000000;    0,924091;   22,691000;
227;    0,928152;   20,000000;    0,928152;    4,950000;    0,922730;   20,000000;    0,922730;   11,267000;    0,927930;   20,000000;    0,927930;   19,544000;    0,928247;   20,000000;    0,928247;   22,731000;
228;    0,932250;   20,000000;    0,932250;    4,956000;    0,926826;   20,000000;    0,926826;   11,263000;    0,932008;   20,000000;    0,932008;   19,515000;    0,932272;   20,000000;    0,932272;   22,757000;
229;    0,936356;   20,000000;    0,936356;    4,966000;    0,930930;   20,000000;    0,930930;   11,266000;    0,936087;   20,000000;    0,936087;   19,489000;    0,936373;   20,000000;    0,936373;   22,764000;
230;    0,940436;   20,000000;    0,940436;    4,974000;    0,935006;   20,000000;    0,935006;   11,273000;    0,940191;   20,000000;    0,940191;   19,466000;    0,940477;   20,000000;    0,940477;   22,751000;
231;    0,944541;   20,000000;    0,944541;    4,978000;    0,939107;   20,000000;    0,939107;   11,282000;    0,944297;   20,000000;    0,944297;   19,451000;    0,944581;   20,000000;    0,944581;   22,726000;
232;    0,948621;   20,000000;    0,948621;    4,978000;    0,943210;   20,000000;    0,943210;   11,291000;    0,948378;   20,000000;    0,948378;   19,448000;    0,948658;   20,000000;    0,948658;   22,693000;
233;    0,952719;   20,000000;    0,952719;    4,975000;    0,947287;   20,000000;    0,947287;   11,299000;    0,952478;   20,000000;    0,952478;   19,460000;    0,952762;   20,000000;    0,952762;   22,659000;
234;    0,956841;   20,000000;    0,956841;    4,970000;    0,951516;   20,000000;    0,951516;   11,305000;    0,956603;   20,000000;    0,956603;   19,487000;    0,956883;   20,000000;    0,956883;   22,628000;
235;    0,960991;   20,000000;    0,960991;    4,968000;    0,955569;   20,000000;    0,955569;   11,310000;    0,960664;   20,000000;    0,960664;   19,524000;    0,960947;   20,000000;    0,960947;   22,601000;
236;    0,965017;   20,000000;    0,965017;    4,967000;    0,959649;   20,000000;    0,959649;   11,315000;    0,964765;   20,000000;    0,964765;   19,563000;    0,965043;   20,000000;    0,965043;   22,577000;
237;    0,969094;   20,000000;    0,969094;    4,969000;    0,963757;   20,000000;    0,963757;   11,319000;    0,968868;   20,000000;    0,968868;   19,598000;    0,969146;   20,000000;    0,969146;   22,559000;
238;    0,973207;   20,000000;    0,973207;    4,970000;    0,967832;   20,000000;    0,967832;   11,322000;    0,973008;   20,000000;    0,973008;   19,623000;    0,973233;   20,000000;    0,973233;   22,546000;
239;    0,977302;   20,000000;    0,977302;    4,970000;    0,971878;   20,000000;    0,971878;   11,322000;    0,977063;   20,000000;    0,977063;   19,632000;    0,977313;   20,000000;    0,977313;   22,544000;
240;    0,981412;   20,000000;    0,981412;    4,966000;    0,975971;   20,000000;    0,975971;   11,318000;    0,981166;   20,000000;    0,981166;   19,629000;    0,981418;   20,000000;    0,981418;   22,556000;
241;    0,985509;   20,000000;    0,985509;    4,960000;    0,980049;   20,000000;    0,980049;   11,309000;    0,985242;   20,000000;    0,985242;   19,617000;    0,985521;   20,000000;    0,985521;   22,581000;
242;    0,989592;   20,000000;    0,989592;    4,954000;    0,984157;   20,000000;    0,984157;   11,299000;    0,989374;   20,000000;    0,989374;   19,600000;    0,989637;   20,000000;    0,989637;   22,617000;
243;    0,993693;   20,000000;    0,993693;    4,949000;    0,988262;   20,000000;    0,988262;   11,287000;    0,993466;   20,000000;    0,993466;   19,579000;    0,993713;   20,000000;    0,993713;   22,657000;
244;    0,997769;   20,000000;    0,997769;    4,949000;    0,992338;   20,000000;    0,992338;   11,277000;    0,997543;   20,000000;    0,997543;   19,557000;    0,997813;   20,000000;    0,997813;   22,694000;
245;    1,001878;   20,000000;    1,001878;    4,952000;    0,996446;   20,000000;    0,996446;   11,270000;    1,001641;   20,000000;    1,001641;   19,533000;    1,001919;   20,000000;    1,001919;   22,721000;
246;    1,005987;   20,000000;    1,005987;    4,958000;    1,000569;   20,000000;    1,000569;   11,267000;    1,005753;   20,000000;    1,005753;   19,509000;    1,006000;   20,000000;    1,006000;   22,733000;
247;    1,010069;   20,000000;    1,010069;    4,963000;    1,004714;   20,000000;    1,004714;   11,269000;    1,009831;   20,000000;    1,009831;   19,486000;    1,010101;   20,000000;    1,010101;   22,730000;
248;    1,014171;   20,000000;    1,014171;    4,966000;    1,008819;   20,000000;    1,008819;   11,271000;    1,013930;   20,000000;    1,013930;   19,466000;    1,014238;   20,000000;    1,014238;   22,715000;
249;    1,018249;   20,000000;    1,018249;    4,969000;    1,012822;   20,000000;    1,012822;   11,276000;    1,018108;   20,000000;    1,018108;   19,456000;    1,018295;   20,000000;    1,018295;   22,692000;
250;    1,022362;   20,000000;    1,022362;    4,967000;    1,016937;   20,000000;    1,016937;   11,280000;    1,022124;   20,000000;    1,022124;   19,456000;    1,022395;   20,000000;    1,022395;   22,667000;
251;    1,026438;   20,000000;    1,026438;    4,966000;    1,021030;   20,000000;    1,021030;   11,286000;    1,026221;   20,000000;    1,026221;   19,469000;    1,026474;   20,000000;    1,026474;   22,641000;
252;    1,030540;   20,000000;    1,030540;    4,966000;    1,025132;   20,000000;    1,025132;   11,293000;    1,030298;   20,000000;    1,030298;   19,492000;    1,030575;   20,000000;    1,030575;   22,616000;
253;    1,034644;   20,000000;    1,034644;    4,969000;    1,029209;   20,000000;    1,029209;   11,301000;    1,034406;   20,000000;    1,034406;   19,521000;    1,034652;   20,000000;    1,034652;   22,594000;
254;    1,038746;   20,000000;    1,038746;    4,972000;    1,033318;   20,000000;    1,033318;   11,309000;    1,038513;   20,000000;    1,038513;   19,551000;    1,038782;   20,000000;    1,038782;   22,574000;
255;    1,042824;   20,000000;    1,042824;    4,973000;    1,037452;   20,000000;    1,037452;   11,316000;    1,042595;   20,000000;    1,042595;   19,575000;    1,042859;   20,000000;    1,042859;   22,560000;
256;    1,046985;   20,000000;    1,046985;    4,973000;    1,041508;   20,000000;    1,041508;   11,321000;    1,046680;   20,000000;    1,046680;   19,593000;    1,046967;   20,000000;    1,046967;   22,553000;
257;    1,051014;   20,000000;    1,051014;    4,969000;    1,045648;   20,000000;    1,045648;   11,320000;    1,050796;   20,000000;    1,050796;   19,602000;    1,051046;   20,000000;    1,051046;   22,558000;
258;    1,055141;   20,000000;    1,055141;    4,964000;    1,049774;   20,000000;    1,049774;   11,313000;    1,054899;   20,000000;    1,054899;   19,604000;    1,055171;   20,000000;    1,055171;   22,573000;
259;    1,059199;   20,000000;    1,059199;    4,958000;    1,053862;   20,000000;    1,053862;   11,303000;    1,059017;   20,000000;    1,059017;   19,599000;    1,059229;   20,000000;    1,059229;   22,598000;
260;    1,063301;   20,000000;    1,063301;    4,953000;    1,057960;   20,000000;    1,057960;   11,292000;    1,063096;   20,000000;    1,063096;   19,588000;    1,063335;   20,000000;    1,063335;   22,629000;
261;    1,067411;   20,000000;    1,067411;    4,951000;    1,062038;   20,000000;    1,062038;   11,280000;    1,067174;   20,000000;    1,067174;   19,572000;    1,067432;   20,000000;    1,067432;   22,660000;
262;    1,071514;   20,000000;    1,071514;    4,953000;    1,066081;   20,000000;    1,066081;   11,271000;    1,071278;   20,000000;    1,071278;   19,553000;    1,071518;   20,000000;    1,071518;   22,685000;
263;    1,075587;   20,000000;    1,075587;    4,956000;    1,070160;   20,000000;    1,070160;   11,267000;    1,075388;   20,000000;    1,075388;   19,529000;    1,075625;   20,000000;    1,075625;   22,701000;
264;    1,079718;   20,000000;    1,079718;    4,958000;    1,074257;   20,000000;    1,074257;   11,265000;    1,079526;   20,000000;    1,079526;   19,504000;    1,079699;   20,000000;    1,079699;   22,705000;
265;    1,083785;   20,000000;    1,083785;    4,961000;    1,078366;   20,000000;    1,078366;   11,266000;    1,083559;   20,000000;    1,083559;   19,480000;    1,083812;   20,000000;    1,083812;   22,699000;
266;    1,087910;   20,000000;    1,087910;    4,962000;    1,082450;   20,000000;    1,082450;   11,267000;    1,087669;   20,000000;    1,087669;   19,463000;    1,087912;   20,000000;    1,087912;   22,686000;
267;    1,091995;   20,000000;    1,091995;    4,962000;    1,086554;   20,000000;    1,086554;   11,270000;    1,091741;   20,000000;    1,091741;   19,454000;    1,092009;   20,000000;    1,092009;   22,669000;
268;    1,096104;   20,000000;    1,096104;    4,962000;    1,090631;   20,000000;    1,090631;   11,274000;    1,095845;   20,000000;    1,095845;   19,459000;    1,096101;   20,000000;    1,096101;   22,651000;
