;;;;;;;;;;;;;;;;;;Nacelle NC10...
;;;;;;;;;;;;;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
30;    0,121269;   20,000000;    0,121269;    5,543000;    0,119992;   20,000000;    0,119992;    8,811000;    0,125234;   20,000000;    0,125234;   13,848000;    0,121256;   20,000000;    0,121256;   20,342000;
31;    0,125351;   20,000000;    0,125351;    5,874000;    0,124090;   20,000000;    0,124090;    9,936000;    0,129261;   20,000000;    0,129261;   15,112000;    0,125358;   20,000000;    0,125358;   18,449000;
32;    0,129458;   20,000000;    0,129458;    6,099000;    0,128259;   20,000000;    0,128259;   11,129000;    0,133337;   20,000000;    0,133337;   16,762000;    0,129480;   20,000000;    0,129480;   17,083000;
33;    0,133532;   20,000000;    0,133532;    6,224000;    0,132274;   20,000000;    0,132274;   12,278000;    0,137416;   20,000000;    0,137416;   18,608000;    0,133561;   20,000000;    0,133561;   16,332000;
34;    0,137633;   20,000000;    0,137633;    6,227000;    0,136371;   20,000000;    0,136371;   13,251000;    0,141541;   20,000000;    0,141541;   20,513000;    0,137707;   20,000000;    0,137707;   16,162000;
35;    0,141748;   20,000000;    0,141748;    6,128000;    0,140460;   20,000000;    0,140460;   13,987000;    0,145624;   20,000000;    0,145624;   22,208000;    0,141744;   20,000000;    0,141744;   16,561000;
36;    0,145841;   20,000000;    0,145841;    5,955000;    0,144566;   20,000000;    0,144566;   14,430000;    0,149706;   20,000000;    0,149706;   23,557000;    0,145844;   20,000000;    0,145844;   17,355000;
37;    0,149905;   20,000000;    0,149905;    5,734000;    0,148670;   20,000000;    0,148670;   14,593000;    0,153802;   20,000000;    0,153802;   24,445000;    0,150018;   20,000000;    0,150018;   18,500000;
38;    0,154014;   20,000000;    0,154014;    5,505000;    0,152774;   20,000000;    0,152774;   14,470000;    0,157905;   20,000000;    0,157905;   24,821000;    0,154099;   20,000000;    0,154099;   19,879000;
39;    0,158112;   20,000000;    0,158112;    5,264000;    0,157042;   20,000000;    0,157042;   14,139000;    0,162017;   20,000000;    0,162017;   24,658000;    0,158226;   20,000000;    0,158226;   21,406000;
40;    0,162230;   20,000000;    0,162230;    5,045000;    0,160963;   20,000000;    0,160963;   13,594000;    0,166099;   20,000000;    0,166099;   24,043000;    0,162311;   20,000000;    0,162311;   22,937000;
41;    0,166320;   20,000000;    0,166320;    4,837000;    0,165046;   20,000000;    0,165046;   12,908000;    0,170204;   20,000000;    0,170204;   23,109000;    0,166395;   20,000000;    0,166395;   24,385000;
42;    0,170398;   20,000000;    0,170398;    4,667000;    0,169143;   20,000000;    0,169143;   12,094000;    0,174279;   20,000000;    0,174279;   21,909000;    0,170496;   20,000000;    0,170496;   25,592000;
43;    0,174503;   20,000000;    0,174503;    4,523000;    0,173225;   20,000000;    0,173225;   11,247000;    0,178372;   20,000000;    0,178372;   20,575000;    0,174584;   20,000000;    0,174584;   26,461000;
44;    0,178617;   20,000000;    0,178617;    4,441000;    0,177331;   20,000000;    0,177331;   10,456000;    0,182461;   20,000000;    0,182461;   19,210000;    0,178681;   20,000000;    0,178681;   26,958000;
45;    0,182765;   20,000000;    0,182765;    4,421000;    0,181464;   20,000000;    0,181464;    9,800000;    0,186565;   20,000000;    0,186565;   18,006000;    0,182723;   20,000000;    0,182723;   27,008000;
46;    0,186864;   20,000000;    0,186864;    4,481000;    0,185521;   20,000000;    0,185521;    9,342000;    0,190644;   20,000000;    0,190644;   17,060000;    0,186796;   20,000000;    0,186796;   26,659000;
47;    0,190987;   20,000000;    0,190987;    4,597000;    0,189624;   20,000000;    0,189624;    9,113000;    0,194748;   20,000000;    0,194748;   16,413000;    0,190896;   20,000000;    0,190896;   26,009000;
48;    0,195010;   20,000000;    0,195010;    4,751000;    0,193724;   20,000000;    0,193724;    9,121000;    0,198847;   20,000000;    0,198847;   16,095000;    0,195004;   20,000000;    0,195004;   25,133000;
49;    0,199081;   20,000000;    0,199081;    4,916000;    0,197829;   20,000000;    0,197829;    9,311000;    0,203026;   20,000000;    0,203026;   16,130000;    0,199104;   20,000000;    0,199104;   24,125000;
50;    0,203157;   20,000000;    0,203157;    5,065000;    0,201901;   20,000000;    0,201901;    9,686000;    0,207024;   20,000000;    0,207024;   16,489000;    0,203241;   20,000000;    0,203241;   23,077000;
51;    0,207261;   20,000000;    0,207261;    5,190000;    0,205990;   20,000000;    0,205990;   10,170000;    0,211131;   20,000000;    0,211131;   17,095000;    0,207298;   20,000000;    0,207298;   22,087000;
52;    0,211373;   20,000000;    0,211373;    5,271000;    0,210084;   20,000000;    0,210084;   10,740000;    0,215228;   20,000000;    0,215228;   17,933000;    0,211392;   20,000000;    0,211392;   21,210000;
53;    0,215442;   20,000000;    0,215442;    5,328000;    0,214191;   20,000000;    0,214191;   11,330000;    0,219306;   20,000000;    0,219306;   18,913000;    0,215558;   20,000000;    0,215558;   20,517000;
54;    0,219546;   20,000000;    0,219546;    5,348000;    0,218297;   20,000000;    0,218297;   11,896000;    0,223409;   20,000000;    0,223409;   19,968000;    0,219662;   20,000000;    0,219662;   20,020000;
55;    0,223651;   20,000000;    0,223651;    5,350000;    0,222461;   20,000000;    0,222461;   12,382000;    0,227529;   20,000000;    0,227529;   20,944000;    0,223673;   20,000000;    0,223673;   19,759000;
56;    0,227734;   20,000000;    0,227734;    5,313000;    0,226486;   20,000000;    0,226486;   12,739000;    0,229517;   20,000000;    0,229517;   21,745000;    0,227769;   20,000000;    0,227769;   19,730000;
57;    0,231832;   20,000000;    0,231832;    5,256000;    0,230562;   20,000000;    0,230562;   12,918000;    0,232519;   20,000000;    0,232519;   22,285000;    0,231867;   20,000000;    0,231867;   19,945000;
58;    0,235997;   20,000000;    0,235997;    5,164000;    0,234666;   20,000000;    0,234666;   12,913000;    0,235694;   20,000000;    0,235694;   22,538000;    0,235944;   20,000000;    0,235944;   20,350000;
59;    0,240055;   20,000000;    0,240055;    5,056000;    0,238774;   20,000000;    0,238774;   12,745000;    0,239775;   20,000000;    0,239775;   22,474000;    0,240051;   20,000000;    0,240051;   20,925000;
60;    0,244141;   20,000000;    0,244141;    4,938000;    0,242846;   20,000000;    0,242846;   12,408000;    0,243882;   20,000000;    0,243882;   22,124000;    0,244171;   20,000000;    0,244171;   21,594000;
61;    0,248216;   20,000000;    0,248216;    4,833000;    0,246948;   20,000000;    0,246948;   11,972000;    0,248016;   20,000000;    0,248016;   21,566000;    0,248245;   20,000000;    0,248245;   22,320000;
62;    0,252320;   20,000000;    0,252320;    4,755000;    0,251061;   20,000000;    0,251061;   11,473000;    0,252071;   20,000000;    0,252071;   20,812000;    0,252330;   20,000000;    0,252330;   23,040000;
63;    0,256424;   20,000000;    0,256424;    4,710000;    0,255152;   20,000000;    0,255152;   10,998000;    0,256195;   20,000000;    0,256195;   19,966000;    0,256453;   20,000000;    0,256453;   23,689000;
64;    0,260506;   20,000000;    0,260506;    4,714000;    0,259241;   20,000000;    0,259241;   10,589000;    0,260253;   20,000000;    0,260253;   19,105000;    0,260537;   20,000000;    0,260537;   24,206000;
65;    0,264606;   20,000000;    0,264606;    4,750000;    0,263340;   20,000000;    0,263340;   10,295000;    0,264356;   20,000000;    0,264356;   18,349000;    0,264643;   20,000000;    0,264643;   24,521000;
66;    0,268710;   20,000000;    0,268710;    4,815000;    0,267457;   20,000000;    0,267457;   10,134000;    0,268464;   20,000000;    0,268464;   17,753000;    0,268719;   20,000000;    0,268719;   24,643000;
67;    0,272802;   20,000000;    0,272802;    4,882000;    0,271538;   20,000000;    0,271538;   10,116000;    0,272557;   20,000000;    0,272557;   17,368000;    0,272829;   20,000000;    0,272829;   24,577000;
68;    0,276871;   20,000000;    0,276871;    4,950000;    0,275611;   20,000000;    0,275611;   10,227000;    0,276659;   20,000000;    0,276659;   17,225000;    0,276910;   20,000000;    0,276910;   24,353000;
69;    0,280983;   20,000000;    0,280983;    5,007000;    0,279714;   20,000000;    0,279714;   10,430000;    0,280755;   20,000000;    0,280755;   17,352000;    0,281007;   20,000000;    0,281007;   23,992000;
