;;;;;;Nacelle NC10...
;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
861;    3,515334;   -4,994000;    3,515334;   -5,426000;
862;    3,519437;   -4,991000;    3,519437;   -5,433000;
863;    3,523543;   -4,986000;    3,523543;   -5,437000;
864;    3,527647;   -4,981000;    3,527647;   -5,436000;
865;    3,531722;   -4,975000;    3,531722;   -5,433000;
866;    3,535827;   -4,968000;    3,535827;   -5,429000;
867;    3,539912;   -4,961000;    3,539912;   -5,424000;
868;    3,544011;   -4,952000;    3,544011;   -5,416000;
869;    3,548145;   -4,943000;    3,548145;   -5,407000;
870;    3,552202;   -4,933000;    3,552202;   -5,398000;
871;    3,556305;   -4,922000;    3,556305;   -5,390000;
872;    3,560415;   -4,910000;    3,560415;   -5,388000;
873;    3,564487;   -4,898000;    3,564487;   -5,391000;
874;    3,568593;   -4,884000;    3,568593;   -5,400000;
875;    3,572667;   -4,870000;    3,572667;   -5,412000;
876;    3,576780;   -4,855000;    3,576780;   -5,425000;
877;    3,580877;   -4,839000;    3,580877;   -5,431000;
878;    3,584960;   -4,823000;    3,584960;   -5,432000;
879;    3,589059;   -4,806000;    3,589059;   -5,426000;
880;    3,593176;   -4,787000;    3,593176;   -5,419000;
881;    3,597253;   -4,768000;    3,597253;   -5,410000;
882;    3,601356;   -4,749000;    3,601356;   -5,403000;
883;    3,605436;   -4,728000;    3,605436;   -5,386000;
884;    3,609542;   -4,707000;    3,609542;   -5,358000;
885;    3,613642;   -4,685000;    3,613642;   -5,321000;
886;    3,617724;   -4,662000;    3,617724;   -5,285000;
887;    3,621829;   -4,638000;    3,621829;   -5,249000;
888;    3,625906;   -4,614000;    3,625906;   -5,222000;
889;    3,630035;   -4,589000;    3,630035;   -5,207000;
890;    3,634146;   -4,563000;    3,634146;   -5,205000;
891;    3,638202;   -4,536000;    3,638202;   -5,207000;
892;    3,642322;   -4,508000;    3,642322;   -5,211000;
893;    3,646407;   -4,480000;    3,646407;   -5,212000;
894;    3,650513;   -4,451000;    3,650513;   -5,214000;
895;    3,654647;   -4,421000;    3,654647;   -5,215000;
896;    3,658701;   -4,391000;    3,658701;   -5,214000;
897;    3,662804;   -4,360000;    3,662804;   -5,212000;
898;    3,666921;   -4,328000;    3,666921;   -5,194000;
899;    3,670983;   -4,296000;    3,670983;   -5,161000;
900;    3,675147;   -4,262000;    3,675147;   -5,113000;
901;    3,679173;   -4,229000;    3,679173;   -5,067000;
902;    3,683257;   -4,194000;    3,683257;   -5,019000;
903;    3,687360;   -4,159000;    3,687360;   -4,982000;
904;    3,691463;   -4,122000;    3,691463;   -4,954000;
905;    3,695536;   -4,086000;    3,695536;   -4,931000;
906;    3,699655;   -4,048000;    3,699655;   -4,908000;
907;    3,703745;   -4,010000;    3,703745;   -4,893000;
908;    3,707850;   -3,971000;    3,707850;   -4,884000;
909;    3,711930;   -3,932000;    3,711930;   -4,884000;
910;    3,716032;   -3,892000;    3,716032;   -4,877000;
911;    3,720142;   -3,851000;    3,720142;   -4,860000;
912;    3,724228;   -3,810000;    3,724228;   -4,830000;
913;    3,728334;   -3,768000;    3,728334;   -4,796000;
914;    3,732421;   -3,725000;    3,732421;   -4,759000;
915;    3,736510;   -3,682000;    3,736510;   -4,714000;
916;    3,740613;   -3,638000;    3,740613;   -4,665000;
917;    3,744724;   -3,594000;    3,744724;   -4,614000;
918;    3,748797;   -3,549000;    3,748797;   -4,571000;
919;    3,752879;   -3,503000;    3,752879;   -4,535000;
920;    3,756977;   -3,457000;    3,756977;   -4,498000;
921;    3,761144;   -3,410000;    3,761144;   -4,456000;
922;    3,765171;   -3,363000;    3,765171;   -4,410000;
923;    3,769277;   -3,315000;    3,769277;   -4,370000;
924;    3,773381;   -3,267000;    3,773381;   -4,326000;
925;    3,777457;   -3,218000;    3,777457;   -4,282000;
926;    3,781561;   -3,168000;    3,781561;   -4,239000;
927;    3,785665;   -3,118000;    3,785665;   -4,203000;
928;    3,789746;   -3,068000;    3,789746;   -4,161000;
929;    3,793863;   -3,016000;    3,793863;   -4,113000;
930;    3,797955;   -2,965000;    3,797955;   -4,059000;
931;    3,802037;   -2,913000;    3,802037;   -4,009000;
932;    3,806141;   -2,860000;    3,806141;   -3,948000;
933;    3,810225;   -2,807000;    3,810225;   -3,882000;
934;    3,814328;   -2,754000;    3,814328;   -3,810000;
935;    3,818432;   -2,700000;    3,818432;   -3,745000;
936;    3,822508;   -2,646000;    3,822508;   -3,674000;
937;    3,826621;   -2,591000;    3,826621;   -3,603000;
938;    3,830717;   -2,536000;    3,830717;   -3,532000;
939;    3,834827;   -2,480000;    3,834827;   -3,471000;
940;    3,838904;   -2,424000;    3,838904;   -3,415000;
941;    3,843008;   -2,367000;    3,843008;   -3,366000;
942;    3,847141;   -2,310000;    3,847141;   -3,326000;
943;    3,851199;   -2,253000;    3,851199;   -3,286000;
944;    3,855275;   -2,196000;    3,855275;   -3,245000;
945;    3,859392;   -2,138000;    3,859392;   -3,202000;
946;    3,863481;   -2,079000;    3,863481;   -3,161000;
947;    3,867561;   -2,021000;    3,867561;   -3,114000;
948;    3,871669;   -1,962000;    3,871669;   -3,072000;
949;    3,875770;   -1,902000;    3,875770;   -3,033000;
950;    3,879849;   -1,843000;    3,879849;   -2,986000;
951;    3,883956;   -1,783000;    3,883956;   -2,925000;
952;    3,888057;   -1,722000;    3,888057;   -2,856000;
953;    3,892143;   -1,662000;    3,892143;   -2,783000;
954;    3,896248;   -1,601000;    3,896248;   -2,708000;
955;    3,900328;   -1,540000;    3,900328;   -2,642000;
956;    3,904433;   -1,479000;    3,904433;   -2,579000;
957;    3,908535;   -1,417000;    3,908535;   -2,526000;
958;    3,912643;   -1,355000;    3,912643;   -2,482000;
959;    3,916732;   -1,293000;    3,916732;   -2,437000;
960;    3,920826;   -1,231000;    3,920826;   -2,386000;
961;    3,924934;   -1,168000;    3,924934;   -2,335000;
962;    3,929005;   -1,106000;    3,929005;   -2,295000;
963;    3,933143;   -1,042000;    3,933143;   -2,256000;
964;    3,937197;   -0,980000;    3,937197;   -2,221000;
965;    3,941302;   -0,917000;    3,941302;   -2,191000;
966;    3,945380;   -0,854000;    3,945380;   -2,159000;
967;    3,949484;   -0,790000;    3,949484;   -2,124000;
968;    3,953559;   -0,727000;    3,953559;   -2,090000;
969;    3,957667;   -0,663000;    3,957667;   -2,042000;
970;    3,961768;   -0,599000;    3,961768;   -1,980000;
971;    3,965881;   -0,535000;    3,965881;   -1,911000;
972;    3,969950;   -0,471000;    3,969950;   -1,837000;
973;    3,974054;   -0,407000;    3,974054;   -1,760000;
974;    3,978139;   -0,343000;    3,978139;   -1,687000;
975;    3,982252;   -0,279000;    3,982252;   -1,611000;
976;    3,986326;   -0,215000;    3,986326;   -1,531000;
977;    3,990435;   -0,150000;    3,990435;   -1,455000;
978;    3,994515;   -0,086000;    3,994515;   -1,383000;
979;    3,998612;   -0,022000;    3,998612;   -1,317000;
980;    4,002695;    0,042000;    4,002695;   -1,263000;
981;    4,006796;    0,107000;    4,006796;   -1,214000;
982;    4,010904;    0,171000;    4,010904;   -1,164000;
983;    4,012903;    0,203000;    4,012903;   -1,117000;
984;    4,015898;    0,250000;    4,015898;   -1,078000;
985;    4,019139;    0,300000;    4,019139;   -1,047000;
986;    4,023168;    0,364000;    4,023168;   -1,012000;
987;    4,027273;    0,428000;    4,027273;   -0,972000;
988;    4,031351;    0,492000;    4,031351;   -0,930000;
989;    4,035466;    0,556000;    4,035466;   -0,894000;
990;    4,039558;    0,620000;    4,039558;   -0,848000;
991;    4,043668;    0,684000;    4,043668;   -0,795000;
992;    4,047746;    0,747000;    4,047746;   -0,732000;
993;    4,051856;    0,811000;    4,051856;   -0,660000;
994;    4,055947;    0,874000;    4,055947;   -0,577000;
995;    4,060033;    0,937000;    4,060033;   -0,491000;
996;    4,064139;    1,001000;    4,064139;   -0,395000;
997;    4,068222;    1,063000;    4,068222;   -0,289000;
998;    4,072325;    1,126000;    4,072325;   -0,183000;
999;    4,076432;    1,189000;    4,076432;   -0,073000;
1000;    4,080506;    1,251000;    4,080506;    0,037000;
1001;    4,084616;    1,314000;    4,084616;    0,144000;
1002;    4,088714;    1,376000;    4,088714;    0,253000;
1003;    4,092797;    1,437000;    4,092797;    0,366000;
1004;    4,096903;    1,499000;    4,096903;    0,473000;
1005;    4,101001;    1,560000;    4,101001;    0,576000;
1006;    4,105143;    1,622000;    4,105143;    0,670000;
1007;    4,109196;    1,682000;    4,109196;    0,751000;
1008;    4,113271;    1,742000;    4,113271;    0,823000;
1009;    4,117378;    1,802000;    4,117378;    0,891000;
1010;    4,121479;    1,862000;    4,121479;    0,950000;
1011;    4,125562;    1,922000;    4,125562;    1,003000;
1012;    4,129664;    1,981000;    4,129664;    1,052000;
1013;    4,133767;    2,040000;    4,133767;    1,094000;
1014;    4,137850;    2,098000;    4,137850;    1,121000;
1015;    4,141949;    2,157000;    4,141949;    1,148000;
1016;    4,146055;    2,215000;    4,146055;    1,179000;
1017;    4,150139;    2,272000;    4,150139;    1,213000;
1018;    4,154246;    2,329000;    4,154246;    1,252000;
1019;    4,158325;    2,386000;    4,158325;    1,297000;
1020;    4,162427;    2,442000;    4,162427;    1,341000;
1021;    4,166541;    2,498000;    4,166541;    1,390000;
1022;    4,170609;    2,553000;    4,170609;    1,443000;
1023;    4,174717;    2,609000;    4,174717;    1,493000;
1024;    4,178815;    2,663000;    4,178815;    1,534000;
1025;    4,182904;    2,718000;    4,182904;    1,566000;
1026;    4,186998;    2,771000;    4,186998;    1,586000;
1027;    4,191135;    2,825000;    4,191135;    1,591000;
1028;    4,195193;    2,878000;    4,195193;    1,590000;
1029;    4,199301;    2,930000;    4,199301;    1,584000;
1030;    4,203401;    2,982000;    4,203401;    1,575000;
1031;    4,207478;    3,033000;    4,207478;    1,562000;
1032;    4,211592;    3,084000;    4,211592;    1,558000;
1033;    4,215704;    3,135000;    4,215704;    1,560000;
1034;    4,219769;    3,184000;    4,219769;    1,573000;
1035;    4,223867;    3,234000;    4,223867;    1,589000;
1036;    4,227950;    3,282000;    4,227950;    1,615000;
1037;    4,232053;    3,331000;    4,232053;    1,650000;
1038;    4,236167;    3,379000;    4,236167;    1,692000;
1039;    4,240245;    3,426000;    4,240245;    1,740000;
1040;    4,244350;    3,472000;    4,244350;    1,795000;
1041;    4,248427;    3,518000;    4,248427;    1,850000;
1042;    4,252536;    3,564000;    4,252536;    1,894000;
1043;    4,256637;    3,608000;    4,256637;    1,938000;
1044;    4,260749;    3,653000;    4,260749;    1,978000;
1045;    4,264816;    3,696000;    4,264816;    2,015000;
1046;    4,268920;    3,739000;    4,268920;    2,037000;
1047;    4,273002;    3,782000;    4,273002;    2,050000;
1048;    4,277136;    3,824000;    4,277136;    2,063000;
1049;    4,281217;    3,865000;    4,281217;    2,083000;
1050;    4,285295;    3,905000;    4,285295;    2,107000;
1051;    4,289398;    3,945000;    4,289398;    2,129000;
1052;    4,293507;    3,984000;    4,293507;    2,158000;
1053;    4,297585;    4,023000;    4,297585;    2,188000;
1054;    4,301686;    4,061000;    4,301686;    2,224000;
1055;    4,305789;    4,098000;    4,305789;    2,253000;
1056;    4,309868;    4,134000;    4,309868;    2,279000;
1057;    4,313969;    4,170000;    4,313969;    2,310000;
1058;    4,318054;    4,205000;    4,318054;    2,350000;
1059;    4,322170;    4,240000;    4,322170;    2,393000;
1060;    4,326272;    4,274000;    4,326272;    2,427000;
1061;    4,330347;    4,306000;    4,330347;    2,455000;
1062;    4,334454;    4,339000;    4,334454;    2,470000;
1063;    4,338566;    4,371000;    4,338566;    2,484000;
1064;    4,342662;    4,402000;    4,342662;    2,496000;
1065;    4,346736;    4,432000;    4,346736;    2,510000;
1066;    4,350843;    4,461000;    4,350843;    2,517000;
1067;    4,354949;    4,490000;    4,354949;    2,521000;
1068;    4,359028;    4,518000;    4,359028;    2,516000;
1069;    4,363134;    4,545000;    4,363134;    2,523000;
1070;    4,367218;    4,571000;    4,367218;    2,544000;
1071;    4,371301;    4,597000;    4,371301;    2,578000;
1072;    4,375399;    4,622000;    4,375399;    2,620000;
1073;    4,379508;    4,646000;    4,379508;    2,665000;
1074;    4,383607;    4,669000;    4,383607;    2,706000;
1075;    4,387714;    4,692000;    4,387714;    2,739000;
1076;    4,391790;    4,714000;    4,391790;    2,772000;
1077;    4,395891;    4,735000;    4,395891;    2,798000;
1078;    4,399973;    4,755000;    4,399973;    2,821000;
1079;    4,404134;    4,775000;    4,404134;    2,830000;
1080;    4,408164;    4,793000;    4,408164;    2,836000;
1081;    4,412266;    4,811000;    4,412266;    2,828000;
1082;    4,416376;    4,828000;    4,416376;    2,817000;
1083;    4,420475;    4,845000;    4,420475;    2,802000;
1084;    4,424555;    4,860000;    4,424555;    2,791000;
1085;    4,428658;    4,875000;    4,428658;    2,794000;
1086;    4,432742;    4,889000;    4,432742;    2,818000;
1087;    4,436839;    4,902000;    4,436839;    2,859000;
1088;    4,440945;    4,914000;    4,440945;    2,905000;
1089;    4,445048;    4,926000;    4,445048;    2,955000;
1090;    4,449137;    4,936000;    4,449137;    3,000000;
1091;    4,453215;    4,946000;    4,453215;    3,041000;
1092;    4,457318;    4,955000;    4,457318;    3,070000;
1093;    4,461423;    4,963000;    4,461423;    3,091000;
1094;    4,465507;    4,971000;    4,465507;    3,096000;
1095;    4,469605;    4,977000;    4,469605;    3,091000;
1096;    4,473719;    4,983000;    4,473719;    3,073000;
1097;    4,477814;    4,988000;    4,477814;    3,046000;
1098;    4,481898;    4,992000;    4,481898;    3,017000;
1099;    4,486000;    4,995000;    4,486000;    2,990000;
1100;    4,490132;    4,998000;    4,490132;    2,973000;
1101;    4,494191;    4,999000;    4,494191;    2,966000;
1102;    4,498267;    5,000000;    4,498267;    2,973000;
1103;    4,502373;    5,000000;    4,502373;    2,986000;
1104;    4,506496;    4,999000;    4,506496;    3,006000;
1105;    4,510562;    4,997000;    4,510562;    3,023000;
1106;    4,514656;    4,995000;    4,514656;    3,039000;
1107;    4,518768;    4,991000;    4,518768;    3,048000;
1108;    4,522841;    4,987000;    4,522841;    3,053000;
1109;    4,526948;    4,982000;    4,526948;    3,053000;
1110;    4,531050;    4,976000;    4,531050;    3,049000;
1111;    4,535162;    4,970000;    4,535162;    3,042000;
1112;    4,539241;    4,962000;    4,539241;    3,031000;
1113;    4,543346;    4,954000;    4,543346;    3,020000;
1114;    4,547422;    4,945000;    4,547422;    3,008000;
1115;    4,551527;    4,935000;    4,551527;    3,001000;
1116;    4,555631;    4,924000;    4,555631;    2,996000;
1117;    4,559714;    4,912000;    4,559714;    2,999000;
1118;    4,563820;    4,900000;    4,563820;    3,006000;
1119;    4,567917;    4,887000;    4,567917;    3,017000;
1120;    4,571999;    4,873000;    4,571999;    3,029000;
1121;    4,576133;    4,858000;    4,576133;    3,037000;
1122;    4,580189;    4,842000;    4,580189;    3,041000;
1123;    4,584293;    4,826000;    4,584293;    3,040000;
1124;    4,588395;    4,808000;    4,588395;    3,035000;
1125;    4,592505;    4,790000;    4,592505;    3,028000;
1126;    4,596578;    4,772000;    4,596578;    3,023000;
1127;    4,600687;    4,752000;    4,600687;    3,018000;
1128;    4,604789;    4,731000;    4,604789;    3,003000;
1129;    4,608892;    4,710000;    4,608892;    2,973000;
1130;    4,612971;    4,688000;    4,612971;    2,934000;
1131;    4,617131;    4,665000;    4,617131;    2,894000;
1132;    4,621233;    4,642000;    4,621233;    2,858000;
1133;    4,625354;    4,617000;    4,625354;    2,832000;
1134;    4,629450;    4,592000;    4,629450;    2,820000;
1135;    4,633482;    4,567000;    4,633482;    2,821000;
1136;    4,637561;    4,540000;    4,637561;    2,825000;
1137;    4,641662;    4,513000;    4,641662;    2,829000;
1138;    4,645737;    4,485000;    4,645737;    2,831000;
1139;    4,649862;    4,456000;    4,649862;    2,832000;
1140;    4,653949;    4,427000;    4,653949;    2,833000;
1141;    4,658052;    4,396000;    4,658052;    2,834000;
1142;    4,662164;    4,365000;    4,662164;    2,835000;
1143;    4,666245;    4,333000;    4,666245;    2,819000;
1144;    4,670344;    4,301000;    4,670344;    2,786000;
1145;    4,674455;    4,268000;    4,674455;    2,739000;
1146;    4,678527;    4,234000;    4,678527;    2,693000;
1147;    4,682695;    4,199000;    4,682695;    2,647000;
1148;    4,686838;    4,163000;    4,686838;    2,614000;
1149;    4,690913;    4,127000;    4,690913;    2,595000;
1150;    4,694927;    4,091000;    4,694927;    2,584000;
1151;    4,699059;    4,054000;    4,699059;    2,577000;
1152;    4,703134;    4,016000;    4,703134;    2,574000;
1153;    4,707213;    3,977000;    4,707213;    2,579000;
1154;    4,711296;    3,938000;    4,711296;    2,586000;
1155;    4,715395;    3,898000;    4,715395;    2,583000;
1156;    4,719502;    3,858000;    4,719502;    2,563000;
1157;    4,723586;    3,816000;    4,723586;    2,531000;
1158;    4,727689;    3,774000;    4,727689;    2,495000;
1159;    4,731763;    3,732000;    4,731763;    2,457000;
1160;    4,735868;    3,689000;    4,735868;    2,416000;
1161;    4,739966;    3,645000;    4,739966;    2,373000;
1162;    4,744134;    3,600000;    4,744134;    2,335000;
1163;    4,748159;    3,556000;    4,748159;    2,309000;
1164;    4,752264;    3,510000;    4,752264;    2,297000;
1165;    4,756340;    3,464000;    4,756340;    2,287000;
1166;    4,760447;    3,418000;    4,760447;    2,273000;
1167;    4,764550;    3,370000;    4,764550;    2,256000;
1168;    4,768629;    3,323000;    4,768629;    2,232000;
1169;    4,772737;    3,274000;    4,772737;    2,198000;
1170;    4,776838;    3,225000;    4,776838;    2,160000;
1171;    4,780916;    3,176000;    4,780916;    2,124000;
1172;    4,785018;    3,126000;    4,785018;    2,094000;
1173;    4,789128;    3,075000;    4,789128;    2,064000;
1174;    4,793215;    3,024000;    4,793215;    2,034000;
1175;    4,797314;    2,973000;    4,797314;    2,007000;
1176;    4,801421;    2,921000;    4,801421;    1,984000;
1177;    4,805502;    2,869000;    4,805502;    1,962000;
1178;    4,809602;    2,816000;    4,809602;    1,945000;
1179;    4,813683;    2,762000;    4,813683;    1,937000;
1180;    4,817783;    2,708000;    4,817783;    1,935000;
1181;    4,821903;    2,654000;    4,821903;    1,935000;
1182;    4,826003;    2,599000;    4,826003;    1,933000;
1183;    4,830128;    2,543000;    4,830128;    1,927000;
1184;    4,834188;    2,488000;    4,834188;    1,922000;
1185;    4,838263;    2,433000;    4,838263;    1,912000;
1186;    4,842367;    2,376000;    4,842367;    1,899000;
1187;    4,846471;    2,319000;    4,846471;    1,883000;
1188;    4,850549;    2,262000;    4,850549;    1,864000;
1189;    4,854659;    2,205000;    4,854659;    1,842000;
1190;    4,858765;    2,146000;    4,858765;    1,821000;
1191;    4,862836;    2,089000;    4,862836;    1,805000;
1192;    4,866943;    2,030000;    4,866943;    1,786000;
1193;    4,871043;    1,971000;    4,871043;    1,764000;
1194;    4,875135;    1,911000;    4,875135;    1,742000;
1195;    4,879211;    1,852000;    4,879211;    1,717000;
1196;    4,883323;    1,792000;    4,883323;    1,688000;
1197;    4,887421;    1,732000;    4,887421;    1,658000;
1198;    4,891525;    1,671000;    4,891525;    1,617000;
1199;    4,895605;    1,611000;    4,895605;    1,564000;
1200;    4,899711;    1,549000;    4,899711;    1,504000;
1201;    4,903782;    1,488000;    4,903782;    1,437000;
1202;    4,907945;    1,426000;    4,907945;    1,365000;
1203;    4,911995;    1,365000;    4,911995;    1,297000;
1204;    4,916132;    1,302000;    4,916132;    1,240000;
1205;    4,920183;    1,241000;    4,920183;    1,182000;
1206;    4,924261;    1,179000;    4,924261;    1,127000;
1207;    4,928393;    1,115000;    4,928393;    1,072000;
1208;    4,932485;    1,053000;    4,932485;    1,019000;
1209;    4,936582;    0,990000;    4,936582;    0,965000;
1210;    4,940677;    0,926000;    4,940677;    0,917000;
1211;    4,944759;    0,863000;    4,944759;    0,865000;
1212;    4,948865;    0,800000;    4,948865;    0,809000;
1213;    4,952965;    0,736000;    4,952965;    0,751000;
1214;    4,957040;    0,673000;    4,957040;    0,688000;
1215;    4,961158;    0,609000;    4,961158;    0,618000;
1216;    4,965235;    0,545000;    4,965235;    0,548000;
1217;    4,969341;    0,481000;    4,969341;    0,470000;
1218;    4,973416;    0,417000;    4,973416;    0,384000;
1219;    4,977542;    0,352000;    4,977542;    0,297000;
1220;    4,981632;    0,288000;    4,981632;    0,205000;
1221;    4,985711;    0,224000;    4,985711;    0,112000;
1222;    4,989812;    0,160000;    4,989812;    0,018000;
1223;    4,993917;    0,096000;    4,993917;   -0,077000;
1224;    4,997988;    0,032000;    4,997988;   -0,180000;
1225;    5,002127;   -0,033000;    5,002127;   -0,283000;
1226;    5,006183;   -0,097000;    5,006183;   -0,388000;
1227;    5,010291;   -0,162000;    5,010291;   -0,495000;
1228;    5,014390;   -0,226000;    5,014390;   -0,597000;
1229;    5,018469;   -0,290000;    5,018469;   -0,684000;
1230;    5,022573;   -0,354000;    5,022573;   -0,754000;
1231;    5,026682;   -0,419000;    5,026682;   -0,802000;
1232;    5,030754;   -0,482000;    5,030754;   -0,842000;
1233;    5,034862;   -0,547000;    5,034862;   -0,878000;
1234;    5,038963;   -0,611000;    5,038963;   -0,911000;
1235;    5,043049;   -0,674000;    5,043049;   -0,941000;
1236;    5,047155;   -0,738000;    5,047155;   -0,971000;
1237;    5,051263;   -0,802000;    5,051263;   -0,999000;
1238;    5,055338;   -0,865000;    5,055338;   -1,035000;
1239;    5,059444;   -0,928000;    5,059444;   -1,084000;
1240;    5,063545;   -0,992000;    5,063545;   -1,141000;
1241;    5,067626;   -1,054000;    5,067626;   -1,209000;
1242;    5,071733;   -1,117000;    5,071733;   -1,288000;
1243;    5,075846;   -1,180000;    5,075846;   -1,370000;
1244;    5,079913;   -1,242000;    5,079913;   -1,462000;
1245;    5,084014;   -1,304000;    5,084014;   -1,565000;
1246;    5,088126;   -1,367000;    5,088126;   -1,667000;
1247;    5,092210;   -1,428000;    5,092210;   -1,768000;
1248;    5,096311;   -1,490000;    5,096311;   -1,863000;
1249;    5,100417;   -1,551000;    5,100417;   -1,942000;
1250;    5,104501;   -1,612000;    5,104501;   -2,010000;
1251;    5,108611;   -1,673000;    5,108611;   -2,065000;
1252;    5,112680;   -1,733000;    5,112680;   -2,102000;
1253;    5,116786;   -1,794000;    5,116786;   -2,133000;
1254;    5,120890;   -1,854000;    5,120890;   -2,164000;
1255;    5,124961;   -1,913000;    5,124961;   -2,194000;
1256;    5,129126;   -1,973000;    5,129126;   -2,213000;
1257;    5,133157;   -2,031000;    5,133157;   -2,237000;
1258;    5,137263;   -2,090000;    5,137263;   -2,260000;
1259;    5,141337;   -2,148000;    5,141337;   -2,288000;
1260;    5,145443;   -2,206000;    5,145443;   -2,320000;
1261;    5,149561;   -2,264000;    5,149561;   -2,359000;
1262;    5,153633;   -2,321000;    5,153633;   -2,400000;
1263;    5,157729;   -2,377000;    5,157729;   -2,456000;
1264;    5,161806;   -2,434000;    5,161806;   -2,525000;
1265;    5,165916;   -2,490000;    5,165916;   -2,602000;
1266;    5,170014;   -2,545000;    5,170014;   -2,686000;
1267;    5,174125;   -2,601000;    5,174125;   -2,774000;
1268;    5,178183;   -2,655000;    5,178183;   -2,857000;
1269;    5,182332;   -2,710000;    5,182332;   -2,924000;
1270;    5,186401;   -2,763000;    5,186401;   -2,990000;
1271;    5,190470;   -2,817000;    5,190470;   -3,046000;
1272;    5,194573;   -2,870000;    5,194573;   -3,094000;
1273;    5,198684;   -2,922000;    5,198684;   -3,128000;
1274;    5,200688;   -2,948000;    5,200688;   -3,160000;
1275;    5,203682;   -2,986000;    5,203682;   -3,179000;
1276;    5,206857;   -3,025000;    5,206857;   -3,189000;
1277;    5,210936;   -3,076000;    5,210936;   -3,202000;
1278;    5,215042;   -3,127000;    5,215042;   -3,223000;
1279;    5,219126;   -3,177000;    5,219126;   -3,252000;
1280;    5,223233;   -3,226000;    5,223233;   -3,279000;
1281;    5,227363;   -3,275000;    5,227363;   -3,321000;
1282;    5,231429;   -3,323000;    5,231429;   -3,372000;
1283;    5,235532;   -3,371000;    5,235532;   -3,435000;
1284;    5,239602;   -3,418000;    5,239602;   -3,492000;
1285;    5,243704;   -3,465000;    5,243704;   -3,564000;
1286;    5,247807;   -3,511000;    5,247807;   -3,641000;
1287;    5,251910;   -3,557000;    5,251910;   -3,726000;
1288;    5,256012;   -3,602000;    5,256012;   -3,800000;
1289;    5,260129;   -3,646000;    5,260129;   -3,876000;
1290;    5,264180;   -3,689000;    5,264180;   -3,943000;
1291;    5,268284;   -3,733000;    5,268284;   -4,003000;
1292;    5,272387;   -3,775000;    5,272387;   -4,045000;
1293;    5,276494;   -3,817000;    5,276494;   -4,087000;
1294;    5,280571;   -3,858000;    5,280571;   -4,132000;
1295;    5,284679;   -3,899000;    5,284679;   -4,179000;
1296;    5,288750;   -3,939000;    5,288750;   -4,220000;
1297;    5,292865;   -3,978000;    5,292865;   -4,263000;
1298;    5,296962;   -4,017000;    5,296962;   -4,307000;
1299;    5,301043;   -4,055000;    5,301043;   -4,348000;
1300;    5,305153;   -4,092000;    5,305153;   -4,383000;
1301;    5,309257;   -4,129000;    5,309257;   -4,408000;
1302;    5,313336;   -4,165000;    5,313336;   -4,442000;
1303;    5,317440;   -4,200000;    5,317440;   -4,484000;
1304;    5,321524;   -4,234000;    5,321524;   -4,537000;
1305;    5,325623;   -4,268000;    5,325623;   -4,584000;
1306;    5,329726;   -4,302000;    5,329726;   -4,631000;
1307;    5,333810;   -4,334000;    5,333810;   -4,666000;
1308;    5,337914;   -4,366000;    5,337914;   -4,702000;
1309;    5,342010;   -4,397000;    5,342010;   -4,732000;
1310;    5,346122;   -4,427000;    5,346122;   -4,763000;
1311;    5,350206;   -4,457000;    5,350206;   -4,786000;
1312;    5,354309;   -4,485000;    5,354309;   -4,806000;
1313;    5,358385;   -4,513000;    5,358385;   -4,816000;
1314;    5,362496;   -4,541000;    5,362496;   -4,833000;
1315;    5,366574;   -4,567000;    5,366574;   -4,861000;
1316;    5,370672;   -4,593000;    5,370672;   -4,897000;
1317;    5,374778;   -4,618000;    5,374778;   -4,936000;
1318;    5,378884;   -4,642000;    5,378884;   -4,975000;
1319;    5,382960;   -4,666000;    5,382960;   -5,011000;
1320;    5,387122;   -4,689000;    5,387122;   -5,039000;
1321;    5,391151;   -4,710000;    5,391151;   -5,072000;
1322;    5,395262;   -4,732000;    5,395262;   -5,102000;
1323;    5,399336;   -4,752000;    5,399336;   -5,135000;
1324;    5,403438;   -4,772000;    5,403438;   -5,158000;
1325;    5,407540;   -4,791000;    5,407540;   -5,177000;
1326;    5,411646;   -4,809000;    5,411646;   -5,182000;
1327;    5,415726;   -4,826000;    5,415726;   -5,182000;
1328;    5,419832;   -4,842000;    5,419832;   -5,173000;
1329;    5,423910;   -4,858000;    5,423910;   -5,163000;
1330;    5,428021;   -4,873000;    5,428021;   -5,165000;
1331;    5,432122;   -4,887000;    5,432122;   -5,183000;
1332;    5,436205;   -4,900000;    5,436205;   -5,217000;
1333;    5,440308;   -4,912000;    5,440308;   -5,254000;
1334;    5,444412;   -4,924000;    5,444412;   -5,295000;
1335;    5,448497;   -4,935000;    5,448497;   -5,333000;
1336;    5,452599;   -4,945000;    5,452599;   -5,368000;
1337;    5,456697;   -4,954000;    5,456697;   -5,394000;
1338;    5,460808;   -4,962000;    5,460808;   -5,417000;
1339;    5,464885;   -4,970000;    5,464885;   -5,430000;
1340;    5,468984;   -4,976000;    5,468984;   -5,435000;
1341;    5,473120;   -4,982000;    5,473120;   -5,427000;
1342;    5,477180;   -4,987000;    5,477180;   -5,411000;
1343;    5,481280;   -4,991000;    5,481280;   -5,386000;
1344;    5,485358;   -4,995000;    5,485358;   -5,361000;
