;;;;;;Nacelle NC10...
;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
114;    0,463943;    4,968000;    0,463943;    3,033000;
115;    0,468055;    4,975000;    0,468055;    3,028000;
116;    0,472183;    4,981000;    0,472183;    3,011000;
117;    0,476237;    4,986000;    0,476237;    2,987000;
118;    0,480340;    4,990000;    0,480340;    2,962000;
119;    0,484453;    4,994000;    0,484453;    2,940000;
120;    0,488528;    4,997000;    0,488528;    2,928000;
121;    0,492632;    4,999000;    0,492632;    2,926000;
122;    0,496735;    5,000000;    0,496735;    2,937000;
123;    0,500812;    5,000000;    0,500812;    2,954000;
124;    0,504940;    4,999000;    0,504940;    2,973000;
125;    0,509018;    4,998000;    0,509018;    2,989000;
126;    0,513097;    4,996000;    0,513097;    2,999000;
127;    0,517216;    4,993000;    0,517216;    3,001000;
128;    0,521290;    4,989000;    0,521290;    2,998000;
129;    0,525394;    4,984000;    0,525394;    2,992000;
130;    0,529497;    4,979000;    0,529497;    2,986000;
131;    0,533583;    4,972000;    0,533583;    2,980000;
132;    0,537678;    4,965000;    0,537678;    2,974000;
133;    0,541785;    4,957000;    0,541785;    2,969000;
134;    0,545862;    4,948000;    0,545862;    2,963000;
135;    0,549974;    4,939000;    0,549974;    2,960000;
136;    0,554071;    4,928000;    0,554071;    2,960000;
137;    0,558182;    4,917000;    0,558182;    2,965000;
138;    0,562263;    4,905000;    0,562263;    2,972000;
139;    0,566343;    4,892000;    0,566343;    2,983000;
140;    0,570445;    4,878000;    0,570445;    2,992000;
141;    0,574553;    4,863000;    0,574553;    2,997000;
142;    0,578640;    4,848000;    0,578640;    2,996000;
143;    0,582733;    4,832000;    0,582733;    2,989000;
144;    0,586834;    4,815000;    0,586834;    2,979000;
145;    0,590916;    4,797000;    0,590916;    2,969000;
146;    0,595020;    4,779000;    0,595020;    2,962000;
147;    0,599181;    4,759000;    0,599181;    2,946000;
148;    0,603214;    4,739000;    0,603214;    2,919000;
149;    0,607316;    4,719000;    0,607316;    2,883000;
150;    0,611408;    4,697000;    0,611408;    2,850000;
151;    0,615499;    4,674000;    0,615499;    2,817000;
152;    0,619602;    4,651000;    0,619602;    2,795000;
153;    0,623685;    4,627000;    0,623685;    2,783000;
154;    0,627791;    4,602000;    0,627791;    2,784000;
155;    0,631884;    4,577000;    0,631884;    2,796000;
156;    0,635992;    4,551000;    0,635992;    2,817000;
157;    0,640072;    4,524000;    0,640072;    2,835000;
158;    0,644200;    4,496000;    0,644200;    2,842000;
159;    0,648263;    4,467000;    0,648263;    2,840000;
160;    0,652367;    4,438000;    0,652367;    2,830000;
161;    0,656447;    4,408000;    0,656447;    2,813000;
162;    0,660548;    4,377000;    0,660548;    2,793000;
163;    0,664653;    4,346000;    0,664653;    2,775000;
164;    0,668732;    4,314000;    0,668732;    2,744000;
165;    0,672851;    4,281000;    0,672851;    2,704000;
166;    0,676943;    4,247000;    0,676943;    2,656000;
167;    0,681042;    4,213000;    0,681042;    2,613000;
168;    0,685181;    4,177000;    0,685181;    2,578000;
169;    0,689237;    4,142000;    0,689237;    2,559000;
170;    0,693313;    4,106000;    0,693313;    2,547000;
171;    0,697416;    4,069000;    0,697416;    2,541000;
172;    0,701522;    4,031000;    0,701522;    2,539000;
173;    0,705604;    3,993000;    0,705604;    2,543000;
174;    0,709707;    3,954000;    0,709707;    2,551000;
175;    0,713807;    3,914000;    0,713807;    2,546000;
176;    0,717889;    3,874000;    0,717889;    2,529000;
177;    0,721990;    3,833000;    0,721990;    2,495000;
178;    0,726093;    3,791000;    0,726093;    2,462000;
179;    0,730179;    3,749000;    0,730179;    2,423000;
180;    0,734289;    3,706000;    0,734289;    2,385000;
181;    0,738365;    3,662000;    0,738365;    2,341000;
182;    0,742470;    3,618000;    0,742470;    2,305000;
183;    0,746572;    3,573000;    0,746572;    2,278000;
184;    0,750653;    3,528000;    0,750653;    2,251000;
185;    0,754755;    3,482000;    0,754755;    2,222000;
186;    0,758836;    3,436000;    0,758836;    2,194000;
187;    0,762941;    3,389000;    0,762941;    2,176000;
188;    0,767045;    3,341000;    0,767045;    2,162000;
189;    0,771176;    3,293000;    0,771176;    2,151000;
190;    0,775236;    3,244000;    0,775236;    2,132000;
191;    0,779337;    3,195000;    0,779337;    2,113000;
192;    0,783417;    3,146000;    0,783417;    2,095000;
193;    0,787528;    3,095000;    0,787528;    2,072000;
194;    0,791625;    3,044000;    0,791625;    2,044000;
195;    0,795705;    2,993000;    0,795705;    2,015000;
196;    0,799813;    2,941000;    0,799813;    1,994000;
197;    0,803910;    2,889000;    0,803910;    1,969000;
198;    0,808016;    2,836000;    0,808016;    1,946000;
199;    0,812100;    2,783000;    0,812100;    1,921000;
200;    0,816178;    2,730000;    0,816178;    1,898000;
201;    0,820285;    2,675000;    0,820285;    1,871000;
202;    0,824390;    2,621000;    0,824390;    1,850000;
203;    0,828495;    2,566000;    0,828495;    1,835000;
204;    0,832577;    2,510000;    0,832577;    1,825000;
205;    0,836676;    2,454000;    0,836676;    1,819000;
206;    0,840782;    2,398000;    0,840782;    1,815000;
207;    0,844857;    2,342000;    0,844857;    1,815000;
208;    0,848960;    2,284000;    0,848960;    1,811000;
209;    0,853046;    2,227000;    0,853046;    1,808000;
210;    0,857179;    2,169000;    0,857179;    1,804000;
211;    0,861261;    2,111000;    0,861261;    1,796000;
212;    0,865337;    2,053000;    0,865337;    1,777000;
213;    0,869443;    1,994000;    0,869443;    1,755000;
214;    0,873527;    1,935000;    0,873527;    1,723000;
215;    0,877626;    1,875000;    0,877626;    1,683000;
216;    0,881726;    1,815000;    0,881726;    1,640000;
217;    0,885805;    1,756000;    0,885805;    1,598000;
218;    0,889914;    1,695000;    0,889914;    1,546000;
219;    0,894020;    1,634000;    0,894020;    1,487000;
220;    0,898097;    1,573000;    0,898097;    1,428000;
221;    0,902208;    1,512000;    0,902208;    1,369000;
222;    0,906312;    1,450000;    0,906312;    1,309000;
223;    0,910387;    1,389000;    0,910387;    1,254000;
224;    0,914491;    1,327000;    0,914491;    1,195000;
225;    0,918597;    1,265000;    0,918597;    1,132000;
226;    0,922684;    1,203000;    0,922684;    1,070000;
227;    0,926781;    1,140000;    0,926781;    1,005000;
228;    0,930885;    1,077000;    0,930885;    0,939000;
229;    0,934962;    1,015000;    0,934962;    0,878000;
230;    0,939073;    0,951000;    0,939073;    0,817000;
231;    0,943176;    0,888000;    0,943176;    0,752000;
232;    0,947265;    0,825000;    0,947265;    0,687000;
233;    0,951362;    0,761000;    0,951362;    0,618000;
234;    0,955444;    0,698000;    0,955444;    0,544000;
